source, target, weight
building, lorraine, 1
building, require, 2
building, jew, 1
building, corporate, 1
building, human, 1
building, growth, 2
building, tree, 1
building, boy, 1
building, courtyard, 1
building, dark, 1
building, opera, 1
building, talk, 5
building, reality, 1
building, competitor, 1
building, reason, 1
building, hire, 1
building, window, 2
building, indian, 1
building, paid, 1
building, month, 1
building, christina, 1
building, amazon, 2
building, future, 1
building, transportation, 1
building, effort, 1
building, soviet, 1
building, president, 2
building, laboratory, 1
building, plan, 2
building, hour, 3
building, hard, 1
building, data, 1
building, role, 1
building, mitch, 1
building, idea, 3
building, dance, 1
building, john, 1
building, friend, 3
building, german, 1
building, associate, 2
building, power, 1
building, ore, 1
building, facility, 1
building, device, 1
building, realize, 1
building, foreign, 1
building, serve, 1
building, woman, 1
building, ship, 1
building, house, 2
building, view, 1
building, leader, 1
building, close, 1
building, strategy, 1
building, method, 1
building, kayak, 1
building, tram, 1
building, chapter, 1
building, partnership, 1
building, offer, 1
building, technology, 2
building, company, 5
building, sat, 1
building, sale, 3
building, employee, 3
building, sense, 1
building, bank, 1
building, breakthrough, 1
building, father, 2
building, trade, 1
building, approach, 1
building, sears, 1
building, negotiation, 1
building, steve, 2
building, benefaction, 1
building, product, 4
building, instrument, 1
building, arthur, 1
building, brad, 1
building, understand, 1
building, advantage, 1
building, application, 1
building, store, 3
building, deal, 2
building, result, 1
building, property, 1
building, cellar, 1
building, sell, 4
building, mission, 1
building, digital, 1
building, care, 1
building, transport, 1
building, culture, 1
building, online, 2
building, player, 1
building, happen, 1
building, communist, 1
building, dream, 1
building, summer, 1
building, renter, 1
building, calculator, 1
building, radio, 1
building, people, 6
building, blockbuster, 1
building, tech, 1
building, internet, 1
building, built, 3
building, day, 6
building, represent, 1
building, oscillator, 1
building, compute, 1
building, program, 1
building, mail, 1
building, term, 1
building, democratize, 1
building, colorado, 1
building, night, 2
building, left, 1
building, sum, 1
building, star, 1
building, success, 1
building, door, 1
building, qi, 1
building, movie, 1
building, successorship, 1
building, carrel, 1
building, encryption, 1
building, water, 1
building, combination, 1
building, artificial, 1
building, english, 1
building, life, 5
building, support, 1
building, air, 1
building, harper, 1
building, affiant, 1
building, build, 1
building, professor, 1
building, public, 2
building, handy, 1
building, sit, 1
building, university, 2
building, dividend, 1
building, difficult, 1
building, clothes, 1
building, continued, 1
building, matter, 1
building, cleveland, 1
building, hoover, 1
building, cruz, 1
building, increase, 1
building, toshiba, 1
building, productivity, 1
building, pueblo, 1
building, time, 6
building, game, 1
building, parent, 1
building, student, 1
building, land, 1
building, bernie, 1
building, standard, 1
building, leadership, 1
building, told, 5
building, provide, 2
building, intelligence, 1
building, management, 1
building, disc, 1
building, platform, 1
building, dollar, 1
building, week, 2
building, center, 1
building, manufacturing, 1
building, hope, 1
building, engineering, 1
building, bed, 1
building, active, 1
building, valley, 1
building, hungarian, 1
building, developed, 1
building, innovation, 1
building, mother, 1
building, kinect, 1
building, rent, 1
building, education, 1
building, corporation, 1
building, brill, 1
building, rate, 1
building, york, 1
building, improvement, 1
building, investment, 1
building, service, 2
building, merchandise, 1
building, policy, 2
building, responsibility, 1
building, grade, 1
building, carry, 1
building, teacher, 1
building, development, 2
building, market, 4
building, government, 1
building, pipe, 1
building, purchase, 1
building, refugee, 1
building, refining, 1
building, suresh, 1
building, search, 1
building, gymnasium, 1
building, grow, 3
building, question, 2
building, chemistry, 1
building, law, 1
building, refinery, 1
building, electronics, 1
building, startup, 2
building, software, 1
building, frequency, 1
building, hackathon, 1
building, tube, 1
building, hand, 3
building, railroad, 1
building, rebate, 1
building, plant, 1
building, account, 1
building, purpose, 1
building, merchandising, 1
building, pat, 1
building, subject, 1
building, start, 6
building, azure, 1
building, live, 1
building, jennings, 1
building, economic, 1
building, activity, 1
building, street, 1
building, netflix, 1
building, feel, 3
building, base, 1
building, email, 1
building, experience, 2
building, organization, 3
building, develop, 2
building, office, 3
building, stand, 1
building, santa, 1
building, empathy, 1
building, business, 5
building, supply, 1
building, gini, 1
building, xbox, 1
building, server, 1
building, equipment, 1
building, reed, 1
building, morning, 1
building, society, 1
building, machine, 1
building, country, 2
building, jewish, 1
building, principle, 1
building, follow, 1
building, profit, 1
building, rental, 1
building, subway, 1
building, tool, 1
building, include, 2
building, printer, 1
building, individual, 1
building, progress, 1
building, mindset, 1
building, speak, 1
building, personal, 2
building, appeal, 1
building, head, 2
building, war, 2
building, american, 2
building, barry, 1
building, robot, 1
building, class, 1
building, table, 1
building, read, 1
building, oscilloscope, 1
building, cloud, 1
building, institution, 1
building, rip, 1
building, soldier, 1
building, quantum, 1
building, jim, 1
building, spent, 1
building, price, 3
building, story, 2
building, enterprise, 1
building, decide, 1
building, developer, 1
building, school, 3
building, noel, 1
building, worth, 1
building, clark, 1
building, benevolence, 1
building, sound, 1
building, customer, 4
building, study, 2
building, depot, 1
building, extend, 1
building, city, 1
building, lead, 1
building, church, 1
building, oil, 1
building, job, 4
building, design, 2
building, physic, 1
building, book, 2
building, train, 1
building, partner, 2
building, streetcar, 1
building, sony, 1
building, launch, 1
building, set, 4
building, joel, 1
building, google, 1
building, industry, 2
building, pay, 1
building, share, 4
building, kibble, 1
building, play, 1
building, challenge, 1
building, laserjet, 1
building, remember, 1
building, money, 3
building, india, 1
building, heard, 1
building, cricket, 1
building, manager, 2
building, watch, 2
building, patty, 1
building, receive, 1
building, project, 1
building, penney, 1
building, refresh, 1
building, hp, 1
building, field, 1
building, redmond, 1
building, access, 1
building, return, 1
building, girl, 1
building, hungary, 1
building, silicon, 2
building, pleasure, 1
building, firm, 1
building, user, 2
building, cost, 1
building, batsman, 1
building, soul, 1
building, transformation, 1
building, conduct, 1
building, division, 1
building, create, 1
building, team, 3
building, electronic, 1
building, trust, 1
building, apple, 1
building, dave, 1
building, engineer, 2
building, science, 1
building, mailer, 1
building, objective, 1
building, level, 1
building, android, 1
building, merchant, 1
building, real, 3
building, privacy, 1
building, eye, 1
building, dvd, 1
building, walk, 2
building, corey, 1
building, opportunity, 3
building, gatos, 1
building, nokia, 1
building, floor, 1
building, apartment, 1
building, video, 1
building, capital, 1
building, lake, 1
building, mobile, 1
building, love, 2
building, lumber, 1
building, meeting, 2
building, phone, 1
building, secure, 1
building, audio, 1
building, child, 1
building, mind, 1
building, dairy, 1
building, russian, 1
building, security, 1
building, drive, 1
building, affair, 1
building, visit, 2
building, operation, 1
building, quality, 1
building, letter, 1
building, social, 1
building, stanford, 1
building, infrastructure, 1
building, board, 2
building, united, 1
building, moment, 1
building, learn, 4
building, raise, 1
building, rockefeller, 1
building, global, 1
building, boris, 1
building, figure, 2
building, vessel, 1
building, vendor, 1
building, successful, 1
building, kid, 2
building, focus, 1
building, wait, 1
building, change, 5
building, family, 2
building, lowe, 1
building, contribution, 1
building, stock, 3
building, ron, 1
building, guy, 2
susan, shareholder, 1
susan, mom, 1
susan, talk, 1
susan, merger, 1
susan, michael, 1
susan, month, 1
susan, houston, 1
susan, vote, 1
susan, plan, 1
susan, hard, 1
susan, data, 1
susan, idea, 1
susan, offer, 1
susan, technology, 1
susan, company, 1
susan, sale, 1
susan, product, 1
susan, deal, 1
susan, sell, 1
susan, financial, 1
susan, happen, 1
susan, people, 1
susan, tech, 1
susan, day, 1
susan, special, 1
susan, silver, 1
susan, carl, 1
susan, public, 1
susan, compaq, 1
susan, private, 1
susan, time, 1
susan, told, 1
susan, management, 1
susan, week, 1
susan, storage, 1
susan, pretty, 1
susan, investment, 1
susan, service, 1
susan, buyout, 1
susan, revenue, 1
susan, market, 1
susan, grow, 1
susan, software, 1
susan, hand, 1
susan, dell, 1
susan, start, 1
susan, couple, 1
susan, alex, 1
susan, office, 1
susan, business, 1
susan, blackstone, 1
susan, server, 1
susan, machine, 1
susan, include, 1
susan, southeastern, 1
susan, stockholder, 1
susan, committee, 1
susan, price, 1
susan, customer, 1
susan, job, 1
susan, partner, 1
susan, vmware, 1
susan, pay, 1
susan, share, 1
susan, money, 1
susan, hp, 1
susan, firm, 1
susan, create, 1
susan, team, 1
susan, apple, 1
susan, virtualization, 1
susan, texas, 1
susan, lake, 1
susan, meeting, 1
susan, austin, 1
susan, ibm, 1
susan, dad, 1
susan, board, 1
susan, change, 1
susan, stock, 1
susan, guy, 1
lorraine, talk, 1
lorraine, month, 1
lorraine, christina, 1
lorraine, amazon, 1
lorraine, hour, 1
lorraine, hard, 1
lorraine, mitch, 1
lorraine, idea, 1
lorraine, house, 1
lorraine, company, 1
lorraine, employee, 1
lorraine, steve, 1
lorraine, store, 1
lorraine, sell, 1
lorraine, online, 1
lorraine, player, 1
lorraine, dream, 1
lorraine, renter, 1
lorraine, people, 1
lorraine, blockbuster, 1
lorraine, day, 1
lorraine, mail, 1
lorraine, night, 1
lorraine, movie, 1
lorraine, life, 1
lorraine, cruz, 1
lorraine, toshiba, 1
lorraine, time, 1
lorraine, told, 1
lorraine, disc, 1
lorraine, week, 1
lorraine, valley, 1
lorraine, rent, 1
lorraine, suresh, 1
lorraine, startup, 1
lorraine, hand, 1
lorraine, start, 1
lorraine, netflix, 1
lorraine, feel, 1
lorraine, office, 1
lorraine, santa, 1
lorraine, business, 1
lorraine, reed, 1
lorraine, morning, 1
lorraine, rental, 1
lorraine, head, 1
lorraine, barry, 1
lorraine, table, 1
lorraine, jim, 1
lorraine, story, 1
lorraine, customer, 1
lorraine, job, 1
lorraine, sony, 1
lorraine, launch, 1
lorraine, set, 1
lorraine, joel, 1
lorraine, share, 1
lorraine, kibble, 1
lorraine, money, 1
lorraine, watch, 1
lorraine, patty, 1
lorraine, silicon, 1
lorraine, user, 1
lorraine, team, 1
lorraine, mailer, 1
lorraine, real, 1
lorraine, dvd, 1
lorraine, corey, 1
lorraine, gatos, 1
lorraine, video, 1
lorraine, love, 1
lorraine, drive, 1
lorraine, boris, 1
lorraine, figure, 1
lorraine, kid, 1
lorraine, change, 1
lorraine, guy, 1
decision, steven, 1
decision, person, 1
decision, shareholder, 1
decision, staff, 1
decision, corporate, 1
decision, growth, 1
decision, review, 1
decision, easy, 1
decision, vaccine, 1
decision, brought, 1
decision, talk, 3
decision, disease, 1
decision, hire, 2
decision, issue, 1
decision, michael, 1
decision, month, 3
decision, caddy, 1
decision, moonshot, 1
decision, future, 1
decision, dose, 1
decision, vote, 1
decision, president, 2
decision, plan, 3
decision, dennis, 2
decision, tom, 1
decision, hour, 1
decision, data, 2
decision, idea, 3
decision, john, 2
decision, friend, 1
decision, brand, 1
decision, power, 1
decision, vaccinate, 1
decision, patient, 1
decision, park, 1
decision, leader, 2
decision, close, 1
decision, offer, 1
decision, technology, 1
decision, company, 4
decision, sale, 1
decision, employee, 2
decision, sense, 1
decision, approach, 1
decision, steve, 2
decision, product, 2
decision, plastic, 1
decision, george, 1
decision, efficacy, 1
decision, deal, 2
decision, result, 2
decision, health, 1
decision, film, 1
decision, bob, 2
decision, sell, 1
decision, culture, 1
decision, online, 1
decision, financial, 1
decision, people, 4
decision, internet, 1
decision, chairman, 1
decision, day, 4
decision, medical, 1
decision, kidder, 1
decision, pandemic, 1
decision, program, 1
decision, cov, 1
decision, night, 2
decision, left, 1
decision, star, 1
decision, success, 3
decision, phase, 1
decision, respect, 1
decision, infection, 1
decision, movie, 1
decision, medicine, 1
decision, television, 1
decision, knave, 1
decision, fox, 1
decision, golf, 1
decision, insight, 1
decision, life, 3
decision, late, 1
decision, support, 1
decision, studio, 1
decision, public, 1
decision, bad, 1
decision, israel, 1
decision, disney, 1
decision, gmail, 1
decision, query, 1
decision, time, 4
decision, operating, 1
decision, game, 1
decision, network, 1
decision, disneyland, 1
decision, major, 1
decision, leadership, 1
decision, told, 3
decision, management, 2
decision, platform, 1
decision, interview, 1
decision, week, 2
decision, manufacturing, 1
decision, trial, 1
decision, innovation, 1
decision, acquisition, 2
decision, sport, 1
decision, boundaryless, 1
decision, york, 2
decision, service, 1
decision, dinner, 1
decision, control, 1
decision, market, 2
decision, government, 1
decision, roy, 1
decision, search, 1
decision, rupert, 1
decision, grow, 2
decision, shipper, 1
decision, question, 3
decision, willow, 1
decision, lose, 1
decision, smart, 1
decision, salem, 1
decision, vaccination, 1
decision, iterate, 1
decision, stanley, 1
decision, plant, 1
decision, lexan, 1
decision, engine, 1
decision, healthcare, 1
decision, start, 4
decision, panther, 1
decision, couple, 1
decision, process, 3
decision, creative, 2
decision, feel, 2
decision, base, 1
decision, email, 1
decision, experience, 1
decision, organization, 2
decision, office, 3
decision, aircraft, 1
decision, business, 3
decision, morning, 1
decision, leave, 1
decision, biden, 1
decision, stu, 1
decision, country, 1
decision, conversation, 1
decision, include, 1
decision, candidate, 3
decision, nbc, 1
decision, head, 2
decision, war, 1
decision, incumbent, 1
decision, class, 1
decision, lightspeed, 1
decision, creatives, 1
decision, adwords, 1
decision, jim, 1
decision, story, 1
decision, decide, 1
decision, mike, 1
decision, century, 1
decision, customer, 2
decision, study, 1
decision, larry, 2
decision, lead, 3
decision, appliance, 1
decision, job, 3
decision, book, 1
decision, animation, 1
decision, initiative, 1
decision, launch, 1
decision, set, 3
decision, google, 1
decision, industry, 1
decision, share, 2
decision, play, 1
decision, vice, 1
decision, walt, 1
decision, pfizer, 1
decision, executive, 2
decision, manager, 2
decision, receive, 1
decision, project, 1
decision, user, 1
decision, pixar, 1
decision, cost, 1
decision, news, 2
decision, session, 1
decision, jonathan, 1
decision, create, 3
decision, fda, 1
decision, tough, 1
decision, team, 4
decision, abc, 1
decision, reg, 1
decision, engineer, 1
decision, science, 1
decision, entertainment, 1
decision, vial, 1
decision, strat, 1
decision, virus, 1
decision, level, 1
decision, android, 1
decision, officer, 1
decision, real, 1
decision, walk, 1
decision, shanghai, 1
decision, orlando, 1
decision, technical, 1
decision, capital, 1
decision, love, 1
decision, espn, 1
decision, meeting, 4
decision, operation, 1
decision, jane, 1
decision, ike, 1
decision, agree, 1
decision, boca, 1
decision, finance, 1
decision, lipid, 1
decision, board, 3
decision, moment, 1
decision, strong, 1
decision, learn, 2
decision, marvel, 1
decision, answer, 1
decision, note, 1
decision, global, 1
decision, clinical, 1
decision, focus, 3
decision, headquarters, 1
decision, change, 3
decision, stock, 1
decision, guy, 1
electric, auto, 1
electric, musk, 1
electric, tesla, 1
electric, automotive, 1
electric, plan, 1
electric, aston, 1
electric, energy, 1
electric, model, 1
electric, power, 1
electric, technology, 1
electric, company, 1
