第	5.32
⼀	-1
部	5.12
将	5.36
⼯	-1
⼚	-1
当	5.0
学校	5.76
丰	6.18
⽥	-1
前	5.24
史	5.1
50	-1
年前	-1
丰	6.18
⽥	-1
刚	5.2
开始	5.26
认真	6.3
研究	5.78
汽	5.14
⻋	-1
时	5.04
在	5.02
美国	5.6
已经	5.18
是	5.42
每	5.14
4	-1
⼈	-1
就	4.94
有	5.36
⼀	-1
部汽	-1
⻋	-1
了	5.08
丰	6.18
⽥	-1
汽	5.14
⻋	-1
创始	5.58
⼈	-1
丰	6.18
⽥	-1
喜	7.1
⼀	-1
郎	-1
当时	5.0
构想	5.64
将汽	-1
⻋	-1
普及	5.46
⾄	-1
每	5.14
10	-1
⼈	-1
⼀	-1
部	5.12
的	5.1
程度	5.0
于是	4.9
在	5.02
昭和	-1
12	-1
年	5.1
1	-1
937	-1
年	5.1
将汽	-1
⻋	-1
部	5.12
⻔	-1
从丰	-1
⽥	-1
⾃	-1
动	5.24
织布机	-1
制造	5.32
⼚	-1
⽇	-1
⽂	-1
丰	6.18
⽥	-1
⾃	-1
动	5.24
织机	-1
制作	5.2
所	4.98
独	4.7
⽴	-1
⽽	-1
设	4.94
⽴	-1
了	5.08
丰	6.18
⽥	-1
汽	5.14
⻋	-1
⼯	-1
业	4.86
每	5.14
10	-1
⼈	-1
⼀	-1
部汽	-1
⻋	-1
⼀	-1
亿	5.4
⼈	-1
⼝	-1
就	4.94
有	5.36
1	-1
00	-1
万辆	-1
汽	5.14
⻋	-1
如果	5.36
每年	5.44
淘汰	3.32
⼀	-1
成	5.36
的话	4.9
就	4.94
需要	5.18
1	-1
00	-1
万辆	-1
新汽	-1
⻋	-1
仅	4.62
此	4.8
替换	4.98
新	5.94
⻋	-1
的	5.1
需要	5.18
就	4.94
可以	5.58
养活	6.18
汽	5.14
⻋	-1
⼯	-1
业	4.86
了	5.08
丰	6.18
⽥	-1
喜	7.1
⼀	-1
郎	-1
深信	6.08
这个	5.02
时代	5.44
必将	-1
来临	5.16
抱	5.54
着	4.88
这个	5.02
信念	6.02
他	5.06
开始	5.26
跨	5.4
⼈	-1
汽	5.14
⻋	-1
制造业	-1
有	5.36
想到	5.52
的	5.1
是	5.42
50	-1
年	5.1
后	5.0
的	5.1
今天	5.52
⽇	-1
本汽	-1
⻋	-1
普及	5.46
程度	5.0
竟然	4.78
超过	5.66
当年	5.06
的	5.1
美国	5.6
达到	5.64
3	-1
⼈	-1
⼀	-1
部汽	-1
⻋	-1
的	5.1
程度	5.0
⽣	-1
产	5.04
⽅	-1
⾯	-1
亦	5.4
出乎意料	6.1
之外	-1
⾃	-1
昭和	-1
55	-1
年	5.1
1	-1
980	-1
年	5.1
以来	4.98
每年	5.44
均	5.02
超过	5.66
1	-1
00	-1
万辆	-1
使得	4.82
⽇	-1
本	5.2
成为	5.42
世界	5.78
最	5.14
⼤	-1
的	5.1
汽	5.14
⻋	-1
⽣	-1
产国	-1
凌驾于	-1
美国	5.6
之上	-1
然	5.1
⽽	-1
通往	-1
世界	5.78
第	5.32
⼀	-1
的	5.1
道路	4.96
并	5.04
不	4.4
平坦	6.14
任何	5.22
⼈	-1
⼀	-1
谈起	-1
丰	6.18
⽥	-1
就	4.94
会	5.22
联想	5.76
到	5.3
半	4.88
⽥	-1
佐吉	-1
他	5.06
的确	5.12
和	5.46
今	5.2
⽇	-1
的	5.1
丰	6.18
⽥	-1
公司	5.08
有	5.36
密不可分	-1
的	5.1
关系	5.0
丰	6.18
⽥	-1
佐吉	-1
⾃	-1
少年时代	-1
起	4.98
便	4.82
被	4.5
公认	5.18
为	5.16
怪	3.94
⼈	-1
不过	4.72
他	5.06
在	5.02
不断	5.0
的	5.1
错误	3.46
与	4.86
尝试	5.76
之	5.26
中	4.98
成功	7.48
地	5.16
开发	5.72
出	4.98
数种	-1
织布机	-1
佐吉在	-1
⼆	-1
弟平吉	-1
我	5.58
的	5.1
⽗	-1
亲	6.5
与	4.86
三	5.18
弟佐助	-1
的	5.1
协	5.18
⼒	-1
经营	5.32
下	4.6
奠定	5.44
了	5.08
丰	6.18
⽥	-1
企业	5.24
集团	5.06
创业	5.92
的	5.1
基础	5.38
发明	6.04
王丰	-1
⽥	-1
佐吉	-1
丰	6.18
⽥	-1
佐吉从	-1
年轻	6.48
时期	5.28
便	4.82
研究	5.78
织布机	-1
但是	4.56
由于	4.88
经费	5.3
不	4.4
⾜	-1
不得不	-1
到处	4.98
借贷	4.02
明治	-1
27	-1
年	5.1
1	-1
894	-1
年	5.1
他	5.06
⾸	-1
先	5.34
开发	5.72
出	4.98
⾃	-1
动回线	-1
织布机	-1
⽇	-1
⽂	-1
系燥	-1
返机	-1
并	5.04
正式	5.42
筹资	5.4
⽣	-1
产	5.04
销售	5.38
⽽	-1
我	5.58
⽗	-1
亲	6.5
负责	5.58
的	5.1
便是	-1
关东地区	-1
的	5.1
销售	5.38
也	5.2
就是	4.98
现在	5.14
所谓	4.92
的	5.1
推销员	-1
的	5.1
⼯	-1
作	5.0
这种	-1
织布机	-1
最初	5.52
采	5.24
⽤	-1
⽊	-1
制	4.82
是	5.42
以	4.92
传统	5.36
的	5.1
织布机	-1
改良	5.98
⽽	-1
成	5.36
的	5.1
以前	4.88
所有	5.52
的	5.1
织布机	-1
都	4.84
是	5.42
⼿	-1
⼯	-1
操作	5.3
⽽	-1
丰	6.18
⽥	-1
佐吉	-1
设计	5.76
的	5.1
新式	5.6
机器	5.14
则	4.8
为动	-1
⼒	-1
织布机	-1
引	5.0
⽤	-1
外来	4.84
的	5.1
动	5.24
⼒	-1
使得	4.82
机械能	-1
⾃	-1
⼰	-1
运转	5.44
发明	6.04
了	5.08
⾃	-1
动回线	-1
织布机	-1
之后	4.98
3	-1
年	5.1
也	5.2
就是	4.98
明治	-1
30	-1
年	5.1
1	-1
897	-1
年	5.1
丰	6.18
⽥	-1
佐吉	-1
⼜	-1
完成	5.98
了	5.08
丰	6.18
⽥	-1
式	5.08
⽊	-1
制动	-1
⼒	-1
织布机	-1
尾张	-1
知多	-1
郡	5.2
⼰	-1
川村	-1
即	4.96
今	5.2
⽇	-1
的	5.1
爱知县	-1
丰	6.18
⽥	-1
市	5.0
有	5.36
⼀	-1
位	5.06
企业家	-1
⽯	-1
川藤	-1
⼋	-1
听到	-1
消息	5.12
后	5.0
便	4.82
道	5.34
真有	5.54
这种	-1
东	5.08
⻄	-1
的话	4.9
我	5.58
的	5.1
⼯	-1
⼚	-1
倒	4.52
不妨	5.18
试试	-1
于是	4.9
丰	6.18
⽥	-1
佐吉	-1
和	5.46
⽯	-1
川	5.08
共同	5.64
成	5.36
⽴	-1
了	5.08
⼄	-1
川	5.08
棉布	5.26
合资	5.44
会社	5.0
对佐吉	-1
⽽	-1
⾔	-1
这	5.14
是	5.42
利	5.86
⽤	-1
他	5.06
制造	5.32
的	5.1
动	5.24
⼒	-1
织布机	-1
⽣	-1
产	5.04
棉布	5.26
的	5.1
开始	5.26
但是	4.56
当	5.0
棉布	5.26
⼯	-1
⼚	-1
健造	-1
完成	5.98
后	5.0
最	5.14
重要	5.68
的	5.1
动	5.24
⼒	-1
来源	5.44
却	4.68
成为	5.42
问题	4.46
⽆	-1
法动	-1
⼯	-1
于是	4.9
⽗	-1
亲	6.5
放下	5.16
推销	4.6
⾃	-1
动回线	-1
织布机	-1
的	5.1
⼯	-1
作	5.0
专	5.56
⼼	-1
对付	4.32
这个	5.02
⽣	-1
产动	-1
⼒	-1
的	5.1
问题	4.46
当时	5.0
在	5.02
⼈	-1
们	5.06
的	5.1
观念	5.28
中	4.98
动	5.24
⼒	-1
也	5.2
就是	4.98
蒸汽	5.2
我	5.58
⽗	-1
亲	6.5
不知	4.34
从	5.16
哪	4.84
⼉	-1
买	5.34
回	5.02
⼀	-1
座	5.4
蒸汽	5.2
引擎	-1
连接	5.06
在	5.02
织布机	-1
