	-1
引子	-1
引子	-1
2014	-1
年	5.1
5	-1
月	5.28
22	-1
日	4.88
纽约	5.62
纳斯达克	-1
证券	4.84
交易所	5.12
正忙着	-1
装修	-1
外墙	-1
搭	-1
着	4.88
脚手架	-1
现场	5.24
乱糟糟	-1
的	5.1
四周	5.04
挂	4.4
着	4.88
大幅	5.8
的	5.1
红色	5.76
底子	-1
写	5.0
着	4.88
白色	5.26
jd	4.84
的	5.1
广告牌	-1
一楼	-1
是	5.42
演播室	-1
空间	5.16
挑高	-1
约	5.2
两层楼	-1
高	6.1
10	-1
多个	-1
摄像机	-1
镜头	5.44
全方位	-1
覆盖	5.2
主持人	-1
用	5.1
夸张	4.78
的	5.1
表情	5.44
和	5.46
语调	-1
播报	-1
纳斯达克	-1
上市公司	-1
的	5.1
股票行情	-1
apple	7.44
baidu	-1
cisco	-1
facebook	6.08
google	7.2
intel	-1
microsoft	5.62
amazon	6.8
几乎	4.8
你	5.36
能	5.48
想得到	-1
的	5.1
科技类	-1
上市公司	-1
一一	-1
在	5.02
我	5.58
的	5.1
面前	5.2
晃过	-1
当地	5.26
时间	5.32
9	-1
点	5.32
30	-1
分	5.02
西装革履	-1
精神	5.86
奕奕	-1
的	5.1
刘强	-1
东	5.08
按	4.9
下	4.6
了	5.08
敲钟	-1
的	5.1
按钮	4.8
他	5.06
一手	5.04
创办	5.8
的	5.1
京东	-1
在	5.02
纳斯达克	-1
正式	5.42
上市	5.96
融资	5.7
31	-1
亿美元	-1
上市	5.96
当天	4.88
市值	-1
达	5.42
286	-1
亿美元	-1
纽约时代广场	-1
巨大	5.36
的	5.1
led	5.48
屏幕	5.24
上	5.58
闪现	-1
着	4.88
刘强	-1
东	5.08
的	5.1
面孔	5.32
一张	-1
中国	6.06
人	5.3
的	5.1
面孔	5.32
与此同时	-1
远	4.84
在	5.02
太平洋	5.64
另一端	-1
正是	-1
夜晚	5.28
的	5.1
北京	5.68
也	5.2
有	5.36
一群	5.1
人	5.3
在	5.02
北辰	-1
世纪	5.1
中心	5.16
的	5.1
露天	-1
场地	5.16
上	5.58
欢呼	6.94
那	5.12
是	5.42
京东	-1
公司	5.08
办公	5.12
所在地	5.06
不远处	-1
就是	4.98
鸟巢	-1
与	4.86
水立方	-1
刘强	-1
东	5.08
上市	5.96
致辞	-1
的	5.1
时候	5.0
张口	-1
就是	4.98
这是	-1
京东	-1
人	5.3
但	4.62
他	5.06
马上	5.42
意识	5.0
到	5.3
自己	5.28
的	5.1
错误	3.46
改为	-1
先生	5.18
们	5.06
女士们	-1
全场	-1
笑了起来	-1
现场	5.24
被	4.5
上百人	-1
挤得	-1
满满当当	-1
的	5.1
包括	5.18
沈皓瑜	-1
黄	4.96
宣德	-1
隆雨	-1
李	5.2
大学	6.2
陈生强	-1
蓝烨	-1
蒉	-1
莺	-1
春	6.02
等	4.72
高管	-1
及	5.18
徐新	-1
等	4.72
投资人	-1
根据	5.24
招股	-1
文件	4.94
京东	-1
从	5.16
2007	-1
年	5.1
拿到	-1
今日	5.3
资本	5.0
1000	-1
万美元	-1
起到	-1
腾讯	-1
注入	5.02
2	-1
145	-1
亿美元	-1
止	4.72
累计	5.12
融资	5.7
20	-1
26	-1
亿美元	-1
上市	5.96
后	5.0
因为	4.94
ab	4.68
股	5.26
架构	5.08
刘强	-1
东以	-1
18	-1
8%	-1
的	5.1
持股	-1
比例	5.06
占有	4.6
83	-1
7%	-1
的	5.1
投票权	-1
2009	-1
年	5.1
凯鹏华盈	-1
kpcb	-1
中国区	-1
主管	5.0
合伙人	-1
周炜	-1
原本	5.0
考虑	5.08
过	5.04
投	4.98
京东	-1
那	5.12
时候	5.0
京东	-1
亏损	3.1
厉害	5.96
斟酌	-1
再三	4.88
未	4.74
投	4.98
2011	-1
年	5.1
再	4.96
考虑	5.08
投	4.98
京东	-1
的	5.1
时候	5.0
价格	5.18
已经	5.18
贵	4.72
了	5.08
十几倍	-1
而	5.18
凯鹏华盈	-1
中国	6.06
基金	5.26
因为	4.94
一些	5.12
项目	5.36
有	5.36
了	5.08
回报	5.94
做	5.26
决策	5.42
更	5.34
容易	6.02
一些	5.12
因此	5.06
投了	-1
将近	5.18
1	-1
亿美元	-1
获得	6.0
5	-1
倍	5.14
左右	5.02
的	5.1
回报	5.94
周炜	-1
开玩笑	6.06
说	5.22
签字	5.16
的	5.1
时候	5.0
我手	-1
也	5.2
有点	5.1
抖	-1
当时	5.0
他们	5.12
内部	4.9
也	5.2
有	5.36
争议	3.94
京东	-1
能否	-1
做成	-1
一家	5.56
像	5.5
亚马逊	-1
那样	5.14
甚至	4.82
比	5.0
亚马逊	-1
更大	-1
的	5.1
公司	5.08
周炜	-1
说	5.22
刘强	-1
东	5.08
这帮	-1
人	5.3
很	5.14
能	5.48
吃苦	4.36
在	5.02
刀锋	-1
一般	4.66
薄	-1
的	5.1
利润	6.52
下	4.6
还	5.16
能活	-1
下来	4.78
这	5.14
是	5.42
他	5.06
过去	5.2
经历	5.3
带来	-1
的	5.1
价值	5.86
电商	-1
是	5.42
苦	3.3
逼	-1
的	5.1
活儿	-1
没人能	-1
和	5.46
他	5.06
比	5.0
如果	5.36
是	5.42
纯	5.9
互联网	5.88
公司	5.08
他	5.06
不	4.4
一定	5.36
比人强	-1
当时	5.0
很多	5.46
人	5.3
跟	5.06
他	5.06
谈	5.14
京东	-1
的	5.1
毛利	-1
问题	4.46
周炜	-1
觉得	5.38
若	5.02
是	5.42
谈	5.14
二线	-1
电商	-1
需要	5.18
重视	5.8
毛利	-1
但	4.62
京东	-1
很	5.14
明显	5.42
已经	5.18
是	5.42
领导者	-1
这家	-1
公司	5.08
的	5.1
领导力	-1
规模	5.22
前景	6.18
在	5.02
那里	5.18
摆着	-1
他	5.06
觉得	5.38
现今	5.44
最	5.14
令人兴奋	-1
的	5.1
是	5.42
中国	6.06
三四	-1
线	5.18
城市	5.5
的	5.1
电商	-1
前景	6.18
中国	6.06
的	5.1
用户	5.2
已经	5.18
被	4.5
电商	-1
惯坏	-1
了	5.08
那些	5.02
传统	5.36
零售商	-1
太	4.8
落后	3.56
了	5.08
而	5.18
刘强	-1
东	5.08
在	5.02
5	-1
月	5.28
22	-1
日	4.88
的	5.1
新闻	5.2
发布会	-1
上	5.58
宣布	5.18
对	6.14
融资	5.7
得来	-1
的	5.1
31	-1
亿美元	-1
第一笔	-1
资金	5.68
用于	-1
3	-1
6	-1
线	5.18
城市	5.5
的	5.1
开拓	5.98
2007	-1
年	5.1
即	4.96
投资	5.64
了	5.08
京东	-1
的	5.1
徐新	-1
在	5.02
现场	5.24
笑	7.06
得	5.44
合不拢嘴	-1
8	-1
年	5.1
150	-1
倍	5.14
回报	5.94
最	5.14
满意	6.96
的	5.1
还	5.16
不是	4.2
钱	6.24
而是	-1
帮助	6.14
企业	5.24
打造	-1
了	5.08
一个	5.1
伟大	6.8
的	5.1
公司	5.08
京东	-1
会	5.22
成为	5.42
一家	5.56
伟大	6.8
的	5.1
公司	5.08
我	5.58
剩下	-1
7	-1
个点	-1
不	4.4
打算	5.5
卖	5.16
了	5.08
要	5.2
长期	5.4
持有	-1
伟大	6.8
的	5.1
公司	5.08
在世界上	-1
不多	-1
的	5.1
今日	5.3
资本	5.0
运气	-1
好	6.7
找到	5.44
这样	4.94
的	5.1
好	6.7
公司	5.08
应该	5.1
长期	5.4
持有	-1
而	5.18
刘强	-1
东	5.08
告诉	5.04
她	5.2
现在	5.14
的	5.1
股价	-1
不	4.4
重要	5.68
10	-1
年	5.1
后	5.0
的	5.1
股价	-1
才	5.48
重要	5.68
2007	-1
年	5.1
京东	-1
拿到	-1
融资	5.7
之后	4.98
公司	5.08
全体	5.62
员工	5.12
喝酒	-1
庆祝	7.0
直接	5.44
用分	-1
酒器	-1
喝	5.58
一口	5.2
干掉	-1
二三两	-1
那	5.12
时候	5.0
大家	5.56
憧憬	6.640000000000001
京东	-1
未来	6.28
会	5.22
上市	5.96
成为	5.42
一家	5.56
了不起	6.86
的	5.1
企业	5.24
在	5.02
纳斯达克	-1
京东	-1
集团	5.06
副	4.78
总裁兼	-1
日用百货	-1
事业部	-1
总经理	-1
孙加明	-1
是	5.42
两位	-1
老	3.58
员工	5.12
代表	5.28
之一	-1
站	5.04
在	5.02
第一排	-1
他	5.06
一点儿	-1
都	4.84
不	4.4
激动	5.86
他	5.06
最	5.14
激动	5.86
的	5.1
时刻	5.22
是	5.42
当初	4.92
憧憬	6.46
上市	5.96
的	5.1
时候	5.0
京东	-1
上市	5.96
是	5.42
当时	5.0
中国	6.06
企业	5.24
在	5.02
美	7.16
最大	5.96
的	5.1
一笔	-1
上市	5.96
融资	5.7
后	5.0
阿里巴巴	-1
在	5.02
美	7.16
上市	5.96
打破纪录	-1
纽交所	-1
和	5.46
纳斯达克	-1
都	4.84
在	5.02
争取	5.76
京东	-1
直到	5.12
上市	5.96
前	5.24
两个	-1
月	5.28
京东	-1
确定	5.68
在	5.02
纳斯达克	-1
上市	5.96
纳斯达克	-1
首席	5.94
执行官	-1
罗伯特	5.34
格雷	-1
菲尔德	-1
和	5.46
中国区	-1
首席代表	-1
郑华	-1
曾多次	-1
跟	5.06
刘强	-1
东	5.08
打交道	-1
郑华说	-1
刘强	-1
东是	-1
很	5.14
有	5.36
雄心壮志	-1
的	5.1
人	5.3
他	5.06
像	5.5
一头	5.18
牛	5.62
一样	5.28
做	5.26
公司	5.08
10	-1
多年	5.08
做事	5.26
很	5.14
有	5.36
韧性	-1
和	5.46
斗志	6.44
他	5.06
雄心勃勃	-1
并且	5.04
是	5.42
持久	5.5
的	5.1
雄心	6.3
他	5.06
也	5.2
很	5.14
有	5.36
耐心	5.94
越战越勇	-1
由	4.86
他	5.06
来	5.26
给	5.34
纳斯达克	-1
的	5.1
金牛	-1
做	5.26
揭幕仪式	-1
很	5.14
适合	5.88
金牛	-1
是	5.42
纳斯达克	-1
新	5.94
形象工程	-1
自	5.02
2013	-1
年	5.1
纽交所	-1
被	4.5
总部	-1
位于	4.96
亚特兰大	-1
的	5.1
ice	5.8
洲际	-1
交易所	5.12
收购	5.12
后	5.0
纽约市	-1
市长	-1
希望	6.64
纳斯达克	-1
成为	5.42
纽约市	-1
的	5.1
标志性	-1
地点	5.22
因此	5.06
塑立	-1
一头	5.18
金牛	-1
在	5.02
上市	5.96
仪式	5.0
完成	5.98
后	5.0
刘强	-1
东	5.08
匆匆	4.4
赶到	-1
交易所	5.12
外	4.76
揭开	-1
蒙在	-1
金牛	-1
上	5.58
的	5.1
红布	-1
他	5.06
笑容满面	-1
不像	3.58
过去	5.2
军人	5.3
一般	4.66
的	5.1
严肃	4.08
2012	-1
年	5.1
在	5.02
刘强	-1
东	5.08
办公桌	-1
上立	-1
着	4.88
一个	5.1
用	5.1
英文	5.18
和	5.46
拼音	-1
混	3.98
搭	-1
的	5.1
招牌	5.46
wen	4.8
xin	-1
ti	4.94
shi	4.97
:	-1
english	6.58
only	4.92
到	5.3
2014	-1
年	5.1
我	5.58
和	5.46
他	5.06
聊天	5.76
的	5.1
时候	5.0
他	5.06
有时	5.24
无意识	4.68
地	5.16
蹦出	-1
anyway	5.12
last	3.74
mile	5.04
等	4.72
单词	5.2
这	5.14
在	5.02
过去	5.2
是	5.42
见	5.24
不到	3.74
的	5.1
在	5.02
当天	4.88
晚上	5.02
的	5.1
ipo	-1
酒会	-1
上	5.58
刘强	-1
东用	-1
带	5.1
着	4.88
宿迁	-1
口音	-1
的	5.1
英语	5.7
发表	5.56
演讲	5.52
他	5.06
说	5.22
我花	-1
了	5.08
20	-1
年	5.1
从	5.16
宿迁	-1
到	5.3
了	5.08
北京	5.68
我	5.58
又	4.98
花	6.3
了	5.08
20	-1
年	5.1
从	5.16
北京	5.68
到	5.3
了	5.08
纽约	5.62
在座	5.04
的	5.1
人	5.3
哈哈大笑	-1
接着	5.12
他	5.06
说	5.22
我们	5.96
下	4.6
一个	5.1
20	-1
年	5.1
