序言	5.02
2000	-1
年	5.1
以来	4.98
我	5.58
凭借	5.18
在	5.02
政府	4.76
工作	5.18
的	5.1
经验	6.1
进入	5.46
数字	5.1
领域	5.08
创业	5.92
始终	5.26
接受	5.72
着	4.88
硅谷	-1
的	5.1
管理	5.3
文化	5.92
和	5.46
企业家	-1
精神	5.86
的	5.1
熏陶	5.98
此后	4.9
世界	5.78
逐渐	5.26
走向	5.3
多极化	-1
我	5.58
先后	4.98
在	5.02
政府	4.76
和	5.46
智库	-1
任职	5.6
不同	5.22
的	5.1
任务	5.04
让	5.36
我	5.58
有	5.36
机会	6.0
游历	-1
世界	5.78
了解	5.28
全球	5.46
创新	6.88
的	5.1
发展	6.16
我	5.58
的	5.1
关注点	-1
聚焦	-1
在	5.02
中国	6.06
我	5.58
注意	5.0
到	5.3
三件	-1
事	5.14
新一代	-1
的	5.1
中国	6.06
人	5.3
真正	5.76
向	5.2
世界	5.78
敞开	5.66
了	5.08
怀抱	6.2
中国	6.06
制造	5.32
的	5.1
产品	5.3
和	5.46
服务质量	-1
迅猛	5.52
提升	6.0
真正	5.76
的	5.1
创新	6.88
产品	5.3
如	5.06
雨后春笋	-1
般	5.12
涌现	5.66
不止	4.66
一两个	-1
而是	-1
一大批	-1
创新	6.88
它们	5.18
主要	5.38
诞生	5.98
于	5.14
毗邻	5.38
中国香港	-1
的	5.1
南方	5.68
城市	5.5
深圳	5.58
[	-1
1	-1
]	-1
我	5.58
在	5.02
之前	4.88
的	5.1
作品	5.2
影响力	-1
指南	5.36
和	5.46
数字化	5.24
转型	5.44
指南	5.36
[	-1
2	-1
]	-1
中	4.98
剖析	5.04
了	5.08
管理	5.3
和	5.46
数字化	5.24
转型	5.44
的	5.1
新	5.94
方式	4.94
有	5.36
了	5.08
这些	5.18
经验	6.1
我	5.58
觉得	5.38
现在	5.14
是	5.42
时候	5.0
开启	-1
一个	5.1
全新	-1
的	5.1
系列	5.26
了	5.08
我	5.58
希望	6.64
通过	5.84
商业	5.26
故事	5.3
系列	5.26
分享	6.14
我	5.58
在	5.02
和	5.46
新型	5.84
全球化	-1
集团	5.06
接触	5.32
中	4.98
的	5.1
所思	-1
所	4.98
想	5.3
华为	-1
传	5.14
便是	-1
其中	4.76
的	5.1
第一部	-1
在	5.02
三年	-1
的	5.1
时间	5.32
里	5.18
我	5.58
到访	-1
深圳	5.58
东莞	-1
[	-1
3	-1
]	-1
和	5.46
上海	5.78
与	4.86
华为	-1
的	5.1
工作	5.18
团队	5.26
合作伙伴	-1
和	5.46
客户	5.42
接触	5.32
交流	5.68
参观	5.72
工厂	4.9
研发	5.64
中心	5.16
和	5.46
网络安全	-1
中心	5.16
在	5.02
摩纳哥	-1
赫尔辛基	-1
慕尼黑	-1
或是	-1
在	5.02
参加	5.38
拉斯维加斯	-1
国际	5.54
消费类	-1
电子产品	-1
展览会	-1
ces	-1
巴塞罗那	-1
世界	5.78
移动	5.2
通信	5.48
大会	4.94
mwc	-1
[	-1
4	-1
]	-1
汉诺威	-1
工业	5.08
博览会	5.56
hannover	-1
messe	-1
和	5.46
巴黎	6.06
vivatech	-1
科技	5.78
大会	4.94
期间	5.18
我	5.58
也	5.2
会	5.22
主动	6.04
与	4.86
一些	5.12
客户	5.42
和	5.46
合作伙伴	-1
当面	-1
沟通	5.78
我	5.58
希望	6.64
通过	5.84
本书	-1
向	5.2
公众	5.28
传达	5.24
这样	4.94
一个	5.1
理念	5.5
对	6.14
不断	5.0
追求	5.98
竞争力	-1
的	5.1
法国	5.34
企业	5.24
而言	-1
是否	4.96
能够	5.44
从	5.16
中国	6.06
创新	6.88
模式	5.1
的	5.1
某些	-1
特质	5.58
中	4.98
汲取	5.2
灵感	6.54
去	4.86
延续	5.28
未来	6.28
的	5.1
成功	7.48
呢	4.92
中国	6.06
企业	5.24
的	5.1
创新	6.88
活动	6.04
具有	5.5
以下	4.8
三个	-1
特征	5.46
野心	4.58
市场	4.92
规模	5.22
和	5.46
超	5.64
增长	5.9
这是	-1
美国	5.6
的	5.1
主流	5.84
观点	5.4
中国	6.06
对此	-1
也	5.2
有	5.36
自己	5.28
的	5.1
阐释	5.38
即	4.96
强大	6.52
的	5.1
加速	5.72
能力	5.9
集体	5.38
精神	5.86
以及	5.04
组织	5.08
工业	5.08
结构	5.0
的	5.1
国家	5.34
这	5.14
本书	-1
不是	4.2
一本	-1
政治	4.64
读物	-1
既	4.86
不	4.4
故意	4.12
夸大其词	-1
也	5.2
不	4.4
分析	5.42
时下	-1
被	4.5
媒体	5.52
广泛	5.66
报道	5.14
的	5.1
时事	5.28
热点	5.5
即	4.96
中	4.98
美的	-1
地缘	5.22
政治	4.64
冲突	3.32
读	5.14
罢	-1
此书	-1
企业	5.24
领导者	-1
管理人员	-1
学生	5.32
研究	5.78
人员	5.44
或	4.96
对此	-1
主题	5.34
颇感兴趣	-1
的	5.1
人	5.3
都	4.84
能	5.48
从中	4.88
获取	5.7
适用	5.84
于	5.14
企业	5.24
理念	5.5
或	4.96
具体措施	-1
的	5.1
新	5.94
灵感	6.54
从	5.16
广义	5.42
而言	-1
这	5.14
本书	-1
可以	5.58
为	5.16
每位	-1
读者	5.32
提供	5.48
思考	5.58
和	5.46
解码	-1
未来	6.28
世界	5.78
的	5.1
素材	5.54
有些	5.2
人	5.3
将	5.36
中国	6.06
企业	5.24
视作	-1
威胁	3.42
而	5.18
非	4.66
机遇	6.06
没有	4.42
花	6.3
时间	5.32
去	4.86
了解	5.28
其	5.24
运行	5.5
情况	5.02
分析	5.42
其	5.24
发展	6.16
模式	5.1
从而	5.04
提升	6.0
自身	5.1
的	5.1
竞争力	-1
和	5.46
发展	6.16
力	5.38
为什么	4.32
不	4.4
这样	4.94
做	5.26
呢	4.92
认识	5.36
和	5.46
了解	5.28
华为	-1
就是	4.98
一个	5.1
绝佳	-1
的	5.1
出发点	5.08
	-1
[	-1
1	-1
]	-1
中国	6.06
广东省	-1
的	5.1
副	4.78
省级	-1
城市	5.5
位于	4.96
香港	5.96
北部	5.34
和	5.46
东莞	-1
南部	5.32
是	5.42
珠江三角洲	-1
的	5.1
重要	5.68
城市	5.5
截至	4.78
2018	-1
年	5.1
年末	5.1
深圳	5.58
约	5.2
有	5.36
1300	-1
万	5.38
常住人口	-1
1980	-1
年	5.1
至	5.2
2010	-1
年	5.1
深圳市	-1
生产总值	-1
年均	-1
增长率	-1
为	5.16
25	-1
8%	-1
[	-1
2	-1
]	-1
两本	-1
著作	5.64
均	5.02
由	4.86
埃	4.8
罗勒	-1
出版社	-1
出版	5.38
[	-1
3	-1
]	-1
中国	6.06
广东省	-1
下辖	-1
的	5.1
地级市	-1
常住人口	-1
超过	5.66
800	-1
万	5.38
位于	4.96
深圳	5.58
北部	5.34
是	5.42
珠江三角洲	-1
中心	5.16
城市	5.5
之一	-1
[	-1
4	-1
]	-1
世界	5.78
移动	5.2
通信	5.48
大会	4.94
是	5.42
全球	5.46
移动	5.2
通信	5.48
系统	5.02
协会	5.22
gsma	-1
举办	5.4
的	5.1
行业	5.02
大会	4.94
是	5.42
移动	5.2
行业	5.02
最大	5.96
的	5.1
活动	6.04
全球	5.46
运营商	-1
供应商	-1
终端	5.02
制造商	-1
以及	5.04
内容	4.94
生产商	-1
汇聚	-1
于	5.14
此	4.8
共襄	-1
盛会	-1
