第一篇	-1
创业	5.92
前	5.24
史	5.1
1	-1
我	5.58
的	5.1
少年时代	-1
诞生	5.98
从	5.16
和歌山	-1
市	5.0
沿着	-1
关西	-1
县东行	-1
约	5.2
8	-1
公里	5.08
有个	-1
村庄	5.48
地址	5.04
是	5.42
日本	4.68
和歌山	-1
县	5.14
海草	-1
郡	5.2
和	5.46
佐	-1
村千旦	-1
之木	-1
是	5.42
我	5.58
的	5.1
出生地	-1
千旦	-1
之木	-1
是	5.42
一棵	-1
树龄	-1
高	6.1
达	5.42
800	-1
年	5.1
的	5.1
老	3.58
松树	-1
松下	-1
这个	5.02
姓	5.34
就是	4.98
这样	4.94
来	5.26
的	5.1
我	5.58
的	5.1
家世	-1
不算	-1
显赫	6.25
只是	4.54
籍	4.78
籍无名	-1
的	5.1
农家	5.46
不过	4.72
源远流长	-1
收在	-1
佛桌	-1
抽	4.78
屉里	-1
的	5.1
家谱	-1
从	5.16
18	-1
世纪	5.1
至今	5.12
连续	5.06
记载	5.4
着	4.88
40	-1
多位	-1
族人	5.18
的	5.1
名讳	-1
我	5.58
出生	5.58
在	5.02
中日	-1
中午	5.1
战争	3.32
那	5.12
一年	-1
家里	5.68
有	5.36
双亲	-1
和	5.46
兄弟姐妹	-1
8	-1
人	5.3
在	5.02
千旦	-1
之	5.26
木	4.74
算个	-1
小地主	-1
父亲	6.4
名正楠	-1
曾	4.8
担任	5.8
村民代表	-1
的	5.1
职务	5.12
大哥	5.86
在	5.02
当时	5.0
和歌山	-1
县	5.14
唯一	-1
的	5.1
中学	5.46
念书	-1
是	5.42
一件	-1
体面	6.4
的	5.1
事	5.14
父亲	6.4
很少	-1
耕作	5.78
他	5.06
多半	5.24
是	5.42
出席	5.56
村	5.14
议会	5.24
或	4.96
参与	5.62
村公所	-1
的	5.1
事务	4.82
我	5.58
是	5.42
8	-1
个	4.94
兄弟姐妹	-1
中	4.98
的	5.1
老	3.58
么	4.92
在	5.02
三	5.18
兄弟	5.84
中	4.98
最	5.14
得宠	-1
现在	5.14
我	5.58
还	5.16
模糊	4.04
记得	5.44
小时候	5.78
常由	-1
奶妈	-1
背着	-1
到	5.3
溪流	-1
中捉	-1
小鱼	-1
跟	5.06
奶妈	-1
做	5.26
游戏	5.94
黄昏时候	-1
听	5.64
奶妈	-1
唱	6.0
摇篮曲	-1
边	5.08
打盹	-1
边	5.08
走过	-1
田畦	-1
的	5.1
小路	-1
回家	-1
幼年时代	-1
可以	5.58
说	5.22
过	5.04
得	5.44
平凡	5.38
而	5.18
幸福	7.54
有	5.36
一天	4.92
我家	6.5
突遭	-1
天灾	-1
转眼间	-1
房子	5.4
和	5.46
财物	5.92
被	4.5
风吹	3.58
得	5.44
无影无踪	-1
全家	-1
顿时	-1
陷入绝境	-1
那时	-1
甲午战争	-1
结束	4.72
日本	4.68
渐渐	5.24
成为	5.42
国际舞台	-1
上	5.58
的	5.1
角色	5.34
经济	5.44
进步	6.74
企	5.32
业	4.86
热潮	5.34
也	5.2
浸润	-1
到	5.3
和歌山	-1
故乡	6.32
设立	5.14
了	5.08
米	5.68
谷	5.3
交易所	5.12
投机	4.6
买卖	5.24
的	5.1
风气	5.02
很盛	-1
父	6.16
亲	6.5
虽然	4.66
是	5.42
农夫	-1
可是	4.94
他	5.06
是	5.42
小地主	-1
平常	5.26
不大	3.58
做	5.26
农事	-1
再	4.96
加上	-1
他	5.06
有	5.36
进取	6.52
的	5.1
性格	5.44
一	5.02
心想	-1
赶新	-1
事业	5.74
所以	5.24
到	5.3
交易所	5.12
去	4.86
做	5.26
投机	4.6
买卖	5.24
批评	3.32
父亲	6.4
是	5.42
不	4.4
应该	5.1
的	5.1
可是	4.94
我	5.58
一向	5.34
认为	5.1
象	5.08
这种	-1
非生产性	-1
的	5.1
事业	5.74
不	4.4
可能	5.2
顺利	6.78
成功	7.48
结果	5.16
在短期内	-1
父亲	6.4
就	4.94
把	4.94
祖先	5.56
留下来	-1
的	5.1
土地	5.22
和	5.46
房子	5.4
都	4.84
赔光	-1
了	5.08
我们	5.96
一家	5.56
离开	4.0
住惯	-1
了	5.08
的	5.1
千旦	-1
之木	-1
搬	5.1
到	5.3
和歌山	-1
市	5.0
把	4.94
剩下	-1
的	5.1
家产	-1
变卖	-1
做	5.26
资本	5.0
在	5.02
和歌山	-1
闹区	-1
和	5.46
本	5.2
叮	-1
一段	5.06
开	5.36
了	5.08
一	5.02
家木展	-1
店	4.98
还是	5.22
父亲	6.4
的	5.1
朋友	6.5
帮	5.54
了	5.08
大忙	-1
才	5.48
开成	-1
的	5.1
大哥	5.86
念	5.16
到	5.3
中学	5.46
四年级	-1
就	4.94
退	4.18
学	5.56
回来	5.44
做	5.26
店员	-1
帮	5.54
父亲	6.4
做生意	-1
那	5.12
时候	5.0
我	5.58
才	5.48
四岁	-1
对	6.14
家庭	6.0
变故	-1
一点	4.88
都	4.84
不	4.4
关心	6.48
每天	-1
在	5.02
母亲	6.96
膝下	-1
游戏	5.94
现	5.02
在	5.02
我	5.58
还	5.16
记得	5.44
当时	5.0
好象	-1
伪造	3.22
银币	-1
很多	5.46
每次	-1
收到	-1
客人	5.74
的	5.1
五毛钱	-1
父母	6.52
都	4.84
要	5.2
打	4.02
响	5.12
听听	-1
它	5.16
的	5.1
声音	5.42
以辨	-1
真假	-1
任何	5.22
时代	5.44
都	4.84
有	5.36
这种	-1
事	5.14
一如	-1
石川	-1
五	5.14
右卫	-1
门	5.2
所说	-1
沙滩	-1
的	5.1
细沙	-1
和	5.46
盗贼	3.22
的	5.1
种	5.26
是	5.42
不会	3.22
根绝	3.22
的	5.1
这	5.14
真是	5.0
千古	-1
名言	5.74
啊	4.78
到	5.3
大阪	-1
谋生	4.86
木展	-1
店	4.98
并	5.04
没有	4.42
维持	5.24
很	5.14
久	5.06
大约	4.98
两年	-1
多	5.66
就	4.94
关门	4.7
了	5.08
家庭	6.0
生活	5.58
一天	4.92
比	5.0
一天	4.92
困	3.78
难	3.18
父亲	6.4
为了	5.14
维持	5.24
家计	-1
每天	-1
都	4.84
在	5.02
奔波	-1
那种	-1
辛苦	4.1
的	5.1
样子	4.96
到	5.3
现在	5.14
还	5.16
模糊地	-1
记得	5.44
真是	5.0
祸不单行	-1
我人	-1
小学	5.54
那	5.12
一年	-1
大哥	5.86
经人介绍	-1
到	5.3
创立	5.78
不久	5.04
的	5.1
和歌山	-1
纺织	5.24
工厂	4.9
当	5.0
事务员	-1
有	5.36
一天	4.92
受凉	-1
感冒	3.18
病倒	-1
了	5.08
可怜	3.54
仅过	-1
三个	-1
多月	-1
就	4.94
去世	3.14
了	5.08
紧接着	-1
在	5.02
同一	5.06
年	5.1
二哥	-1
和	5.46
大姐	-1
也	5.2
病死	-1
了	5.08
现在	5.14
想	5.3
起来	5.5
一定	5.36
是	5.42
患	3.44
了	5.08
流行	5.74
性感冒	-1
之类	-1
的	5.1
传染病	3.44
本来	4.98
已经	5.18
很	5.14
穷困	3.44
的	5.1
家	6.62
再	4.96
遭遇	3.74
这些	5.18
不幸	2.86
父母	6.52
在精神上	-1
和	5.46
财务	5.14
上	5.58
都	4.84
受到	4.78
沉重	3.54
的	5.1
打击	3.94
我	5.58
现在	5.14
想起	5.62
当时	5.0
母亲	6.96
那种	-1
喃喃	3.94
抱怨	3.32
和	5.46
疲惫不堪	-1
的	5.1
神态	-1
仍会感	-1
到	5.3
心痛	3.32
虽然	4.66
如此	5.22
母亲	6.96
在	5.02
那样	5.14
的	5.1
境遇	4.9
下	4.6
仍然	5.02
很	5.14
疼爱	6.74
我	5.58
这个	5.02
老	3.58
么	4.92
直到现在	-1
我	5.58
还	5.16
时时	5.16
怀念	5.76
父母	6.52
失去	3.38
了	5.08
两个	-1
儿子	5.86
大概	4.84
把	4.94
希望	6.64
都	4.84
寄托	5.52
在	5.02
我	5.58
一个	5.1
人	5.3
的	5.1
身上	5.08
我	5.58
常常	5.52
想	5.3
只要	5.16
他们	5.12
之中	-1
能	5.48
有	5.36
一位	-1
现在	5.14
仍	4.82
活着	6.3
那就好	-1
了	5.08
可是	4.94
双亲	-1
都	4.84
不	4.4
在	5.02
这	5.14
一点	4.88
一直	5.48
使	4.9
我	5.58
遗憾	3.66
俗语说	-1
子欲养	-1
而亲	-1
不	4.4
在	5.02
真是	5.0
说得好	-1
年轻	6.48
的	5.1
时候	5.0
对	6.14
父母	6.52
的	5.1
慈爱	-1
并	5.04
没有	4.42
心怀	-1
感激	6.92
之情	-1
反而	4.46
处处	4.84
拂逆	-1
等到	5.24
亲人	6.84
不	4.4
在	5.02
之后	4.98
才	5.48
体会	5.46
到	5.3
亲情	-1
的	5.1
伟大	6.8
后悔	-1
为什么	4.32
不早	-1
尽些	-1
孝道	-1
已经	5.18
太晚	-1
了	5.08
当	5.0
此	4.8
之际	-1
父亲	6.4
焦急	3.58
地	5.16
尝试	5.76
做	5.26
各种	-1
工作	5.18
少年	5.7
的	5.1
我	5.58
却	4.68
一直	5.48
过	5.04
着	4.88
天	5.32
真的	-1
小学生	5.54
生活	5.58
我读	-1
二年级	-1
那	5.12
一年	-1
1902	-1
年	5.1
父亲	6.4
对	6.14
未来	6.28
可能	5.2
有	5.36
了	5.08
新	5.94
指望	5.38
只身	-1
前往	5.4
大阪	-1
在	5.02
创立	5.78
不久	5.04
的	5.1
私立	4.8
大阪	-1
盲哑	-1
院	5.18
找到	5.44
了	5.08
工作	5.18
在	5.02
那儿	4.92
照顾	5.94
盲哑	-1
生并	-1
处理	4.82
行政事务	-1
以后	4.92
我	5.58
和	5.46
母亲	6.96
姐姐	6.28
就	4.94
依靠	5.62
父亲	6.4
每月	-1
寄来	-1
的	5.1
少许	-1
生活费	5.04
过	5.04
着	4.88
清苦	-1
却	4.68
平安	6.34
的	5.1
生活	5.58
我	5.58
继续	5.36
升	6.28
上	5.58
三年级	-1
四年级	-1
当时	5.0
我	5.58
是	5.42
个	4.94
很	5.14
害羞	3.58
的	5.1
小孩	5.98
学校	5.76
每有	-1
庆祝	7.0
活动	6.04
大部分	-1
学生	5.32
都	4.84
会	5.22
穿	5.34
小	4.6
仓	-1
的	5.1
男	5.32
裙子	-1
母亲	6.96
没钱买	-1
就	4.94
拿	5.02
大人	5.34
穿过	-1
有	5.36
丝绢	-1
的	5.1
男	5.32
裙子	-1
给	5.34
我	5.58
穿	5.34
我	5.58
觉得	5.38
很	5.14
难为情	3.58
所以	5.24
每	5.14
遇到	-1
重要	5.68
节日	6.34
都	4.84
哭叫	-1
着	4.88
不肯	3.58
穿	5.34
使	4.9
母亲	6.96
为难	3.52
我读	-1
的	5.1
小学	5.54
是	5.42
雄	5.92
寻常	5.08
小学校	5.32
当时	5.0
我	5.58
的	5.1
级任	-1
村上	-1
老师	5.98
是	5.42
一位	-1
非	4.66
常	5.02
亲切	7.0
的	5.1
好	6.7
老师	5.98
我常到	-1
老师	5.98
家	6.62
玩	5.98
在	5.02
那儿	4.92
学会	5.76
了	5.08
将	5.36
棋	-1
日本	4.68
棋	-1
常常	5.52
和	5.46
两三个	-1
朋友	6.5
下棋	-1
每次	-1
下	4.6
赢	-1
了	5.08
老师	5.98
就	4.94
夸奖	6.5600000000000005
我	5.58
这使	-1
我	5.58
更	5.34
得意	6.59
地	5.16
留在	-1
老师	5.98
家玩上	-1
一整天	-1
老师	5.98
的	5.1
家	6.62
相当	5.4
宽敞	-1
常常	5.52
有	5.36
橘子	-1
或	4.96
其他	4.88
一些	5.12
自己	5.28
种	5.26
的	5.1
水果	6.18
可	5.3
吃	5.78
是	5.42
小孩子	-1
玩耍	-1
最	5.14
快乐	7.82
的	5.1
地方	5.18
就	4.94
在	5.02
小学	5.54
四年级	-1
的	5.1
秋天	5.84
一直	5.48
到	5.3
11	-1
月	5.28
都	4.84
还	5.16
平安无事	-1
11	-1
月	5.28
中旬	5.0
父亲	6.4
写信	-1
回家	-1
说	5.22
幸之助	-1
已经	5.18
读	5.14
四年级	-1
还有	-1
两年	-1
就	4.94
毕业	5.96
了	5.08
可是	4.94
在	5.02
大阪	-1
的	5.1
八幡	-1
筋	-1
我	5.58
有	5.36
一位	-1
密友	-1
名叫	-1
宫田	-1
开	5.36
一家	5.56
火盆	-1
店	4.98
正	5.72
需要	5.18
学徒	-1
这	5.14
是	5.42
很	5.14
难得	5.74
的	5.1
机会	6.0
叫	4.96
幸之助	-1
赶快	4.86
来	5.26
当时	5.0
的	5.1
情况	5.02
我	5.58
记得	5.44
并	5.04
不	4.4
很	5.14
清楚	6.04
我	5.58
好象	-1
没有	4.42
反对	3.84
11	-1
月	5.28
下旬	5.02
我	5.58
记得	5.44
是	5.42
23	-1
日	4.88
终于	5.52
被	4.5
母亲	6.96
送到	-1
纪之川	-1
火车站	-1
母亲	6.96
拜托	3.84
往	5.4
大阪	-1
去	4.86
的	5.1
旅客	5.5
说	5.22
小	4.6
孩要	-1
去	4.86
大阪	-1
到	5.3
了	5.08
大阪	-1
有人	5.14
会来	-1
接	5.14
一路上	-1
请	5.62
多多	-1
照顾	5.94
这时候	-1
的	5.1
我	5.58
真	5.94
是	5.42
百感交集	-1
要	5.2
与	4.86
母亲	6.96
离别	-1
的	5.1
寂寞	3.36
感觉	5.5
对	6.14
没有	4.42
去过	-1
的	5.1
大阪	-1
的	5.1
憧憬	6.55
母亲	6.96
流	5.2
着	4.88
眼泪	3.82
交代	4.86
我	5.58
的话	4.9
第一次	-1
坐火车	-1
的	5.1
欢喜	6.5
等等	-1
全涌	-1
上	5.58
心头	5.56
那时	-1
的	5.1
情景	5.34
现在	5.14
仍然	5.02
记得	5.44
很	5.14
清楚	6.04
想起	5.62
母亲	6.96
孤单	3.82
的	5.1
身影	5.38
现在	5.14
还会	-1
心疼	3.82
就	4.94
这样	4.94
9	-1
岁	5.44
一般	4.66
传记	5.0
或	4.96
年表	-1
误算为	-1
11	-1
岁	5.44
那年	-1
的	5.1
秋天	5.84
我	5.58
终于	5.52
向商	-1
都	4.84
大阪	-1
出发	5.56
了	5.08
这	5.14
一年	-1
日俄战争	-1
开战	-1
我	5.58
一路上	-1
看着	-1
窗外	-1
的	5.1
景色	6.4
做些	-1
平	5.02
凡	4.94
的	5.1
幻想	5.28
大阪	-1
到	5.3
了	5.08
父亲	6.4
已	5.54
在	5.02
那儿	4.92
等	4.72
着	4.88
我	5.58
从来	4.94
没有	4.42
那么	4.88
高兴	7.38
过	5.04
当时	5.0
的	5.1
难波	-1
车站	5.3
当然	5.44
没有	4.42
今天	5.52
的	5.1
南海	5.44
高岛	-1
屋	5.6
那样	5.14
的	5.1
建筑物	-1
只不过	-1
象	5.08
现在	5.14
小	4.6
都市	5.38
的	5.1
普通	5.1
车站	5.3
罢了	4.32
使	4.9
我	5.58
觉得	5.38
新鲜	6.3
的	5.1
是	5.42
路边	-1
排	5.14
着	4.88
很多	5.46
人力车	-1
一	5.02
那	5.12
时	5.04
当然	5.44
不	4.4
可能	5.2
有	5.36
电车	5.36
火盆	-1
店	4.98
学徒	-1
就	4.94
这样	4.94
我	5.58
从	5.16
火盆	-1
店	4.98
开始	5.26
我	5.58
的	5.1
学徒	-1
生涯	5.6
这家	-1
火盆	-1
店	4.98
是	5.42
自制	-1
自销	-1
的	5.1
店铺	-1
我们	5.96
都	4.84
叫	4.96
店主	-1
为	5.16
老大	5.66
老大	5.66
和	5.46
两三个	-1
职员	5.1
造好	-1
东西	5.06
摆在	-1
店面	-1
销售	5.38
有时	5.24
也	5.2
到	5.3
顾客	5.6
家去	-1
销售	5.38
我	5.58
的	5.1
名份	-1
是	5.42
学徒	-1
兼	5.0
看	5.58
小孩	5.98
在家	5.18
过惯	-1
了	5.08
苦日子	-1
所以	5.24
帮	5.54
大人	5.34
打打杂	-1
并	5.04
不	4.4
感到	5.36
辛苦	4.1
可是	4.94
心里	5.3
的	5.1
寂寞	3.36
却	4.68
使	4.9
我	5.58
受不了	3.36
晚上	5.02
打烊	-1
就寝	-1
后	5.0
就	4.94
会	5.22
想起	5.62
母亲	6.96
哭个	-1
不停	-1
最初	5.52
的	5.1
四五天	-1
都	4.84
是	5.42
如此	5.22
呆久	-1
了	5.08
以后	4.92
偶尔	5.24
想	5.3
起来	5.5
还是	5.22
会	5.22
哭	3.16
其	5.24
实	5.64
我	5.58
也	5.2
是	5.42
比较	5.22
爱哭	-1
的	5.1
孩子	5.94
我	5.58
在	5.02
火盆	-1
店里	-1
的	5.1
工作	5.18
除了	4.74
看	5.58
小孩	5.98
之外	-1
有空	-1
要	5.2
擦亮	-1
火盆	-1
上等货	-1
和	5.46
下	4.6
等	4.72
货	5.04
擦亮	-1
的	5.1
方法	5.46
不同	5.22
先	5.34
用	5.1
砂纸	-1
擦	-1
然后	5.0
用	5.1
木贼	-1
草名	-1
晒干	-1
之后	4.98
可用	5.66
来	5.26
擦亮	-1
东西	5.06
打光	-1
好	6.7
的	5.1
火盆	-1
光是	-1
用	5.1
木贼	-1
擦	-1
就	4.94
得	5.44
花	6.3
上	5.58
一天	4.92
工夫	-1
我	5.58
本来	4.98
柔	-1
细	5.24
的	5.1
手	5.5
很快	-1
就	4.94
破	3.78
了	5.08
也	5.2
红肿	-1
起来	5.5
一个月	-1
下来	4.78
早上	5.84
使用	5.2
抹布	-1
的	5.1
时候	5.0
水	5.96
会	5.22
浸人	-1
皮肤	5.5
干裂	-1
处	4.84
很痛	-1
做	5.26
为	5.16
一个	5.1
学徒	-1
的	5.1
薪水	5.74
是	5.42
初一	-1
和	5.46
十五	-1
各发	-1
一次	5.12
每次	-1
五分	-1
钱	6.24
我	5.58
在	5.02
家里	5.68
从	5.16
来	5.26
没有	4.42
领过	-1
那么	4.88
大笔	-1
的	5.1
钱	6.24
所以	5.24
非常高兴	-1
可是	4.94
有	5.36
一回	-1
我犯	-1
了	5.08
一次	5.12
过失	3.38
把	4.94
五分	-1
钱里	-1
的	5.1
一分钱	-1
用	5.1
掉	4.56
了	5.08
那时	-1
发生	4.78
的	5.1
每件事	-1
不	4.4
知道	5.38
为什么	4.32
到	5.3
现在	5.14
还	5.16
记得	5.44
清清楚楚	-1
经过	5.06
情形	5.1
是	5.42
这样	4.94
的	5.1
当时	5.0
有	5.36
一种	-1
铁	5.18
陀螺	-1
现在	5.14
大都市	-1
很少	-1
见到	-1
可以	5.58
甩	4.06
在	5.02
盆子	-1
里	5.18
打转	-1
是	5.42
流行	5.74
的	5.1
一种	-1
游戏	5.94
我	5.58
很	5.14
喜欢	7.02
玩	5.98
那	5.12
一天	4.92
