前言	-1
改革开放	-1
40	-1
年	5.1
以来	4.98
伴随	5.68
着	4.88
中国	6.06
经济社会	-1
的	5.1
持续	5.4
高速	5.52
发展	6.16
珠海	5.74
格力电器	-1
有限公司	-1
简称	5.16
格力	-1
从	5.16
名不见经传	-1
的	5.1
小厂	-1
逐步	5.42
发展	6.16
成为	5.42
千亿	-1
规模	5.22
的	5.1
世界级	-1
企业	5.24
在	5.02
过去	5.2
近	5.22
30	-1
年间	5.02
创造	6.42
了	5.08
众多	5.32
奇迹	7.08
这些	5.18
成就	6.38
既	4.86
得益于	-1
改革开放	-1
波澜壮阔	-1
的	5.1
时代	5.44
浪潮	5.16
又	4.98
归功于	-1
格力	-1
独特	5.92
的	5.1
发展	6.16
模式	5.1
和	5.46
路径	5.22
20	-1
世纪	5.1
90	-1
年代	4.96
初	5.14
在	5.02
国内	5.22
商品	5.32
供不应求	5.02
的	5.1
年代	4.96
格力	-1
却	4.68
下大力气	-1
强化	5.46
质量	5.5
管理	5.3
停产	-1
3	-1
个	4.94
月	5.28
开展	5.54
质量	5.5
整改	-1
活动	6.04
投入	5.8
巨资	-1
设立	5.14
行业	5.02
唯一	-1
的	5.1
筛选	5.06
分厂	-1
保障	5.8
物料	-1
采购	5.34
质量	5.5
等	4.72
90	-1
年代	4.96
末	4.58
在	5.02
国内	5.22
同行	5.34
企业	5.24
进军	5.12
汽车	5.24
等	4.72
新	5.94
领域	5.08
寻求	5.3
多元化	-1
发展	6.16
的	5.1
时候	5.0
格力	-1
却	4.68
选择	5.22
专注	-1
于	5.14
单一	4.86
空调	5.5
领域	5.08
进行	5.28
深耕细作	-1
21	-1
世纪	5.1
初	5.14
在	5.02
国内	5.22
很多	5.46
制造	5.32
企业	5.24
仍	4.82
在	5.02
强调	5.0
引进	5.38
国外	5.8
技术	5.08
进行	5.28
模仿	5.0
复制	5.1
时	5.04
格力	-1
已经	5.18
意识	5.0
到	5.3
核心技术	-1
是	5.42
买不到	-1
的	5.1
开始	5.26
走向	5.3
坚持	6.18
自主	6.0
创新	6.88
掌握	5.92
核心	5.58
科技	5.78
的	5.1
道路	4.96
格力	-1
的	5.1
成功	7.48
是	5.42
有目共睹	-1
的	5.1
提到	-1
格力	-1
好	6.7
空调	5.5
格力	-1
造	5.36
格力	-1
掌握	5.92
核心	5.58
科技	5.78
让	5.36
天空	5.7
更	5.34
蓝	5.68
大地	5.82
更	5.34
绿	-1
让	5.36
世界	5.78
爱上	6.38
中国	6.06
造	5.36
等	4.72
耳熟能详	-1
的	5.1
广告语	-1
早已	4.76
深入人心	-1
刻画	5.32
着	4.88
格力	-1
专注	-1
匠心	-1
制造	5.32
自主	6.0
创新	6.88
不断	5.0
增强	6.24
竞争	5.2
优势	6.5
勇担	-1
社会	5.0
责任	5.18
心怀	-1
家国	-1
创造	6.42
出	4.98
巨大	5.36
的	5.1
社会	5.0
价值	5.86
环境	5.12
价值	5.86
和	5.46
经济	5.44
价值	5.86
的	5.1
特质	5.58
多年	5.08
来	5.26
格力	-1
坚守	5.58
空调	5.5
领域	5.08
于	5.14
2012	-1
年	5.1
首次	-1
实现	5.72
销售收入	-1
突破	5.82
1000	-1
亿元	-1
并	5.04
逐步	5.42
开展	5.54
企业	5.24
多元化	-1
布局	5.38
在	5.02
智能家居	-1
智能	6.28
制造	5.32
数控机床	-1
新能源	-1
等	4.72
领域	5.08
拓展	5.94
新	5.94
业务	5.28
将	5.36
企业	5.24
发展	6.16
更加	5.62
密切	5.56
地同	-1
国家	5.34
发展	6.16
社会	5.0
责任	5.18
科技进步	-1
相结合	-1
力争	5.82
再	4.96
创新	6.88
的	5.1
辉煌	7.18
那么	4.88
格力	-1
的	5.1
成功	7.48
密码	4.94
是	5.42
什么	5.04
新	5.94
时代背景	-1
下	4.6
中国	6.06
在	5.02
众多	5.32
领域	5.08
取得	5.58
了	5.08
长足进步	-1
中国	6.06
领先	6.26
企业	5.24
纷纷	5.08
迈入	-1
无人区	-1
逐渐	5.26
从	5.16
创新	6.88
追赶	-1
发展	6.16
到	5.3
了	5.08
创新	6.88
领跑	-1
的	5.1
新	5.94
阶段	4.78
面临	4.64
着	4.88
新	5.94
的	5.1
机遇	6.06
和	5.46
挑战	5.38
为	5.16
积极响应	-1
习近平	-1
总书记	-1
提出	5.04
的	5.1
中国	6.06
制造	5.32
向	5.2
中国	6.06
创造	6.42
转变	5.56
中国	6.06
速度	5.52
向	5.2
中国	6.06
质量	5.5
转变	5.56
中国	6.06
产品	5.3
向	5.2
中国	6.06
品牌	5.68
转变	5.56
的	5.1
三个	-1
转变	5.56
重要	5.68
论述	5.24
本书	-1
作者	5.44
希望	6.64
通过	5.84
深度	5.4
还原	5.08
格力	-1
坚持	6.18
自主	6.0
创新	6.88
创新	6.88
营销	5.22
模式	5.1
对	6.14
员工	5.12
负责	5.58
为	5.16
国家	5.34
担当	5.34
给	5.34
社会	5.0
造福	6.52
的	5.1
经营	5.32
实践	5.54
总结	5.4
格力	-1
的	5.1
成功经验	-1
从而	5.04
深入	5.26
剖析	5.04
格力	-1
发展	6.16
的	5.1
成功	7.48
密码	4.94
为	5.16
中国	6.06
企业	5.24
的	5.1
进步	6.74
提供	5.48
可资	-1
借鉴	5.46
的	5.1
方法	5.46
和	5.46
经验	6.1
应	5.28
格力	-1
的	5.1
邀请	5.92
我同	-1
团队	5.26
于	5.14
2013	-1
年	5.1
就	4.94
和	5.46
格力	-1
展开	5.68
了	5.08
项目	5.36
合作	5.78
在	5.02
与	4.86
格力	-1
合作	5.78
的	5.1
多个	-1
项目	5.36
过程	5.06
中	4.98
我们	5.96
团队	5.26
走进	-1
格力	-1
学习	5.86
格力	-1
研究	5.78
格力	-1
致敬	-1
格力	-1
我们	5.96
发现	5.9
作为	5.18
中国	6.06
代表性	-1
的	5.1
制造	5.32
企业	5.24
格力	-1
的	5.1
企业	5.24
管理模式	-1
有着	5.04
很多	5.46
独到之处	-1
不仅	5.34
在	5.02
方法	5.46
上	5.58
具有	5.5
先进性	-1
和	5.46
独创性	6.09
更是	-1
在	5.02
实践	5.54
应用	5.46
中	4.98
取得	5.58
了	5.08
显著	6.12
成效	6.06
具有	5.5
积极	6.38
的	5.1
示范	5.72
意义	5.54
对	6.14
其	5.24
进行	5.28
科学规范	-1
的	5.1
总结	5.4
提炼	5.4
和	5.46
升华	6.68
无疑	4.96
是	5.42
对	6.14
管理	5.3
理论	5.14
创新	6.88
的	5.1
一大	-1
贡献	6.28
为此	-1
2015	-1
年	5.1
11	-1
月	5.28
我们	5.96
开始	5.26
针对	4.42
格力	-1
成功	7.48
的	5.1
管理模式	-1
进行	5.28
系统性	-1
的	5.1
归纳	5.3
总结	5.4
和	5.46
提炼	5.4
升华	6.68
着手	5.08
格力	-1
模式	5.1
一书	-1
的	5.1
创作	5.6
从	5.16
管理	5.3
理论	5.14
上	5.58
解读	5.38
格力	-1
的	5.1
成功	7.48
密码	4.94
探索	5.58
具有	5.5
时代特征	-1
中国	6.06
特色	5.64
格力	-1
特点	5.32
的	5.1
企业	5.24
经营	5.32
模式	5.1
在	5.02
与	4.86
董明珠	-1
董事长	-1
的	5.1
会谈	5.16
中	4.98
她	5.2
与	4.86
我们	5.96
共同	5.64
探讨	5.26
对	6.14
本书	-1
进行	5.28
三个	-1
功能定位	-1
一是	-1
传承	-1
打造	-1
格力	-1
的	5.1
传家宝	-1
对	6.14
格力	-1
的	5.1
先进	6.08
管理	5.3
实践	5.54
进行	5.28
总结	5.4
归纳	5.3
和	5.46
理论	5.14
升华	6.68
形成	5.22
独具	-1
格力	-1
特色	5.64
的	5.1
管理	5.3
思想体系	-1
用于	-1
员工	5.12
的	5.1
培训	5.22
和	5.46
学习	5.86
使	4.9
格力	-1
精神	5.86
