	-1
第一章	-1
初涉	-1
商海	-1
一个	5.1
人	5.3
蹒跚	-1
学步	-1
时	5.04
的	5.1
步态	-1
是	5.42
笨拙	-1
的	5.1
也	5.2
是	5.42
容	5.54
易	5.96
被	4.5
人	5.3
遗忘	3.78
的	5.1
但	4.62
一个	5.1
初涉	-1
商海	-1
者	5.0
的	5.1
脚步	5.06
却是	-1
令	4.98
人	5.3
难忘	6.0
的	5.1
在	5.02
整整	5.16
40	-1
天里	-1
我	5.58
向	5.2
一个	5.1
无赖	3.78
追债	-1
的	5.1
过程	5.06
中	4.98
受够了	-1
愚弄	3.78
和	5.46
欺骗	2.52
付出	5.4
了	5.08
本	5.2
不	4.4
应该	5.1
由	4.86
我	5.58
付出	5.4
的	5.1
辛酸	2.52
和	5.46
泪水	3.76
但	4.62
对于	4.94
后来	4.9
的	5.1
我	5.58
来	5.26
说	5.22
这种	-1
付出	5.4
是	5.42
值得	6.0
的	5.1
它	5.16
决定	5.32
了	5.08
我	5.58
今后	5.5
用	5.1
什么	5.04
样	5.08
的	5.1
方式	4.94
走	5.3
自己	5.28
的	5.1
路	5.2
我	5.58
是因为	-1
一个	5.1
偶然	5.34
的	5.1
机会	6.0
才	5.48
加入	5.42
营销	5.22
行列	5.18
的	5.1
1990	-1
年	5.1
当	5.0
我	5.58
刚刚	4.98
走进	-1
国营	4.8
珠海	5.74
海利	-1
空调器	-1
厂	5.06
格	5.22
力	5.38
空调	5.5
的	5.1
前身	5.16
做	5.26
营销	5.22
工作	5.18
时	5.04
对于	4.94
我	5.58
来说	-1
营销	5.22
完全	5.5
是	5.42
一个	5.1
陌生	4.2
的	5.1
行业	5.02
在	5.02
当时	5.0
既	4.86
没有	4.42
可以	5.58
供	5.26
我	5.58
学习	5.86
理论	5.14
的	5.1
机会	6.0
也	5.2
没有	4.42
可以	5.58
供	5.26
我	5.58
借鉴	5.46
的	5.1
经验	6.1
因而	5.02
注定	5.3
自己	5.28
要	5.2
边	5.08
摸索	5.02
边	5.08
往前走	-1
°	-1
说	5.22
它	5.16
陌生	4.2
首先	5.32
来自	-1
于	5.14
对	6.14
商人	5.08
的	5.1
不	4.4
了解	5.28
不	4.4
知道	5.38
该	4.86
怎样	4.92
去	4.86
做通	-1
他们	5.12
的	5.1
工作	5.18
当时	5.0
人们	5.28
大都	5.36
对	6.14
营销	5.22
这个	5.02
概	5.16
念有	-1
一种	-1
深深	-1
的	5.1
偏见	3.54
和	5.46
误解	3.54
男	5.32
的	5.1
跑	5.18
业务	5.28
要	5.2
能吃能喝	-1
八面	-1
逢源	-1
女	5.82
的	5.1
要	5.2
青春	6.36
貌美	-1
善于	5.8
攻关	5.18
这里	4.88
的	5.1
攻关	5.18
也	5.2
包括	5.18
喝酒	-1
甚至	4.82
有	5.36
更进一步	-1
的	5.1
行	5.44
动	5.24
□	-1
记得	5.44
当时	5.0
有	5.36
一家	5.56
彩电	-1
厂	5.06
供销	5.18
科长	-1
是	5.42
个	4.94
不学	-1
无	4.18
术	4.88
的	5.1
市井无赖	-1
但	4.62
他	5.06
有	5.36
个	4.94
特长	6.32
一顿	-1
能	5.48
喝	5.58
二斤	-1
白	5.28
酒	5.06
因此	5.06
而	5.18
得到	5.66
了	5.08
企业	5.24
的	5.1
重用	-1
他	5.06
也	5.2
因此	5.06
给	5.34
企业	5.24
带来	-1
了	5.08
丰厚	6.94
的	5.1
回报	5.94
我	5.58
天性	5.42
不	4.4
喜欢	7.02
喝酒	-1
在	5.02
饭桌	-1
