	-1
自序	-1
愿	5.76
创业者	-1
少	4.3
走	5.3
一些	5.12
弯路	-1
这些	5.18
年	5.1
我	5.58
接触	5.32
了	5.08
不少	-1
创业者	-1
有	5.36
的	5.1
刚刚	4.98
从	5.16
零	4.64
起步	5.42
有	5.36
的	5.1
正	5.72
忙于	4.66
快速	5.84
发展	6.16
他们	5.12
遇到	-1
了	5.08
各种各样	-1
的	5.1
问题	4.46
例如	5.34
一位	-1
在线教育	-1
的	5.1
创业者	-1
说	5.22
我们	5.96
也	5.2
是	5.42
摸索	5.02
了	5.08
两年	-1
才	5.48
刚刚	4.98
搞	4.62
明白	6.1
自己	5.28
到底	4.96
要	5.2
干什么	4.82
他	5.06
最大	5.96
的	5.1
困惑	3.74
就是	4.98
我	5.58
看到	-1
了	5.08
大	5.7
趋势	5.14
可是	4.94
我	5.58
应该	5.1
从大	-1
趋势	5.14
中	4.98
的	5.1
哪个	4.9
细分	-1
市场	4.92
切入	-1
呢	4.92
又	4.98
如	5.06
一个	5.1
互联网	5.88
金融	5.4
的	5.1
创业	5.92
团队	5.26
恰在	-1
高速	5.52
发展	6.16
的	5.1
阶段	4.78
各种	-1
资源	5.14
机会	6.0
砸过来	-1
结果	5.16
人手不足	-1
导致	4.64
手忙脚乱	-1
把握	5.64
不住	3.74
资源	5.14
和	5.46
机会	6.0
他们	5.12
最大	5.96
的	5.1
困惑	3.74
就	4.94
在于	5.2
如何	5.28
一边	4.98
快速	5.84
扩张	5.48
一边	4.98
保持	5.68
团队	5.26
的	5.1
凝聚力	6.0
和	5.46
执行力	-1
他们	5.12
的	5.1
困惑	3.74
不是	4.2
个人	5.32
的	5.1
是	5.42
有	5.36
共性	5.34
的	5.1
所有	5.52
的	5.1
创业者	-1
都	4.84
面临	4.64
着	4.88
这些	5.18
问题	4.46
除了	4.74
上面	5.26
举	5.44
的	5.1
例子	4.98
问题	4.46
还有	-1
很多	5.46
比如	5.24
如何	5.28
为	5.16
这家	-1
公司	5.08
注入	5.02
好	6.7
的	5.1
企业	5.24
文化	5.92
又	4.98
比如	5.24
一位	-1
优秀	7.04
的	5.1
ceo	5.1
应该	5.1
是	5.42
怎么样	-1
的	5.1
除了	4.74
自身	5.1
去	4.86
摸着石头过河	-1
他们	5.12
还	5.16
可以	5.58
通过	5.84
学习	5.86
从	5.16
那些	5.02
在	5.02
创业	5.92
路上	5.34
走	5.3
得	5.44
更	5.34
远	4.84
的	5.1
创业者	-1
身上	5.08
学到	-1
经验	6.1
教训	3.9
这	5.14
本书	-1
的	5.1
主角	5.58
王兴	-1
恰好	6.04
就是	4.98
一个	5.1
很	5.14
好	6.7
的	5.1
学习	5.86
对象	5.56
出	4.98
生于	-1
1979	-1
年	5.1
的	5.1
王兴	-1
很	5.14
早就	-1
创业	5.92
了	5.08
2004	-1
年	5.1
他	5.06
就	4.94
开始	5.26
和	5.46
同学	5.74
一块儿	-1
创业	5.92
2005	-1
年	5.1
推出	5.26
了	5.08
校内	-1
网	5.24
2007	-1
年	5.1
他	5.06
又	4.98
创办	5.8
了	5.08
饭否	-1
网	5.24
这是	-1
中国	6.06
最早	5.24
的	5.1
类似	5.0
twitter	5.46
的	5.1
网站	5.1
2010	-1
年	5.1
他	5.06
又	4.98
创办	5.8
了	5.08
美团网	-1
校内	-1
网	5.24
饭否	-1
网在	-1
王兴	-1
的	5.1
创业	5.92
路上	5.34
都	4.84
留下	-1
了	5.08
遗憾	3.66
没有	4.42
获得	6.0
圆满	6.8
的	5.1
结局	5.06
到	5.3
了	5.08
美团网	-1
这家	-1
从	5.16
5000	-1
余家	-1
团购	-1
网站	5.1
中	4.98
杀出	-1
一条	5.24
血路	-1
的	5.1
公司	5.08
已经	5.18
成为	5.42
目前	5.02
最受	-1
关注	5.8
的	5.1
创业	5.92
公司	5.08
之一	-1
2014	-1
年	5.1
7	-1
月	5.28
美团	-1
网月	-1
交易额	-1
已经	5.18
突破	5.82
39	-1
亿元	-1
我	5.58
一直	5.48
认为	5.1
王兴	-1
是	5.42
中国	6.06
最	5.14
优秀	7.04
的	5.1
创业者	-1
之一	-1
他	5.06
的	5.1
身上	5.08
也	5.2
有	5.36
很多	5.46
值得	6.0
创业者	-1
学习	5.86
的	5.1
地方	5.18
2013	-1
年	5.1
7	-1
月	5.28
我	5.58
说服	5.72
王兴	-1
和	5.46
他	5.06
的	5.1
团队	5.26
接受	5.72
我	5.58
的	5.1
全方位	-1
采访	5.26
写	5.0
一本	-1
有关	5.4
王兴	-1
有关	5.4
美团	-1
网	5.24
的	5.1
书	5.5
开始	5.26
他们	5.12
有所	-1
顾虑	4.14
担心	3.46
我	5.58
把	4.94
这	5.14
本书	-1
写成	-1
高大	6.28
全	5.38
的	5.1
个人	5.32
英雄	6.56
颂歌	-1
误导	3.46
创业者	-1
好	6.7
在	5.02
通过	5.84
这些	5.18
年	5.1
的	5.1
交往	5.48
他们	5.12
对	6.14
我	5.58
的	5.1
人品	-1
和	5.46
能力	5.9
很	5.14
是	5.42
信任	6.86
终于	5.52
同意	6.12
了	5.08
这事	-1
成功	7.48
的	5.1
经验	6.1
固然	4.82
值得	6.0
学习	5.86
失败	2.8
的	5.1
教训	3.9
也	5.2
是	5.42
宝贵	6.66
的	5.1
学习	5.86
资料	5.18
在	5.02
这	5.14
本书	-1
里	5.18
你	5.36
能够	5.44
看到	-1
王兴	-1
和	5.46
他	5.06
的	5.1
团队	5.26
曾经	4.9
做	5.26
对	6.14
了	5.08
哪些	4.96
事	5.14
又	4.98
做	5.26
错	3.44
了	5.08
哪些	4.96
事	5.14
这	5.14
本书	-1
不是	4.2
个人	5.32
英雄	6.56
的	5.1
颂歌	-1
而是	-1
一个	5.1
优秀	7.04
的	5.1
创业	5.92
团队	5.26
一个	5.1
优秀	7.04
的	5.1
ceo	5.1
是	5.42
如何	5.28
磨砺	-1
出来	5.18
的	5.1
真实	6.54
记录	5.3
在	5.02
美团	-1
诞生	5.98
之后	4.98
的	5.1
三年	-1
里	5.18
王兴	-1
完成	5.98
了	5.08
巨大	5.36
的	5.1
蜕变	-1
从	5.16
极客	-1
产品	5.3
经理	5.52
到	5.3
优秀	7.04
的	5.1
ceo	5.1
企业家	-1
我	5.58
试图	4.86
在	5.02
这	5.14
本书	-1
里	5.18
寻找	5.2
到	5.3
王兴	-1
蜕变	-1
的	5.1
原因	5.18
王兴	-1
给	5.34
我	5.58
印象	5.36
最	5.14
深刻	5.52
的	5.1
地方	5.18
是	5.42
他	5.06
的	5.1
学习	5.86
能力	5.9
我	5.58
在	5.02
不止	4.66
一篇	-1
文章	5.18
里	5.18
谈到	-1
如今	5.22
创业	5.92
