	-1
童年	6.7
是	5.42
一首	-1
苦涩	-1
的	5.1
歌	5.92
许家	-1
印	4.84
的	5.1
父亲	6.4
是	5.42
位	5.06
老	3.58
革命	4.9
他	5.06
16	-1
岁	5.44
参军	4.9
参加	5.38
过	5.04
八年	-1
抗战	4.7
火线	-1
入党	5.04
做过	-1
骑兵	5.24
连	5.16
的	5.1
连长	-1
光荣	7.12
负伤	-1
后	5.0
不得已	4.04
复	5.0
员	5.02
回家	-1
低调	-1
地	5.16
在	5.02
村子	5.46
里	5.18
当	5.0
了	5.08
一名	-1
仓库	4.9
保管员	-1
负责	5.58
保管	5.22
公家	-1
的	5.1
用品	5.16
记	5.2
工分	-1
等	4.72
事务	4.82
由于	4.88
他	5.06
耿直	-1
正义	6.74
见	5.24
过	5.04
大	5.7
世面	-1
又	4.98
曾经	4.9
屡立	-1
战功	-1
非常	5.76
细心	6.56
对	6.14
工作	5.18
又	4.98
很	5.14
负责	5.58
赢得	6.16
了	5.08
村民	5.06
们	5.06
的	5.1
信任	6.86
父亲	6.4
的	5.1
性格	5.44
对	6.14
少年	5.7
许家	-1
印	4.84
产生	5.2
了	5.08
良好	6.24
的	5.1
影响	4.98
1951	-1
年	5.1
中央政府	-1
还	5.16
颁	-1
给	5.34
许家	-1
印	4.84
父亲	6.4
一枚	-1
毛主席	-1
像章	-1
老	3.58
人	5.3
一直	5.48
以此为荣	-1
将	5.36
这枚	-1
像章	-1
珍藏	-1
了	5.08
一辈子	5.32
可以	5.58
说	5.22
许家	-1
印	4.84
可谓	5.1
是	5.42
一个	5.1
根正苗红	-1
的	5.1
人	5.3
还	5.16
不到	3.58
1	-1
岁	5.44
许家	-1
印	4.84
的	5.1
母亲	6.96
得	5.44
了	5.08
一种	-1
非常	5.76
可怕	3.58
的	5.1
病	2.98
败	2.98
血症	-1
因为	4.94
家境	-1
拮据	-1
和	5.46
当时	5.0
的	5.1
医疗	4.92
条件	4.76
所	4.98
限	4.26
匆匆	4.4
离开	4.0
了	5.08
人	5.3
世	5.28
许家	-1
印成	-1
了	5.08
没娘	-1
的	5.1
娃儿	-1
这是	-1
一件	-1
对	6.14
许家	-1
印	4.84
一生	5.66
影响	4.98
巨大	5.36
的	5.1
事件	5.16
若干年	-1
以后	4.92
在	5.02
许家	-1
印	4.84
已经	5.18
成为	5.42
一个	5.1
成功人士	-1
之	5.26
后	5.0
他	5.06
曾	4.8
私下里	-1
坦言	-1
自己	5.28
的	5.1
性格	5.44
之所以	-1
这样	4.94
独立	5.92
和	5.46
倔强	4.0
不	4.4
怕	3.54
失败	2.8
应该	5.1
和	5.46
从小	5.08
就	4.94
缺少	3.8
母爱	6.6
有关	5.4
看着	-1
周围	5.06
的	5.1
人	5.3
有	5.36
母爱	6.83
可	5.3
以	4.92
享受	7.06
有	5.36
母亲	6.96
可以	5.58
赡养	-1
许家	-1
印	4.84
就	4.94
非常	5.76
羡慕	6.26
他	5.06
曾经	4.9
这样	4.94
表	5.38
达	5.42
自己	5.28
的	5.1
心情	5.56
你们	5.24
这些	5.18
从小	5.08
有	5.36
母亲	6.96
看着	-1
长大	-1
的	5.1
人	5.3
多	5.66
幸福	7.54
呵	-1
幸福	7.54
这样	4.94
的	5.1
幸福	7.54
许家	-1
印	4.84
的	5.1
记忆里	-1
从未有过	-1
所幸	-1
许家	-1
印	4.84
的	5.1
奶奶	6.42
替代	4.92
了	5.08
母亲	6.96
的	5.1
位置	5.18
给	5.34
许家	-1
印	4.84
温暖	7.12
和	5.46
抚慰	-1
养	5.44
他	5.06
长大	-1
许家	-1
印	4.84
奶奶	6.42
有	5.36
一项	-1
本领	5.78
酿醋	-1
空闲	-1
时	5.04
候	4.98
奶奶	6.42
就	4.94
做	5.26
醋	-1
然后	5.0
拉	4.92
到	5.3
集市	-1
上卖	-1
换得些	-1
微薄	-1
的	5.1
收入	5.84
以	4.92
贴补家用	-1
在	5.02
那时	-1
的	5.1
太康	-1
农村	4.78
醋	-1
很	5.14
便宜	5.68
根本	5.32
卖不上	-1
好价	-1
钱	6.24
一瓶	-1
一两分	-1
钱	6.24
老百姓	5.56
的	5.1
需求	5.32
也	5.2
非常	5.76
有限	4.38
不像	3.8
盐	-1
那样	5.14
是	5.42
生活必需品	-1
醋	-1
生意	5.5
的	5.1
收入	5.84
虽然	4.66
不	4.4
多	5.66
但	4.62
积沙成塔	-1
集腋成	-1
裘	-1
一年	-1
下来	4.78
也	5.2
能	5.48
攒	-1
下	4.6
一点儿	-1
钱	6.24
可以	5.58
在	5.02
逢	5.24
年节	-1
时	5.04
买	5.34
一	5.02
两斤	-1
猪肉	-1
再	4.96
买点儿	-1
好吃	6.33
的	5.1
肉太少	-1
太金贵	-1
放在	-1
冰天雪地	-1
的	5.1
屋	5.6
外	4.76
冷藏	-1
或者	4.76
用	5.1
盐	-1
腌制	-1
到	5.3
过	5.04
新年	-1
的	5.1
时候	5.0
把	4.94
肉炖	-1
出来	5.18
一	5.02
直吃	-1
上	5.58
两个	-1
月	5.28
从	5.16
这个	5.02
角度	5.0
说	5.22
制醋	-1
是	5.42
许家	-1
印家	-1
的	5.1
生命线	-1
在	5.02
每天	-1
放学	-1
后	5.0
星期天	-1
或者	4.76
放假	-1
时	5.04
许家	-1
印	4.84
也	5.2
会	5.22
给	5.34
奶奶	6.42
搭	-1
把手	5.08
除了	4.74
做	5.26
醋	-1
以外	4.92
许家	-1
印家	-1
还有	-1
另外	5.1
一个	5.1
极为重要	-1
的	5.1
收入	5.84
来	5.26
源	5.44
许家	-1
印	4.84
父亲	6.4
种	5.26
了	5.08
很多	5.46
柳树	-1
有	5.36
的	5.1
柳树	-1
早年	4.92
就种	-1
下	4.6
了	5.08
在	5.02
艰难	3.16
的	5.1
岁月	4.66
里	5.18
它们	5.18
倔强地	3.16
长大	-1
于是	4.9
便	4.82
有	5.36
一些	5.12
成材	-1
的	5.1
树	5.58
被	4.5
砍下来	-1
有时	5.24
由	4.86
许家	-1
印	4.84
父亲	6.4
拉	4.92
到	5.3
集市	-1
上卖	-1
有的是	5.1
将	5.36
收树	-1
的	5.1
人	5.3
唤到	-1
家里	5.68
来	5.26
这是	-1
一类	-1
已经	5.18
成材	-1
的	5.1
柳树	-1
而	5.18
有	5.36
的	5.1
柳树	-1
是	5.42
年	5.1
年	5.1
种	5.26
等	4.72
它	5.16
长得	-1
可以	5.58
当	5.0
树苗	-1
时	5.04
也	5.2
拉	4.92
到	5.3
集市	-1
上卖	-1
当时	5.0
一根	-1
小	4.6
柳树	-1
卖	5.16
不	4.4
多少	5.08
钱	6.24
大概	4.84
几毛钱	-1
的	5.1
样子	4.96
这样的话	-1
一车	-1
也	5.2
能	5.48
卖	5.16
上	5.58
几块钱	-1
这	5.14
就	4.94
可以	5.58
说	5.22
是	5.42
一项	-1
重大	5.46
的	5.1
收入	5.84
了	5.08
许家	-1
印不	-1
上学时	-1
有时候	-1
也	5.2
跟着	5.22
父亲	6.4
到	5.3
集市	-1
上去	5.6
在	5.02
熙熙	-1
攘攘	-1
的	5.1
集市	-1
上	5.58
他	5.06
亲眼	5.6
看着	-1
父亲	6.4
与	4.86
人	5.3
讨价还价	3.16
亲眼	5.6
看着	-1
自家	5.36
的	5.1
柳树	-1
换成	-1
一张	-1
张	5.14
钞票	5.92
再	4.96
换成	-1
家里	5.68
需要	5.18
的	5.1
日用品	-1
