	-1
第一章	-1
命运	5.56
掌握	5.92
在	5.02
自己	5.28
手里	-1
靠	4.78
实力	5.98
抓住	-1
幸运	7.08
1910	-1
年	5.1
韩国	5.24
被	4.5
吞并	-1
前后	4.92
的	5.1
首尔	-1
南大门	-1
◎	-1
出生	5.58
与	4.86
韩国	5.24
被	4.5
吞并	-1
同年	5.42
人	5.3
的	5.1
一生	5.66
中总有	-1
几次	-1
被	4.5
幸运	7.08
眷顾	-1
的	5.1
时候	5.0
但是	4.56
多数	5.48
人	5.3
都	4.84
没有	4.42
留意到	-1
或者	4.76
察觉到	-1
了	5.08
但	4.62
不够	3.92
努力	6.26
或	4.96
应对	5.1
方法	5.46
不	4.4
对	6.14
就	4.94
这么	5.12
让	5.36
幸运	7.08
溜走	-1
了	5.08
成为	5.42
有钱人	-1
遇见	5.78
对	6.14
的	5.1
人	5.3
找个	-1
好	6.7
工作	5.18
培养	5.98
一个	5.1
能	5.48
持续	5.4
一辈子	5.32
的	5.1
爱好	6.68
等	4.72
机	5.12
会	5.22
呈现	5.24
的	5.1
方式	4.94
多种多样	-1
美国	5.6
钢铁	5.14
大王	-1
卡耐基	-1
说	5.22
每个	-1
人	5.3
都	4.84
能	5.48
遇到	-1
好	6.7
的	5.1
机	5.12
会	5.22
只不过	-1
不是	4.2
每个	-1
人	5.3
都	4.84
能	5.48
把握	5.64
得	5.44
住	5.02
很多	5.46
情况	5.02
下	4.6
不是	4.2
机会	6.0
抛弃	3.0
了	5.08
人	5.3
而	5.18
是	5.42
人	5.3
抛弃	3.0
了	5.08
机会	6.0
得	5.44
时者昌	-1
失时者	-1
亡	2.52
中国	6.06
战国时期	-1
思想	5.62
著作	5.64
列子	-1
李秉	-1
骷	-1
的	5.1
命运	5.56
与	4.86
这句	-1
话	5.02
如出一辙	-1
按	4.9
现在	5.14
的	5.1
行政区划	-1
李秉	-1
骷	-1
1910	-1
年出	-1
生于	-1
韩国	5.24
庆尚南道	-1
宜宁	-1
郡	5.2
正谷面	-1
中桥	-1
里	5.18
村	5.14
有	5.36
两个	-1
姐姐	6.28
一个	5.1
哥哥	5.96
是	5.42
家中	5.6
最小	4.6
的	5.1
孩子	5.94
中桥	-1
里	5.18
村	5.14
是	5.42
一个	5.1
位	5.06
于	5.14
釜山	-1
北部	5.34
智异山	-1
支脉	-1
马头	-1
山脉	5.38
的	5.1
山沟	-1
里	5.18
的	5.1
小	4.6
村落	5.34
这片	-1
区域	5.06
自古	5.2
便	4.82
有	5.36
世	5.28
外	4.76
桃源	-1
之称	-1
这	5.14
一年	-1
正值	-1
日	4.88
韩	5.0
签订	5.18
合并	5.2
