题	5.18
叙	-1
在	5.02
当今世界	-1
摩托车	-1
赛车	-1
和	5.46
汽车	5.24
的	5.1
王国里	-1
有	5.36
一个	5.1
响亮	-1
的	5.1
闪闪发光	-1
的	5.1
名字	5.3
只要	5.16
一	5.02
提起	5.4
这个	5.02
名字	5.3
真是	5.0
家喻户晓	-1
人人皆知	-1
这个	5.02
人	5.3
的	5.1
一生	5.66
充满	6.14
传奇色彩	-1
一	5.02
他	5.06
出身	4.96
寒微	-1
仅	4.62
有	5.36
小学文化	-1
程度	5.0
从小	5.08
痴迷	-1
于	5.14
汽车	5.24
立下	-1
雄心壮志	-1
将	5.36
来	5.26
要	5.2
当	5.0
闻名世界	-1
的	5.1
企业家	-1
从	5.16
当学徒	-1
修理	5.14
摩托车	-1
汽车	5.24
到	5.3
独自	4.56
开办	5.5
公司	5.08
生产	5.16
摩托车	-1
汽车	5.24
几经	-1
挫折	3.5
惨淡经营	-1
终于	5.52
一跃	-1
而	5.18
成为	5.42
闻名天下	-1
的	5.1
摩托	5.4
大	5.7
王	5.5
汽车	5.24
大王	-1
他	5.06
独占	4.24
世界	5.78
摩托车	-1
1	-1
/	-1
4	-1
的	5.1
市场	4.92
跻身于	-1
日本	4.68
车	5.5
业界	5.34
前	5.24
三名	-1
的	5.1
行列	5.18
他	5.06
是	5.42
个	4.94
地地道道	-1
的	5.1
技术	5.08
家	6.62
因	5.14
痛感	-1
自己	5.28
学识	6.41
浅薄	3.5
就	4.94
去	4.86
大学	6.2
夜校	-1
当	5.0
旁听	-1
生	5.32
他	5.06
天资聪颖	-1
爱	7.18
动脑筋	-1
钻研	-1
起	4.98
技术	5.08
来	5.26
常常	5.52
废寝忘餐	-1
他	5.06
永远	6.46
不	4.4
满足	6.78
于	5.14
现状	5.24
不断	5.0
地	5.16
开拓创新	-1
终于	5.52
研制	5.24
出	4.98
一个	5.1
又	4.98
一个	5.1
新	5.94
产品	5.3
威风凛凛	-1
地	5.16
走向	5.3
世	5.28
界	4.82
他	5.06
是	5.42
个	4.94
有着	5.04
独特	5.92
鲜明个性	-1
的	5.1
人	5.3
高兴	7.38
起来	5.5
像	5.5
3	-1
岁	5.44
孩童	-1
天真烂漫	-1
手舞足	-1
蹈	-1
又	4.98
说	5.22
又	4.98
笑	7.06
愤怒	2.68
起来	5.5
脾气	4.72
却	4.68
粗暴	2.68
异常	3.88
对于	4.94
那些	5.02
干活	-1
磨洋工	-1
和	5.46
偷工减料	3.88
的	5.1
家伙	4.92
动辄	-1
破口	3.88
臭骂	-1
甚至	4.82
拳脚相向	-1
吓	3.84
得	5.44
员工	5.12
们	5.06
尽往	-1
厕所	-1
里	5.18
躲藏	3.84
他	5.06
不	4.4
把	4.94
企业	5.24
看作	-1
自己	5.28
的	5.1
私有财产	-1
不	4.4
允许	5.74
自己	5.28
的	5.1
子女	6.02
和	5.46
亲属	6.4
在	5.02
公司	5.08
里任	-1
职	5.2
他	5.06
功成名就	-1
激流勇退	-1
把	4.94
董事长	-1
的	5.1
宝座	6.24
让给	-1
毫无	6.32
血缘关系	-1
的	5.1
年轻人	-1
他	5.06
把	4.94
顾客	5.6
看作	-1
上帝	6.4
经常	5.1
告诫	4.5
公司员工	-1
严把	-1
质量关	-1
不	4.4
合格	6.06
的	5.1
产品	5.3
非	4.66
返工	-1
不可	4.28
他	5.06
提出	5.04
三	5.18
高兴	7.38
即	4.96
制造者	-1
高兴	7.38
销售者	-1
高兴	7.38
购买者	-1
高兴	7.38
作为	5.18
公司	5.08
的	5.1
宗旨	5.38
他	5.06
是	5.42
亿万富翁	-1
却	4.68
又	4.98
是	5.42
个	4.94
平凡	5.38
的	5.1
人	5.3
许多	5.36
事	5.14
都	4.84
要	5.2
亲力亲为	-1
显示	5.28
出	4.98
贫苦	3.02
农家	5.46
孩子	5.94
淳朴	6.84
厚道	6.57
的	5.1
品质	5.82
一次	5.12
有位	-1
前来	-1
洽谈	5.7
生意	5.5
的	5.1
外商	5.58
因	5.14
喝醉	-1
呕吐	3.02
一副	-1
金	6.3
假牙	-1
被	4.5
服务员	5.0
倒	4.52
进	5.8
厕所	-1
他	5.06
二话没说	-1
跳	5.14
下	4.6
粪池	-1
细心	6.56
找出	-1
冲洗	-1
干	4.78
净	5.98
自己	5.28
试戴	-1
一番	-1
没	4.42
问题	4.46
后	5.0
才	5.48
物归原主	-1
他	5.06
在	5.02
青少年	-1
时代	5.44
生活	5.58
浪漫	6.84
风流倜傥	-1
放荡不羁	-1
爱闹	-1
恶作剧	3.02
还	5.16
玩	5.98
艺妓	-1
把	4.94
自己	5.28
辛辛苦苦	-1
挣来	-1
的	5.1
大量	5.4
金钱	6.04
花个	-1
精光	-1
类似	5.0
的	5.1
故事	5.3
还	5.16
真不少	-1
够	5.42
了	5.08
暂且	-1
打住	-1
这个	5.02
人	5.3
到底	4.96
是	5.42
谁	5.1
他	5.06
就是	4.98
日本	4.68
人氏	-1
本田	-1
宗一郎	-1
先生	5.18
看到	-1
这里	4.88
读者	5.32
们	5.06
一定	5.36
会	5.22
对	6.14
本田	-1
宗一郎	-1
产生	5.2
浓厚	5.82
的	5.1
兴趣	6.42
一定	5.36
想	5.3
了解	5.28
关	4.42
于	5.14
他	5.06
的	5.1
更	5.34
多	5.66
的	5.1
东西	5.06
一句	5.0
话	5.02
了解	5.28
他	5.06
的	5.1
浪漫	6.84
辉煌	7.18
的	5.1
一生	5.66
那么	4.88
亲爱	6.9
的	5.1
读者	5.32
还是	5.22
让	5.36
我	5.58
慢慢	-1
道	5.34
来	5.26
好	6.7
了	5.08
-----------------------	-1
page	5.62
3	-1
-----------------------	-1
商	5.38
界	4.82
怪	3.94
杰	5.86
-----------------------	-1
page	5.62
4	-1
-----------------------	-1
第一章	-1
胸怀	-1
壮志	-1
少小离家	-1
闯	-1
天下	5.52
他	5.06
从小	5.08
就	4.94
跟	5.06
汽车	5.24
引擎	-1
结下	-1
不解之缘	-1
立志	-1
将来	5.94
要	5.2
造	5.36
汽车	5.24
高	6.1
小	4.6
毕业	5.96
就	4.94
往	5.4
东京	5.08
学艺	-1
然而	4.68
老板	5.14
却	4.68
叫	4.96
他	5.06
当	5.0
保姆	-1
他	5.06
满腔热情	-1
顿然	-1
冷却	-1
一念之差	-1
