图书	5.66
在	5.02
版	5.06
编目	-1
cip	-1
数据	5.34
李书福传	-1
王保蘅著	-1
-	-1
哈尔滨	5.28
哈尔滨	5.28
出版社	-1
2013	-1
1	-1
传记	5.0
袖珍	-1
馆	5.2
第	5.32
4	-1
辑	4.92
isbn	-1
978	-1
-	-1
7	-1
-	-1
5484	-1
-	-1
1064	-1
-	-1
5	-1
i	5.92
．	-1
①	-1
李	5.2
ii	5.02
．	-1
①	-1
王	5.5
iii	4.96
．	-1
①	-1
李书福	-1
-	-1
传记	5.0
iv	4.54
．	-1
①	-1
k825	-1
38	-1
中国	6.06
版本	5.04
图书馆	5.98
cip	-1
数据	5.34
核字	-1
2012	-1
第	5.32
234957	-1
号	5.22
书	5.5
名	5.34
李书福传	-1
作	5.0
者	5.0
王保蘅	-1
著	5.42
责任编辑	-1
关	4.42
健	5.88
杨晓梅	-1
第一章	-1
创造	6.42
前传	-1
农村	4.78
小子	-1
打造	-1
摩托车	-1
王国	5.6
1	-1
．	-1
下海	-1
攫取	-1
人生	5.66
第一桶金	-1
1963	-1
年	5.1
6	-1
月	5.28
25	-1
日	4.88
李书福出	-1
生于	-1
浙江省	-1
台州市	-1
黄岩县	-1
石曲乡	-1
李家	-1
村	5.14
台州	-1
地处	-1
浙江省	-1
沿海	5.42
中部	4.86
南靠	-1
温州	5.2
东濒	-1
东海	-1
西连	-1
丽水	-1
金华	-1
北接	-1
绍兴	-1
宁波	5.28
位于	4.96
上海	5.78
经济区	-1
南翼	-1
现在	5.14
的	5.1
台州	-1
经济	5.44
发达	6.68
人民	5.4
生活富裕	-1
而	5.18
在	5.02
改革开放	-1
之前	4.88
经济	5.44
还	5.16
未	4.74
开始	5.26
腾飞	-1
的	5.1
台州	-1
却是	-1
我国	5.48
一个	5.1
典型	5.46
的	5.1
落后	3.56
农业区	-1
当时	5.0
的	5.1
台州	-1
经济	5.44
主要	5.38
靠	4.78
农业	5.34
支撑	5.48
农业	5.34
产值	5.36
占	4.66
经济总量	-1
的	5.1
60%	-1
然而	4.68
台州	-1
境内	5.04
多	5.66
山地	5.14
丘陵	-1
在	5.02
当时	5.0
的	5.1
技术	5.08
条件	4.76
下	4.6
这种	-1
地理环境	-1
严重	3.36
限制	4.18
了	5.08
当地	5.26
农业	5.34
的	5.1
发展	6.16
七山	-1
二水	-1
一分	-1
田	5.48
台州	-1
人均	4.92
耕地	5.22
不足	3.82
0	-1
5	-1
亩	5.4
不到	3.82
全国	5.28
人均	4.92
耕地面积	-1
的	5.1
一半	4.8
不到	3.82
世界	5.78
人均	4.92
耕地面积	-1
平均水平	-1
的	5.1
1	-1
/	-1
6	-1
可以	5.58
说	5.22
农民	5.28
的	5.1
生活	5.58
一度	5.28
相当	5.4
贫困	3.1
李书福家	-1
与	4.86
众多	5.32
台州	-1
农民	5.28
家庭	6.0
一样	5.28
每年	5.44
都	4.84
指望	5.38
着	4.88
那	5.12
几亩	-1
田地	5.54
有	5.36
好	6.7
的	5.1
收成	6.06
然而	4.68
即便如此	-1
五个	-1
子女	6.02
还是	5.22
让	5.36
李书福	-1
的	5.1
父母	6.52
不堪重负	-1
李书福	-1
原名	-1
李胥福	-1
在	5.02
上	5.58
小学	5.54
的	5.1
时候	5.0
他	5.06
觉得	5.38
父母	6.52
起	4.98
的	5.1
这个	5.02
名字	5.3
读	5.14
起来	5.5
有些	5.2
拗口	-1
就	4.94
改成	-1
了	5.08
李书福	-1
书福	-1
即	4.96
书生	-1
有福	-1
既有	-1
祈福	-1
的	5.1
意味	5.14
也	5.2
反映	4.98
出	4.98
小时候	5.78
的	5.1
李书福	-1
就	4.94
很	5.14
喜爱	6.94
读书	5.68
颇	5.0
有些	5.2
书中	-1
自有	-1
黄金屋	-1
书中	-1
自有	-1
颜如玉	-1
的	5.1
意味	5.14
当时	5.0
由于	4.88
家境	-1
的	5.1
关系	5.0
李书福	-1
的	5.1
读书	5.68
梦想	6.4
几乎	4.8
成为	5.42
一个	5.1
奢望	-1
1982	-1
年	5.1
19	-1
岁	5.44
的	5.1
李书福	-1
高中毕业	-1
而且	5.08
高考	4.7
成绩	5.64
也	5.2
不错	6.28
然而	4.68
虽然	4.66
哥哥	5.96
几年	-1
前	5.24
就	4.94
开	5.36
了	5.08
一家	5.56
小	4.6
五金店	-1
但是	4.56
这	5.14
仍然	5.02
没	4.42
能	5.48
改变	5.48
李书福	-1
一家	5.56
贫困	3.1
的	5.1
窘境	3.1
因此	5.06
他	5.06
不得不	-1
暂时中止	-1
上	5.58
大学	6.2
的	5.1
梦想	6.4
李书福	-1
从	5.16
学校	5.76
走	5.3
出来	5.18
的	5.1
这	5.14
一年	-1
改革开放	-1
已经	5.18
4	-1
年	5.1
了	5.08
农民	5.28
也	5.2
早已	4.76
跳出	5.06
农田	5.46
另寻	-1
其他	4.88
生计	4.84
自谋生路	-1
李书福	-1
与	4.86
很多	5.46
人	5.3
一样	5.28
他	5.06
也	5.2
不	4.4
愿意	6.12
过	5.04
那种	-1
父母	6.52
已经	5.18
过	5.04
了	5.08
一辈子	5.32
的	5.1
辛苦	4.1
种田	-1
的	5.1
生活	5.58
李书福	-1
向	5.2
父母	6.52
表达	5.34
了	5.08
自己	5.28
想	5.3
去	4.86
社会	5.0
上	5.58
闯荡	-1
的	5.1
意愿	5.56
父母	6.52
当然	5.44
十分	6.26
理解	6.22
他	5.06
的	5.1
想法	5.14
并且	5.04
同意	6.12
了	5.08
他	5.06
的	5.1
请求	4.92
后来	4.9
父亲	6.4
好不容易	-1
凑齐	-1
了	5.08
120	-1
元	5.0
钱	6.24
并	5.04
将	5.36
这笔	-1
钱	6.24
郑重	-1
地	5.16
交到	-1
儿子	5.86
手中	4.98
用作	-1
他	5.06
的	5.1
第一笔	-1
启动资金	-1
此前	5.26
一直	5.48
在	5.02
学校	5.76
读书	5.68
的	5.1
李书福	-1
并	5.04
没有	4.42
学到	-1
很多	5.46
灵巧	6.25
的	5.1
手艺	6.255
这	5.14
让	5.36
他	5.06
十分	6.26
苦恼	3.18
不	4.4
知道	5.38
自己	5.28
可以	5.58
在	5.02
哪个	4.9
行业	5.02
谋生	4.86
思虑	-1
很	5.14
久	5.06
之后	4.98
李书福	-1
买来	-1
了	5.08
一台	-1
海鸥	-1
牌	5.0
照相机	5.86
他	5.06
选择	5.22
照相	5.9
作为	5.18
自己	5.28
的	5.1
第一个	-1
生意	5.5
买	5.34
了	5.08
照相机	5.86
之后	4.98
李书福	-1
并	5.04
没有	4.42
多余	4.2
的	5.1
钱	6.24
去	4.86
租	4.62
店面	-1
开	5.36
照相馆	-1
于是	4.9
他	5.06
只好	4.4
骑着	-1
一辆	-1
破旧	3.18
的	5.1
自行车	5.34
穿行	-1
在	5.02
大大小小	-1
宽窄	-1
不一	-1
的	5.1
街巷	-1
中	4.98
给	5.34
人	5.3
照相	5.9
这	5.14
与	4.86
今天	5.52
我们	5.96
很	5.14
容易	6.02
在	5.02
一些	5.12
旅游景点	-1
看到	-1
的	5.1
那种	-1
即	4.96
拍	5.06
即	4.96
得	5.44
的	5.1
照相	5.9
生意	5.5
一样	5.28
李书福	-1
当时	5.0
也	5.2
经常	5.1
去	4.86
人头攒动	-1
的	5.1
景点	5.7
兜揽生意	-1
替人	-1
照相	5.9
尽管	5.0
李书福	-1
手中	4.98
拿	5.02
的	5.1
照相机	5.86
并	5.04
不	4.4
昂贵	4.42
但	4.62
它	5.16
