自序	-1
以	4.92
业余时间	-1
从事	5.32
写作	5.8
至今	5.12
八年	-1
一直	5.48
不敢	-1
以	4.92
作家	5.54
自居	-1
而	5.18
乐于	6.3
自	5.02
视为	-1
一个	5.1
爱好文学	-1
能	5.48
写	5.0
一些	5.12
文章	5.18
和	5.46
故事	5.3
的	5.1
商界	5.12
中	4.98
人	5.3
年初	5.16
商界	5.12
的	5.1
朋友	6.5
们	5.06
聚面	-1
时	5.04
总是	-1
谈起	-1
如何	5.28
庆贺	6.5
香港回归	-1
又	4.98
都	4.84
一致	5.52
认为	5.1
宣扬	5.8
香港	5.96
人	5.3
的	5.1
辉煌成就	-1
俾	-1
可	5.3
加强	5.96
香港	5.96
人	5.3
和	5.46
国际	5.54
人士	5.5
的	5.1
信心	6.5
对	6.14
本城	-1
日后	5.08
的	5.1
持续	5.4
繁荣	7.28
安定	6.4
会起	-1
很大	-1
的	5.1
作用	5.4
因而	5.02
想起	5.62
了	5.08
香港	5.96
地产	5.22
大王	-1
李兆基	-1
博士	6.0
他	5.06
在	5.02
权威	5.5
的	5.1
美国	5.6
福伯	-1
氏	5.02
财经	5.34
杂志	5.42
里	5.18
去年	5.04
的	5.1
世界	5.78
富豪榜	-1
上	5.58
排名	5.42
第四	-1
已	5.54
成为	5.42
世界	5.78
知名	6.32
的	5.1
亚洲	5.32
首富	-1
如能	-1
在	5.02
一九九七年	-1
七月	-1
出版	5.38
他	5.06
的	5.1
传记	5.0
把	4.94
他	5.06
这份	-1
在	5.02
财富	6.54
创造	6.42
上	5.58
的	5.1
世界纪录	-1
子以	-1
传扬	-1
对	6.14
巩固	5.36
香港	5.96
国际	5.54
金融中心	-1
的	5.1
名望	-1
和	5.46
地位	5.08
会	5.22
有	5.36
帮助	6.14
同时	5.34
更	5.34
可	5.3
鼓励	6.84
香港	5.96
的	5.1
年轻	6.48
一辈	-1
让	5.36
他们	5.12
知道	5.38
今天	5.52
的	5.1
中国	6.06
人绝	-1
不宜	4.2
妄自菲薄	-1
应该	5.1
深具	-1
信心	6.5
积极进取	-1
在	5.02
各行各业	-1
争取	5.76
独占鳌头	-1
的	5.1
成绩	5.64
早	5.42
两年	-1
我	5.58
意图	4.8
安排	5.1
为	5.16
李兆基	-1
博士	6.0
撰写	4.96
传记	5.0
他	5.06
当即	5.12
婉拒	-1
说怕	-1
做	5.26
公众	5.28
人物	5.16
今	5.2
次	4.56
多位	-1
友好	6.54
及	5.18
我	5.58
竭力	4.9
游说	-1
且	5.08
晓以大义	-1
终于	5.52
李兆基	-1
博士	6.0
在	5.02
为国争光	-1
为	5.16
香港	5.96
争光	-1
为	5.16
集团	5.06
争光	-1
之	5.26
前提	5.06
下	4.6
答允	-1
提供	5.48
资料	5.18
撰写	4.96
传记	5.0
期望	5.96
这本	-1
李兆基	-1
博士	6.0
传记	5.0
将会	-1
成为	5.42
庆贺	6.25
回归	5.58
的	5.1
一项	-1
有	5.36
意义	5.54
的	5.1
项目	5.36
香港	5.96
出版界	-1
最具	-1
权威	5.5
的	5.1
联合	5.46
出版	5.38
集团	5.06
主席	5.36
李祖泽	-1
先生	5.18
且	5.08
亲	6.5
躬其事	-1
将	5.36
出版	5.38
任务	5.04
交予	-1
集团	5.06
辖下	-1
的	5.1
三联	-1
出版社	-1
出版	5.38
的	5.1
计划	5.24
是	5.42
首先	5.32
在	5.02
一九九七年	-1
七月	-1
出	4.98
香港	5.96
版	5.06
跟着	5.22
才	5.48
安排	5.1
海外	5.58
出版	5.38
李祖泽	-1
先生	5.18
认为	5.1
李兆基	-1
博士	6.0
是	5.42
位	5.06
沉实	-1
慎重	5.12
的	5.1
人	5.3
最好	6.05
能	5.48
找	5.06
一位	-1
跟	5.06
他	5.06
认识	5.36
具有	5.5
商业	5.26
知识	5.94
的	5.1
作家	5.54
与	4.86
他	5.06
沟通	5.78
才能	6.1
事半功倍	-1
于是	4.9
这个	5.02
光荣	7.12
的	5.1
任务	5.04
就	4.94
落	4.48
在	5.02
我	5.58
的	5.1
身上	5.08
来	5.26
了	5.08
当时	5.0
的	5.1
感觉	5.5
真	5.94
有点像	-1
广东	5.58
俗语	-1
所谓	4.92
捉	4.62
媒人	-1
上	5.58
轿	-1
为了	5.14
庆贺	6.59
回归	5.58
而	5.18
传扬	-1
中国	6.06
企业家	-1
这份	-1
傲视	-1
全球	5.46
的	5.1
成绩	5.64
其实	4.82
是	5.42
责无旁贷	-1
的	5.1
令	4.98
我	5.58
忧惧	-1
的	5.1
是	5.42
本身	5.2
才华	6.72
的确	5.12
不足	3.82
学识	6.43
亦	5.4
是	5.42
有限	4.38
兼且	-1
撰写	4.96
时间	5.32
短促	3.82
在	5.02
撰写	4.96
传记文学	-1
中	4.98
又	4.98
是	5.42
新手	3.82
诚恐	-1
效果	5.38
欠佳	3.82
以致	4.98
影响	4.98
读者	5.32
对	6.14
李兆基	-1
博士	6.0
的	5.1
印象	5.36
和	5.46
对	6.14
李兆基	-1
博士	6.0
传记	5.0
的	5.1
评价	5.3
最后	4.8
只好	4.4
以	4.92
深具	-1
意义	5.54
的	5.1
使命感	-1
为	5.16
出发点	5.08
鼓励	6.84
自己	5.28
排除万难	-1
悉力	-1
以	4.92
赴	5.16
一九九七年	-1
初	5.14
开始	5.26
收集	5.34
资料	5.18
两个	-1
月	5.28
后	5.0
我	5.58
躲	-1
在	5.02
加拿大	5.42
温哥华	-1
动笔	-1
三个	-1
星期	5.08
足不出户	-1
每天	-1
不断	5.0
写作	5.8
十六	-1
小时	5.1
终于	5.52
完成	5.98
初稿	5.12
李兆基	-1
博士	6.0
对	6.14
传记	5.0
中	4.98
的	5.1
要求	4.9
只有	5.14
一个	5.1
就是	4.98
要合符	-1
事实	5.64
所	4.98
叙述	5.16
的	5.1
每	5.14
一个	5.1
细节	5.32
都	4.84
不能	3.84
是	5.42
小说	5.32
式	5.08
的	5.1
虚构	4.4
都	4.84
要	5.2
找齐	-1
足够	6.08
的	5.1
人证	-1
与	4.86
物证	-1
他	5.06
才	5.48
会	5.22
认同	6.14
李兆基	-1
博士	6.0
这种	-1
异乎寻常	3.84
的	5.1
谨慎	5.64
诚信	7.06
工作	5.18
态度	5.48
令	4.98
我	5.58
佩服	-1
得	5.44
五体投地	-1
在	5.02
撰写	4.96
本书	-1
过程	5.06
中	4.98
李兆基	-1
博士	6.0
对	6.14
我	5.58
指导	5.42
良多	-1
他	5.06
在	5.02
文字	5.18
运用	5.14
和	5.46
写作	5.8
结构	5.0
上	5.58
给	5.34
我	5.58
的	5.1
建议	5.3
精辟	-1
简练	-1
足见	-1
他	5.06
的	5.1
国学	5.7
修养	6.36
极高	-1
而	5.18
其实	4.82
最令	-1
我	5.58
感动	6.7
的	5.1
是	5.42
在	5.02
这	5.14
五个	-1
月	5.28
的	5.1
接触	5.32
中	4.98
我	5.58
更	5.34
了解	5.28
了	5.08
李兆基	-1
博士	6.0
那种	-1
富而不骄	-1
念旧	-1
怀远	-1
重情	-1
重义	-1
的	5.1
个性	5.38
本书	-1
为	5.16
赶及	-1
一九九七年	-1
七月	-1
出版	5.38
难免会	-1
有	5.36
资料	5.18
搜集	5.0
未臻	-1
至善	6.0
的	5.1
情况	5.02
我	5.58
原想	-1
等待	4.66
很多	5.46
认识	5.36
李兆基	-1
博士	6.0
的	5.1
各界	5.38
朋友	6.5
给	5.34
我	5.58
更	5.34
多	5.66
意见	4.92
但	4.62
都	4.84
因为	4.94
时间	5.32
匆促	-1
事与愿违	-1
于	5.14
此	4.8
也	5.2
要	5.2
向	5.2
提供	5.48
过	5.04
资料	5.18
给	5.34
我	5.58
的	5.1
朋友	6.5
和	5.46
机构	5.04
以及	5.04
恒基	-1
兆业	-1
集团	5.06
致谢	-1
他们	5.12
提供	5.48
的	5.1
素材	5.54
和	5.46
意见	4.92
帮助	6.14
我	5.58
丰富	6.64
了	5.08
本书	-1
的	5.1
内容	4.94
最后	4.8
谨向	-1
联合	5.46
出版	5.38
集团	5.06
特别	6.1
是	5.42
三联书店	-1
同人	5.14
的	5.1
指导	5.42
致谢	-1
梁凤仪	-1
一九九七年	-1
六月	-1
七日	-1
本序	-1
是	5.42
为	5.16
香港三联书店	-1
出版	5.38
的	5.1
李兆基	-1
博士	6.0
传记	5.0
而作	-1
又序	-1
李兆基	-1
博士	6.0
传记	5.0
在	5.02
一九九七年	-1
七月	-1
一日	-1
首先	5.32
在	5.02
香港	5.96
出版	5.38
香港	5.96
联合	5.46
出版	5.38
集团	5.06
以此	-1
传记	5.0
表征	-1
香港	5.96
的	5.1
中国	6.06
人	5.3
在	5.02
创造财富	-1
上	5.58
的	5.1
辉煌	7.18
成绩	5.64
作为	5.18
庆贺	6.84
香港	5.96
回归祖国	-1
的	5.1
