第一章	-1
时局	-1
动乱	3.04
辗转	3.04
香港	5.96
弃	3.66
家园	6.08
李嘉诚	-1
出	4.98
生于	-1
潮州	-1
的	5.1
书香世家	-1
从小	5.08
聪颖	6.24
好学	6.32
风云突变	-1
日军	-1
侵占	3.42
潮州	-1
父亲	6.4
教育	5.72
救国	5.58
的	5.1
理想	6.56
泯灭	-1
亦	5.4
打碎	3.42
李嘉诚	-1
求学	5.64
治学	5.5
的	5.1
志向	-1
1940	-1
年冬	-1
少年	5.7
李嘉诚	-1
跟随	5.38
父母	6.52
冒	4.76
着	4.88
生命危险	-1
历经	5.02
艰辛	3.82
逃	3.66
到	5.3
香港	5.96
如果	5.36
不是	4.2
李嘉诚	-1
李氏家族	-1
史	5.1
很	5.14
可能	5.2
湮没	-1
在	5.02
浩瀚	-1
的	5.1
历史	5.34
尘埃	-1
中	4.98
20	-1
世纪末	4.82
叶	5.6
经济	5.44
热	4.66
成为	5.42
全球性	-1
的	5.1
时代	5.44
大潮	5.52
一代	5.08
超人	-1
李嘉诚	-1
人称	5.04
香港	5.96
首富	-1
同时	5.34
又	4.98
是	5.42
世界华人	-1
首富	-1
在	5.02
华夏	-1
经济史	-1
上耸起	-1
一座	4.88
丰碑	-1
举世瞩目	-1
山	5.54
不	4.4
在	5.02
高	6.1
有	5.36
仙	6.18
则	4.8
名	5.34
水	5.96
不	4.4
在	5.02
深	5.1
有龙	-1
则	4.8
灵	5.8
在	5.02
广东省	-1
潮州市	-1
北门	-1
街面	-1
线巷	-1
有	5.36
一座	4.88
极为	4.94
寻常	5.08
的	5.1
古宅	-1
小巷	-1
毗邻	5.38
喧哗	3.66
的	5.1
北门	-1
市场	4.92
如	5.06
面线	-1
一般	4.66
狭长	-1
它	5.16
宅门	-1
不	4.4
大	5.7
亦	5.4
无	4.18
雕龙画凤	-1
古色古香	-1
静谧	-1
幽雅	-1
似	4.98
与	4.86
这幢	-1
古宅	-1
无缘	-1
然而	4.68
就是	4.98
这幢	-1
普普通通	-1
的	5.1
古宅	-1
吸引	5.88
了	5.08
众多	5.32
的	5.1
当地	5.26
居民	5.26
及	5.18
外来	4.84
游客	5.58
前来	-1
瞻仰	-1
参观	5.72
这里	4.88
是	5.42
李氏家族	-1
的	5.1
祖屋	-1
1928	-1
年	5.1
7	-1
月	5.28
29	-1
日	4.88
农历	-1
六月	-1
十三日	-1
李嘉诚	-1
出	4.98
生于	-1
古宅	-1
里	5.18
的	5.1
书香世家	-1
据	5.08
李	5.2
氏族谱	-1
明末清初	-1
一	5.02
世祖	-1
李明山	-1
为	5.16
避	4.48
战乱	3.22
举家	-1
由	4.86
福建	5.24
莆田	-1
迁至	-1
潮州	-1
府	4.9
海阳县	-1
今	5.2
潮州市	-1
家史	-1
再	4.96
往前	-1
溯	-1
李氏家族	-1
的	5.1
祖先	5.56
在	5.02
中原	5.14
从	5.16
一	5.02
世祖	-1
李明山	-1
定居	5.44
潮州	-1
传至	-1
李嘉诚	-1
这	5.14
一辈	-1
正好	5.88
10	-1
世	5.28
李氏	-1
家风	-1
治学严谨	-1
学识渊博	-1
李嘉诚	-1
曾祖父	-1
李鹏	-1
万	5.38
是	5.42
清朝	4.86
甄选	-1
的	5.1
文官	5.34
八贡	-1
之一	-1
李氏家族	-1
是	5.42
当地	5.26
的	5.1
望族	-1
家	6.62
门前	-1
有	5.36
一座	4.88
3	-1
米	5.68
高	6.1
的	5.1
碑	4.6
台	4.94
上	5.58
插	4.92
贡旗	-1
深得	-1
四	4.98
乡村	5.76
人	5.3
崇敬	6.38
祖父	5.64
李晓帆	-1
是	5.42
清末	4.42
秀才	-1
未	4.74
仕进	-1
闲居	-1
村野	-1
20	-1
世纪	5.1
初	5.14
正值	-1
中国	6.06
饱受	-1
列强	4.3
欺辱	-1
西学	-1
渐进	5.48
的	5.1
时代	5.44
饱读	-1
四书五经	-1
的	5.1
李晓帆	-1
毅然	6.23
送	5.3
两个	-1
儿子	5.86
李	5.2
云间	-1
李	5.2
云梯	-1
东渡	-1
扶桑	-1
留学	5.92
一个	5.1
学	5.56
商科	-1
一个	5.1
念	5.16
师范	5.64
学成回国	-1
后	5.0
在	5.02
潮州	-1
汕头	5.2
从事	5.32
教育	5.72
工作	5.18
李嘉诚	-1
父亲	6.4
李云经	-1
走	5.3
的	5.1
也	5.2
是	5.42
治学	5.5
执教	-1
之	5.26
路	5.2
李云经	-1
从小	5.08
聪颖	6.300000000000001
好学	6.25
孜孜不倦	-1
每次	-1
考试	4.9
总是	-1
名列前茅	-1
1913	-1
年	5.1
15	-1
岁	5.44
以	4.92
优异成绩	-1
考入	-1
省立	-1
金山	5.56
中学	5.46
1917	-1
年	5.1
毕业	5.96
时	5.04
成绩	5.64
列	4.84
全校	5.12
第一名	-1
时值	-1
家境	-1
式微	-1
无资供	-1
他	5.06
升读	-1
大学	6.2
李云	-1
经受	4.82
莲阳懋德	-1
学校	5.76
之	5.26
诚聘	-1
开始	5.26
了	5.08
执教	-1
生涯	5.6
数年	-1
之后	4.98
李云	-1
经弃	-1
教	5.06
从商	-1
远渡重洋	-1
在	5.02
爪哇	-1
国	5.16
三宝	-1
垄	-1
一间	-1
潮商	-1
开办	5.5
的	5.1
裕合	-1
公司	5.08
做	5.26
店员	-1
不久	5.04
因	5.14
时局动荡	-1
李云经	-1
打道回府	-1
在	5.02
潮安	-1
城	5.08
恒安	-1
银庄任	-1
司库	-1
与	4.86
出纳	-1
后	5.0
因	5.14
时局动荡	-1
银庄	-1
倒闭	2.82
李云经	-1
重返	-1
教坛	-1
在	5.02
隆	5.24
都	4.84
后	5.0
沟	-1
学校	5.76
做	5.26
教书匠	-1
他	5.06
教学	5.26
有方	-1
声誉	6.42
日隆	-1
1935	-1
年春	5.42
被	4.5
聘为	-1
庵埠宏安	-1
小学校长	-1
1937	-1
年	5.1
李云经	-1
转	5.0
聘为	-1
庵埠	-1
郭垄	-1
小学校长	-1
直至	5.18
潮州	-1
沦陷	2.98
举家	-1
辗转	2.98
香港	5.96
时	5.04
逾	-1
半个	-1
多	5.66
