松下幸之助	-1
创业	5.92
之道	-1
第一章	-1
松下	-1
的	5.1
学徒	-1
生涯	5.6
一	5.02
辉煌	7.18
的	5.1
松下	-1
随着	-1
松下	-1
产品	5.3
在	5.02
全世界	-1
的	5.1
扬名	-1
人们	5.28
也	5.2
开始	5.26
迫切	4.8
关注	5.8
开创	5.84
松下	-1
事业	5.74
的	5.1
松下幸之助	-1
传奇	5.94
而	5.18
辉煌	7.18
的	5.1
一生	5.66
人们	5.28
迫切希望	-1
知道	5.38
松下幸之助	-1
是	5.42
如何	5.28
赢得	6.16
如此	5.22
成功	7.48
的	5.1
业绩	5.88
的	5.1
让	5.36
我们	5.96
先	5.34
来	5.26
看看	-1
松下幸之助	-1
获得	6.0
的	5.1
荣誉	6.88
松下幸之助	-1
以	4.92
一生	5.66
的	5.1
事业	5.74
奋斗	6.48
经历	5.3
和	5.46
优秀	7.04
的	5.1
经营	5.32
管理	5.3
才能	6.1
以及	5.04
世人	5.02
瞩目	6.04
的	5.1
业绩	5.88
为	5.16
自己	5.28
赢得	6.16
了	5.08
无比	5.46
辉煌	7.18
的	5.1
荣誉	6.88
在	5.02
这些	5.18
荣誉	6.88
的	5.1
背后	4.88
是	5.42
他	5.06
所	4.98
取得	5.58
的	5.1
无与伦比	-1
的	5.1
成就	6.38
松下	-1
最早	5.24
获得	6.0
的	5.1
荣誉称号	-1
是	5.42
１	-1
９	-1
５	-1
８	-1
年	5.1
６	-1
月	5.28
由	4.86
荷兰政府	-1
颁发	5.7
的	5.1
奥伦治	-1
领导者	-1
声望	6.1
奖章	-1
松下	-1
从	5.16
荷兰	5.4
女王	-1
手中	4.98
接过	-1
了	5.08
奖章	-1
对	6.14
那	5.12
一幕	4.7
松下	-1
自己	5.28
有	5.36
颇	5.0
多	5.66
感慨	5.7
在	5.02
一个	5.1
阳光灿烂	-1
的	5.1
日子	5.16
松下	-1
来到	-1
女王	-1
接见	5.58
他	5.06
的	5.1
王宫	-1
走进	-1
了	5.08
一个	5.1
并	5.04
不起眼	-1
的	5.1
房间	5.34
房间	5.34
的	5.1
布置	5.1
十分	6.26
朴素	5.72
一位	-1
５	-1
０	-1
岁	5.44
上下	5.04
的	5.1
贵妇人	-1
等候	5.08
在	5.02
那里	5.18
经人介绍	-1
那	5.12
正是	-1
女王	-1
本人	5.36
松下	-1
没有	4.42
想到	5.52
女王	-1
会	5.22
亲自	5.08
出来	5.18
迎接	6.28
顿时	-1
手足无措	-1
王宫	-1
之	5.26
富丽堂皇	6.640000000000001
布置	5.1
之	5.26
简单	5.92
朴素	5.72
女王	-1
之	5.26
亲切	7.0
大方	7.140000000000001
给	5.34
松下	-1
留下	-1
了	5.08
深刻	5.52
的	5.1
印象	5.36
也	5.2
让	5.36
他	5.06
深深感动	-1
当时	5.0
的	5.1
情景	5.34
使	4.9
松下	-1
觉得	5.38
荷兰	5.4
的	5.1
繁荣	7.28
和	5.46
女王	-1
受到	4.78
人们	5.28
的	5.1
爱戴	-1
不无关系	-1
在	5.02
国外	5.8
松下	-1
获得	6.0
的	5.1
殊荣	-1
还有	-1
很多	5.46
１	-1
９	-1
７	-1
６	-1
年	5.1
美国	5.6
庆祝	7.0
建国	5.46
２	-1
０	-1
０	-1
周年	5.58
松下	-1
夫妇	5.86
应邀参加	-1
洛杉矶	-1
的	5.1
日裔	-1
游行	4.46
祭典	-1
这是	-1
松下	-1
第二次	-1
访问	5.68
洛杉矶	-1
第一次	-1
访问	5.68
时	5.04
该市	-1
市长	-1
把	4.94
松下	-1
到达	5.92
洛杉矶	-1
的	5.1
那	5.12
一天	4.92
定为	-1
松下幸之助	-1
日	4.88
这	5.14
一次	5.12
市长	-1
普瑞迪	-1
又	4.98
向	5.2
他	5.06
赠送	6.16
了	5.08
促进	5.9
美日	-1
友好	6.54
与	4.86
参加	5.38
游行	4.46
祭典	-1
感谢状	-1
１	-1
９	-1
７	-1
９	-1
年	5.1
松下	-1
在	5.02
马来西亚	4.88
受到	4.78
政府	4.76
的	5.1
表彰	6.6
并	5.04
赠以	-1
荣誉	6.88
勋章	-1
在	5.02
国内	5.22
松下	-1
也	5.2
屡次	-1
受奖	-1
５	-1
０	-1
年代	4.96
天皇	-1
夫妇	5.86
在	5.02
参观	5.72
松下电器	-1
的	5.1
高规	-1
茨	4.68
木	4.74
工厂	4.9
以后	4.92
授予	5.74
松下	-1
戴明奖	-1
１	-1
９	-1
６	-1
５	-1
年	5.1
松下	-1
７	-1
０	-1
岁	5.44
时	5.04
接受	5.72
日本政府	-1
颁发	5.7
的	5.1
二等	-1
旭日	-1
重光	-1
勋章	-1
奖励	7.06
松下	-1
在	5.02
日本	4.68
重建	-1
中所作	-1
的	5.1
贡献	6.28
１	-1
９	-1
７	-1
０	-1
年	5.1
４	-1
月	5.28
大阪	-1
举办	5.4
了	5.08
万国	-1
博览会	5.56
松下电器	-1
在	5.02
其中	4.76
专设	-1
松下	-1
馆	5.2
展出	-1
公司	5.08
的	5.1
优秀	7.04
产品	5.3
由此	-1
松下	-1
受到	4.78
日本政府	-1
的	5.1
一等	-1
瑞宝	-1
奖章	-1
这是	-1
专门	5.3
为	5.16
那些	5.02
制造	5.32
出	4.98
优异	7.24
产品	5.3
等	4.72
的	5.1
杰出人物	6.78
所设	-1
的	5.1
最高	6.32
奖章	-1
１	-1
９	-1
８	-1
１	-1
年	5.1
松下	-1
８	-1
６	-1
岁	5.44
时	5.04
接受	5.72
日本政府	-1
颁发	5.7
的	5.1
一等	-1
旭日	-1
大绶	-1
勋章	-1
这是	-1
日本国	-1
最高	6.32
的	5.1
奖章	-1
松下	-1
得到	5.66
的	5.1
荣誉	6.88
来自	-1
多方面	-1
这	5.14
既	4.86
是	5.42
对	6.14
他	5.06
成功	7.48
业绩	5.88
的	5.1
奖赏	-1
也	5.2
充分反映	-1
了	5.08
他	5.06
