从	5.16
电池	5.0
大王	-1
到	5.3
车王	-1
1	-1
第一章	-1
从	5.16
电池	5.0
大王	-1
到	5.3
车王	-1
王传福	-1
是	5.42
一个	5.1
善于	5.8
创造	6.42
奇迹	7.08
的	5.1
人	5.3
他	5.06
仅仅	4.52
用	5.1
了	5.08
十多年	-1
的	5.1
时间	5.32
就	4.94
将	5.36
比亚迪	-1
扩展	6.04
为	5.16
一个	5.1
在	5.02
全世界	-1
拥有	6.12
广泛	5.66
影响力	-1
的	5.1
制造	5.32
企业	5.24
王传福	-1
的	5.1
比亚迪	-1
奇迹	7.08
属于	5.32
他	5.06
个人	5.32
也	5.2
属于	5.32
这个	5.02
时代	5.44
一	5.02
比亚迪	-1
民族	5.42
制造业	-1
的	5.1
旗帜	5.26
在	5.02
2008	-1
年	5.1
全球	5.46
资本	5.0
市场	4.92
上	5.58
有	5.36
一件	-1
备受	-1
关注	5.8
的	5.1
事	5.14
股神	-1
巴菲特	-1
通过	5.84
其	5.24
投资	5.64
旗舰	-1
伯克	-1
希尔	-1
&#	-1
8226	-1
;	-1
哈撒韦	-1
公司	5.08
旗下	-1
附属	4.88
公司	5.08
与	4.86
比亚迪	-1
股份	5.46
有限公司	-1
签署	5.24
了	5.08
策略性	-1
投资	5.64
及	5.18
股份	5.46
认购	5.16
协议	5.26
以	4.92
每股	-1
8	-1
港元	-1
的	5.1
价格	5.18
认购	5.16
2	-1
25	-1
亿股	-1
比亚迪	-1
公司	5.08
的	5.1
股份	5.46
交易额	-1
高达	-1
18	-1
亿港元	-1
同时	5.34
2008	-1
年	5.1
cctv	-1
中国	6.06
经济	5.44
年度人物	-1
创新奖	-1
颁	-1
给	5.34
了	5.08
比亚迪	-1
总裁	5.62
王传福	-1
一下子	-1
全世界	-1
的	5.1
媒体	5.52
都	4.84
在	5.02
惊呼	-1
比亚迪	-1
是	5.42
何方神圣	-1
王传福	-1
从	5.16
一个	5.1
研究	5.78
电池	5.0
的	5.1
专家	5.68
成为	5.42
世界级	-1
电池	5.0
大王	-1
他	5.06
只用	-1
了	5.08
7	-1
年	5.1
时间	5.32
从	5.16
一个	5.1
汽车业	-1
的	5.1
外行	-1
成为	5.42
中国	6.06
增长	5.9
最快	-1
的	5.1
民营	4.92
汽车	5.24
企业	5.24
的	5.1
总裁	5.62
他	5.06
只用	-1
了	5.08
4	-1
年	5.1
时间	5.32
其中	4.76
f3	-1
也	5.2
成为	5.42
迄今为止	-1
国产	5.4
自主	6.0
品牌	5.68
最为	4.84
成功	7.48
的	5.1
车型	-1
之一	-1
一时之间	-1
媒体	5.52
和	5.46
大众	5.24
纷纷	5.08
把	4.94
目光	5.24
聚焦	-1
到	5.3
比亚迪	-1
和	5.46
他	5.06
的	5.1
创始人	-1
王传福	-1
身上	5.08
原来	5.54
