第一章	-1
见识	5.56
卓远	-1
梦想	6.4
创造	6.42
未来	6.28
人	5.3
因为	4.94
梦想	6.4
而	5.18
伟大	6.8
王传福	-1
不仅	5.34
是	5.42
一个	5.1
有	5.36
梦想	6.4
的	5.1
人	5.3
而且	5.08
他	5.06
还是	5.22
一步一个脚印	-1
努力	6.26
把	4.94
梦想	6.4
变为	-1
现实	5.08
的	5.1
人	5.3
一	5.02
世界级	-1
电池	5.0
大王	-1
20	-1
世纪	5.1
90	-1
年代	4.96
初	5.14
在	5.02
充电电池	-1
市场	4.92
上	5.58
三洋	-1
东芝	-1
松下	-1
等	4.72
日系	-1
电池	5.0
制造商	-1
占据	4.42
着	4.88
全球	5.46
近	5.22
90%	-1
的	5.1
市场	4.92
处于	5.02
绝对	5.04
垄断	3.2
地位	5.08
但是	4.56
随着	-1
比亚迪	-1
的	5.1
横空出世	-1
这种	-1
垄断	3.2
被	4.5
彻底	4.72
的	5.1
打破	4.84
在	5.02
日系	-1
充电电池	-1
生产	5.16
厂商	4.92
中	4.98
除了	4.74
原来	5.54
最大	5.96
的	5.1
三洋	-1
其余	5.12
的	5.1
老牌	-1
电池	5.0
企业	5.24
如	5.06
松下	-1
东芝	-1
索尼	-1
等	4.72
厂商	4.92
的	5.1
电池	5.0
业务	5.28
全部	5.6
亏损	3.1
而	5.18
此时	-1
比亚迪	-1
还	5.16
只是	4.54
一个	5.1
起步	5.42
较晚	-1
名不见经传	-1
的	5.1
民营企业	-1
比亚迪	-1
的	5.1
创始人	-1
王传福	-1
毕业	5.96
于	5.14
北京	5.68
有色金属	-1
研究	5.78
总院	-1
硕士	5.98
学历	5.48
在	5.02
下海	-1
成立	5.42
比亚迪	-1
之前	4.88
曾	4.8
是	5.42
北京	5.68
有色	-1
研究院	-1
最	5.14
年轻	6.48
的	5.1
处长	-1
当时	5.0
工作	5.18
在	5.02
机关	4.96
里	5.18
的	5.1
王传福	-1
总有	-1
一种	-1
无法	4.02
实现	5.72
自己	5.28
抱负	6.2
的	5.1
感觉	5.5
于是	4.9
就	4.94
有	5.36
了	5.08
下海	-1
的	5.1
想法	5.14
1995	-1
年	5.1
王传福	-1
看见	5.32
一个	5.1
的	5.1
砖式	-1
大哥大	-1
要花	-1
2	-1
万元	-1
而且	5.08
还是	5.22
要	5.2
走后门	-1
才	5.48
买	5.34
得到	5.66
并且	5.04
一块	5.14
电池	5.0
也	5.2
要	5.2
500	-1
多元	5.8
钱	6.24
这使	-1
一直	5.48
研究	5.78
电池	5.0
的	5.1
他	5.06
突然	4.5
感到	5.36
机会	6.0
