王石	-1
这个	5.02
人	5.3
第一	-1
部分	5.08
第	5.32
1	-1
词	4.94
严母	-1
1	-1
悠长	-1
得	5.44
像	5.5
永生	-1
的	5.1
童年	6.7
相当	5.4
愉快	7.2
地	5.16
度日如年	-1
然后	5.0
崎岖	-1
的	5.1
成长期	-1
也	5.2
漫漫	-1
长途	5.22
看不见	-1
尽头	4.16
然后	5.0
时间	5.32
加速	5.72
越来越快	-1
越来越快	-1
张爱玲	-1
对照	5.14
记	5.2
王石	-1
的	5.1
石	5.24
是	5.42
母亲	6.96
的	5.1
姓	5.34
虽然	4.66
后来	4.9
有人	5.14
按字	-1
索义	-1
说	5.22
这个	5.02
名字	5.3
隐喻	-1
了	5.08
他	5.06
未来	6.28
要	5.2
爬山	-1
的	5.1
命运	5.56
山	5.54
大石	-1
也	5.2
但	4.62
其实	4.82
他	5.06
的	5.1
名字	5.3
来得	5.12
简单	5.92
却	4.68
郑重	-1
将	5.36
父姓	-1
和	5.46
母姓	-1
集于一身	-1
是	5.42
一种	-1
由衷	5.68
的	5.1
宠爱	6.1899999999999995
更是	-1
一种	-1
无言	-1
的	5.1
期待	6.1
尽管	5.0
姐妹	6.76
兄弟	5.84
有	5.36
8	-1
个	4.94
唯王石	-1
独享	-1
了	5.08
这个	5.02
权利	5.7
他	5.06
是	5.42
父母	6.52
的	5.1
第一个	-1
男孩	-1
在	5.02
中国	6.06
人	5.3
传统	5.36
的	5.1
观念	5.28
里	5.18
这样	4.94
的	5.1
孩子	5.94
一定	5.36
是	5.42
金贵	-1
的	5.1
却	4.68
也	5.2
是	5.42
最	5.14
令人	-1
紧张	3.68
的	5.1
因为	4.94
他	5.06
天生	5.78
责任重大	6.23
王石	-1
的	5.1
出生地点	-1
是	5.42
广西	5.22
柳州	-1
所以	5.24
在	5.02
他	5.06
以后	4.92
的	5.1
履历	-1
上	5.58
他	5.06
的	5.1
籍贯	-1
经常	5.1
被误	-1
为	5.16
广西	5.22
柳州	-1
这个	5.02
地道	-1
的	5.1
南方	5.68
城市	5.5
在	5.02
几十年	-1
后	5.0
明显	5.42
表现	5.22
出	4.98
没有	4.42
任何	5.22
影响	4.98
到	5.3
王石	-1
的	5.1
地方	5.18
他	5.06
是	5.42
地道	-1
北方	5.08
人	5.3
的	5.1
性格	5.44
因为	4.94
他	5.06
是	5.42
纯粹	5.4
的	5.1
北方	5.08
血统	5.1
王石	-1
的	5.1
父亲	6.4
生长	5.92
在	5.02
安徽	5.4
大别山	-1
地区	5.04
熟悉	6.12
中国	6.06
革命史	-1
的	5.1
人	5.3
都	4.84
知道	5.38
这个	5.02
地方	5.18
在	5.02
上个世纪	-1
的	5.1
战争	3.32
年代	4.96
是	5.42
最为	4.84
红色	5.76
的	5.1
革命	4.9
根据地	4.98
是	5.42
中国共产党	-1
的	5.1
大元帅	-1
徐向前	-1
根深蒂固	4.44
的	5.1
根据地	4.98
当年	5.06
红四方面军	-1
就	4.94
在	5.02
大别山	-1
根据地	4.98
威镇	-1
四方	5.32
王石	-1
的	5.1
父亲	6.4
就是	4.98
在	5.02
这里	4.88
参加	5.38
了	5.08
红四方面军	-1
大别山	-1
地区	5.04
地处	-1
安徽	5.4
北部	5.34
民风	-1
淳厚	-1
却	4.68
也	5.2
历来	5.3
贫困	3.1
即便	4.86
是	5.42
今天	5.52
那里	5.18
依然	5.26
属于	5.32
全国	5.28
经济	5.44
不	4.4
发达	6.68
地区	5.04
这个	5.02
曾经	4.9
为	5.16
中国	6.06
革命	4.9
做出	-1
过	5.04
很大	-1
贡献	6.28
的	5.1
土地	5.22
像	5.5
许多	5.36
和	5.46
它	5.16
一样	5.28
的	5.1
革命	4.9
老区	-1
一样	5.28
忍受	3.64
奉献	6.9
成	5.36
了	5.08
他们	5.12
的	5.1
代名词	-1
王石	-1
父亲	6.4
的	5.1
经历	5.3
就	4.94
像	5.5
那个	5.2
年代	4.96
的	5.1
典型	5.46
故事	5.3
兄弟	5.84
5	-1
个	4.94
有	5.36
3	-1
个	4.94
加入	5.42
了	5.08
红军	5.56
在	5.02
那样	5.14
的	5.1
战乱	3.22
年代	4.96
这是	-1
唯一	-1
能够	5.44
自救	-1
的	5.1
出路	5.72
也	5.2
从此	4.84
注定	5.3
了	5.08
王石	-1
与	4.86
军队	4.78
之间	-1
千丝万缕	-1
的	5.1
联系	5.4
王石	-1
回忆	5.38
父亲	6.4
的	5.1
时候	5.0
最多	5.82
的	5.1
说法	4.96
是	5.42
不	4.4
善于	5.8
交际	5.68
沉默寡言	-1
热爱劳动	-1
大概	4.84
和	5.46
土地	5.22
关系	5.0
紧密	5.44
