神秘	5.34
富豪	-1
郭鹤年	-1
传	5.14
楔	-1
子	5.26
香港	5.96
虽小	-1
弹丸之地	-1
却	4.68
藏龙卧虎	-1
香港	5.96
是	5.42
世界	5.78
上	5.58
超级	6.1
富豪	-1
聚集	5.32
密度	5.1
最大	5.96
的	5.1
地方	5.18
要	5.2
问	5.18
香港	5.96
有	5.36
多少	5.08
超级	6.1
富豪	-1
扳起	-1
指头	-1
够	5.42
你	5.36
数	5.18
一气	-1
的	5.1
李嘉诚	-1
包玉刚	-1
李兆基	-1
霍英东	-1
郑裕彤	-1
邵逸夫	-1
胡应	-1
湘	-1
这些	5.18
金光闪闪	-1
的	5.1
大名	-1
在	5.02
香港	5.96
乃至	4.68
在	5.02
华人	5.62
世界	5.78
中	4.98
无人不知	-1
无人不晓	-1
可谓	5.1
掷地有声	-1
如雷贯耳	-1
他们	5.12
的	5.1
创业	5.92
传奇	5.94
广为流传	-1
他们	5.12
的	5.1
一言一行	-1
一颦一笑	-1
经常出现	-1
在	5.02
大	5.7
众	5.22
传媒	5.26
上	5.58
成为	5.42
公众	5.28
注意	5.0
的	5.1
焦点	5.54
这些	5.18
商界	5.12
英雄	6.56
是	5.42
香港	5.96
的	5.1
骄	-1
做	5.26
也	5.2
是	5.42
人们	5.28
崇	-1
拜	5.02
的	5.1
偶像	6.2
他们	5.12
比	5.0
那些	5.02
演艺	-1
明星	6.0
还要	-1
惹人注目	-1
更加	5.62
广为人知	-1
而	5.18
这个	5.02
人	5.3
他	5.06
是	5.42
谁	5.1
呢	4.92
六七十年代	-1
他	5.06
崛起	-1
于	5.14
马来西亚	4.88
成为	5.42
亚洲	5.32
糖王	-1
或许	5.1
也	5.2
是	5.42
世界	5.78
糖王	-1
在	5.02
其	5.24
糖业	-1
鼎盛时期	-1
他	5.06
控制	4.78
了	5.08
国际	5.54
市场	4.92
上	5.58
每年	5.44
食糖	-1
贸易	5.44
总量	-1
的	5.1
１	-1
１	-1
０	-1
７	-1
０	-1
年代	4.96
中期	5.16
他	5.06
大举	5.28
进军	5.12
香港	5.96
同时	5.34
环绕着	-1
太平洋	5.64
建立	5.54
起	4.98
他	5.06
庞大	5.66
的	5.1
香格	-1
里拉	-1
酒店	5.44
王国	5.6
８	-1
０	-1
年代	4.96
他	5.06
进军	5.12
电视业	-1
成为	5.42
香港	5.96
无线电视	-1
的	5.1
最大	5.96
股东	5.28
９	-1
０	-1
年代	4.96
他	5.06
又	4.98
购得	-1
了	5.08
南华早报	-1
的	5.1
控股权	-1
通过	5.84
报纸	5.34
和	5.46
电视	5.76
他	5.06
几乎	4.8
掌	5.34
握	5.2
了	5.08
香港	5.96
人	5.3
每日	-1
的	5.1
喜怒哀乐	-1
近年来	-1
他	5.06
大举	5.28
投资	5.64
内地	4.88
投资	5.64
总数	4.96
达	5.42
５	-1
０	-1
亿美元	-1
之	5.26
巨	5.52
其中	4.76
最	5.14
引人注目	6.05
的	5.1
就是	4.98
坐落	-1
在	5.02
北京市	-1
的	5.1
中国国际贸易中心	-1
它	5.16
被	4.5
认为	5.1
是	5.42
北京	5.68
现代	5.62
建筑	5.22
的	5.1
代	5.12
表	5.38
在	5.02
最近	5.38
的	5.1
一次	5.12
香港	5.96
超级	6.1
富豪	-1
排行榜	-1
上	5.58
他	5.06
排名	5.42
第三	-1
仅次于	-1
李嘉诚	-1
和	5.46
李	5.2
兆基	-1
在	5.02
１	-1
９	-1
９	-1
５	-1
年	5.1
美国	5.6
最	5.14
权威	5.5
的	5.1
财经	5.34
杂志	5.42
福布斯	-1
的	5.1
全球	5.46
最	5.14
富华	-1
人	5.3
