	-1
■	-1
岩崎小弥太	-1
的	5.1
身世	4.78
明治	-1
39	-1
年	5.1
1906	-1
年	5.1
3	-1
月	5.28
岩崎小弥太	-1
结束	4.72
了	5.08
六年	-1
的	5.1
英国	5.72
留	5.24
学	5.56
生活	5.58
回到	-1
日本	4.68
那	5.12
之后	4.98
不久	5.04
的	5.1
5	-1
月	5.28
14	-1
日	4.88
就任	5.44
三菱	-1
合资	5.44
公	4.9
司	4.88
的	5.1
副社长	-1
从这时起	-1
开始	5.26
了	5.08
真正	5.76
的	5.1
企业家	-1
的	5.1
生活	5.58
剑桥	6.02
留学	5.92
对小弥太	-1
人生观	-1
思想	5.62
观	5.5
的	5.1
形成	5.22
产生	5.2
了	5.08
很大	-1
影响	4.98
那么	4.88
20	-1
世纪	5.1
初叶	-1
,	-1
他	5.06
究竟	4.98
经历	5.3
了	5.08
怎样	4.92
的	5.1
留学	5.92
生活	5.58
呢	4.92
岩崎小弥太于	-1
明治	-1
12	-1
年	5.1
1879	-1
年	5.1
8	-1
月	5.28
3	-1
日出	-1
生于	-1
东京	5.08
东京市	-1
神田	-1
区骏河	-1
台东	-1
红梅	-1
町	-1
十七	-1
番	5.14
地	5.16
也	5.2
就是	4.98
位于	4.96
现在	5.14
东京	5.08
都	4.84
千代田区	-1
神田	-1
骏河台	-1
四丁	-1
目	5.28
六番	-1
地	5.16
隔开	-1
尼古拉	-1
堂	5.3
与	4.86
东侧	-1
公	4.9
路	5.2
的	5.1
现在	5.14
的	5.1
日立	-1
制作	5.2
所	4.98
本部	5.38
的	5.1
高楼	-1
所在	4.96
的	5.1
那块	-1
地方	5.18
父亲	6.4
弥	-1
之助	-1
是	5.42
当时	5.0
邮电	5.02
汽船	-1
三菱	-1
会社	5.0
的	5.1
副社长	-1
协助	5.66
其兄	-1
岩崎弥	-1
太郎	-1
社长	-1
工作	5.18
母亲	6.96
是	5.42
维新	-1
的	5.1
元勋	-1
后藤象二郎	-1
的	5.1
女儿	6.3
早苗	-1
明治	-1
18	-1
年	5.1
小弥太	-1
七岁	-1
了	5.08
进入	5.46
学习	5.86
院	5.18
预备	5.4
科	4.74
学习	5.86
这一	-1
年	5.1
伯父	-1
岩崎弥	-1
太郎	-1
去世	3.14
邮电	5.02
汽船	-1
三菱	-1
会社	5.0
解散	4.6
,	-1
成立	5.42
了	5.08
日本	4.68
邮	5.0
船	5.32
株式会社	-1
明治	-1
22	-1
年春	5.42
小弥太	-1
转入	-1
东京	5.08
高等师范	-1
附属	4.88
小	4.6
学	5.56
中等	4.92
科	4.74
学习	5.86
结束	4.72
后	5.0
于	5.14
明治	-1
29	-1
年	5.1
1896	-1
年	5.1
6	-1
月	5.28
考入	-1
第一	-1
高	6.1
等	4.72
学校	5.76
相当于	-1
职高	-1
一部	-1
法	5.32
学科	5.06
这	5.14
一年	-1
他	5.06
的	5.1
父亲	6.4
弥之助	-1
就任	5.44
日本银行	-1
第四任	-1
总裁	5.62
一高	-1
时代	5.44
的	5.1
学友	-1
有松	-1
平恒雄	-1
