联想	5.76
局	4.96
一家	5.56
领袖	5.86
企业	5.24
的	5.1
中国	6.06
智慧	6.68
关系	5.0
万千重	-1
柳传志	-1
联想	5.76
创始人	-1
是	5.42
本书	-1
的	5.1
第一	-1
主角	5.58
联想	5.76
盘根错节	-1
关系	5.0
的	5.1
胶结	-1
之点	-1
一个	5.1
传奇人物	-1
他	5.06
的	5.1
身份	5.02
既有	-1
联想	5.76
控股	5.18
总裁	5.62
又	4.98
曾	4.8
有	5.36
联想集团	-1
董事局	-1
主席	5.36
人们	5.28
形容	5.54
他	5.06
为	5.16
联想	5.76
教父	-1
国内	5.22
管理学	-1
的	5.1
代言人	5.02
李	5.2
勤	6.24
联想	5.76
的	5.1
缔造者	6.140000000000001
之一	-1
是	5.42
本书	-1
的	5.1
第二	-1
主角	5.58
一个	5.1
奇特	-1
的	5.1
人物	5.16
他	5.06
扮演	5.44
了	5.08
幕后英雄	-1
的	5.1
角色	5.34
是	5.42
联想	5.76
的	5.1
总理	5.66
执行官	-1
和	5.46
部队长	-1
联想	5.76
控股	5.18
的	5.1
常务	5.22
副总裁	-1
及	5.18
神州数码	-1
董事局	-1
主席	5.36
曾茂朝	-1
某种意义	-1
上	5.58
他	5.06
是	5.42
联想	5.76
真正	5.76
的	5.1
缔造者	6.09
他	5.06
曾	4.8
是	5.42
中国科学院计算技术研究所	-1
所长	-1
如今	5.22
则	4.8
是	5.42
联想	5.76
控股公司	-1
董事长	-1
他	5.06
在	5.02
为	5.16
计算所	-1
布局	5.38
的	5.1
时候	5.0
设计	5.76
出	4.98
了	5.08
联想	5.76
为	5.16
计算所	-1
留下	-1
一条	5.24
后路	-1
他	5.06
是	5.42
柳传志	-1
最	5.14
坚定	6.04
的	5.1
支持者	-1
也	5.2
是	5.42
联想	5.76
最	5.14
执著	-1
的	5.1
庇护	5.02
者	5.0
周光召	-1
曾任	-1
中国科学院	-1
院长	-1
对	6.14
联想	5.76
颇	5.0
多	5.66
关爱	6.16
他	5.06
曾	4.8
提出	5.04
著名	6.18
的	5.1
一院	-1
两制	-1
倪光南	-1
曾经	4.9
是	5.42
联想	5.76
的	5.1
离奇	-1
人物	5.16
柳传志	-1
10	-1
年	5.1
的	5.1
生死之交	-1
被	4.5
柳传志	-1
塑造	5.42
为	5.16
技术	5.08
神	6.08
其	5.24
身份	5.02
从	5.16
总工程师	-1
董事	5.76
变成	-1
与	4.86
联想	5.76
分道扬镳	-1
的	5.1
人	5.3
王树	-1
和	5.46
联想	5.76
的	5.1
创始人	-1
第一任	-1
总经理	-1
有时	5.24
口	5.1
无	4.18
遮拦	-1
1986	-1
年	5.1
离开	4.0
联想	5.76
张祖祥	-1
联想	5.76
创始人	-1
最早	5.24
的	5.1
副总经理	-1
后来	4.9
出任	5.78
副总裁	-1
是	5.42
联想	5.76
最为	4.84
典型	5.46
的	5.1
无名英雄	-1
李	5.2
天福	-1
联想	5.76
最早	5.24
的	5.1
11	-1
个人	5.32
之一	-1
是	5.42
其中	4.76
混	3.98
得	5.44
最差	-1
的	5.1
人	5.3
他	5.06
是	5.42
一个	5.1
符号	5.18
曹	4.96
之江	-1
曾经	4.9
是	5.42
联想	5.76
的	5.1
副	4.78
总工程师	-1
副总裁	-1
他	5.06
善于	5.8
讲述	5.36
联想	5.76
的	5.1
历史	5.34
杨元庆	-1
历任	5.2
联想集团	-1
总裁	5.62
ceo	5.1
董事长	-1
中国	6.06
it	5.02
业	4.86
的	5.1
领军人物	-1
他	5.06
在	5.02
联想	5.76
的	5.1
经历	5.3
就	4.94
如同	4.88
一出	-1
戏剧	5.42
柳传志	-1
每次	-1
提及	-1
他	5.06
总会	-1
说	5.22
感谢	6.88
元庆	-1
郭	-1
为	5.16
神州数码	-1
总裁	5.62
曾任	-1
分拆	-1
前	5.24
联想集团	-1
副总裁	-1
与	4.86
杨元庆	-1
一样	5.28
其	5.24
命运	5.56
如同	4.88
一出	-1
戏剧	5.42
马雪征	-1
联想集团	-1
副总裁	-1
cfo	-1
联想	5.76
上市	5.96
整合	5.56
分拆	-1
的	5.1
策划者	-1
及	5.18
执行者	-1
之一	-1
是	5.42
一个	5.1
职业	5.34
经理人	-1
朱立南	-1
联想	5.76
控股公司	-1
常务	5.22
副总裁	-1
及	5.18
联想	5.76
投资	5.64
公司总裁	-1
联想	5.76
分拆	-1
的	5.1
策划者	-1
及	5.18
执行者	-1
柳传志	-1
的	5.1
忘年交	-1
王晓岩	-1
联想集团	-1
副总裁	-1
被	4.5
称为	-1
联想	5.76
实施	5.38
erp	-1
的	5.1
第一	-1
功臣	-1
孙宏斌	-1
一个	5.1
曾经	4.9
是	5.42
联想	5.76
的	5.1
人	5.3
他	5.06
曾	4.8
因	5.14
挑战	5.38
大船	-1
思想	5.62
的	5.1
权威	5.5
被	4.5
柳传志	-1
送	5.3
进	5.8
监狱	2.84
后	5.0
又	4.98
获得	6.0
柳传志	-1
资助	5.76
开创	5.84
事业	5.74
并且	5.04
成功	7.48
翻案	-1
他	5.06
宣称	4.92
是	5.42
柳传志	-1
造就	5.6
了	5.08
我	5.58
今天	5.52
孙是	-1
天津	5.36
最大	5.96
的	5.1
地产	5.22
巨头	-1
陈国栋	-1
融科智地	-1
总裁	5.62
其	5.24
经历	5.3
纷繁	-1
芜杂	-1
与	4.86
孙宏斌	-1
有	5.36
业务	5.28
合作	5.78
王	5.5
建	5.36
金	6.3
白领	-1
总裁	5.62
吕	-1
谭平	-1
香港	5.96
联想	5.76
总经理	-1
1997	-1
年	5.1
出局	-1
在	5.02
联想	5.76
的	5.1
瞎子	-1
背	4.82
瘸子	-1
战略	5.4
中	4.98
他	5.06
和	5.46
他	5.06
所	4.98
领导	5.52
的	5.1
导远	-1
公司	5.08
扮演	5.44
了	5.08
瘸子	-1
的	5.1
角色	5.34
吴礼益	-1
香港	5.96
联想	5.76
副总经理	-1
1997	-1
年	5.1
联想	5.76
整合	5.56
后	5.0
出局	-1
周晓兰	-1
联想	5.76
的	5.1
11	-1
元老	-1
之一	-1
其	5.24
性格	5.44
豪爽	-1
是	5.42
巾帼	-1
中	4.98
的	5.1
杰出人物	6.88
她	5.2
曾	4.8
与	4.86
倪光南	-1
发生	4.78
剧烈	4.64
矛盾	3.38
因为	4.94
柳传志	-1
袒护	-1
倪光南	-1
至今	5.12
不肯	3.38
原谅	5.82
柳传志	-1
胡	5.1
锡兰	-1
联想	5.76
典故	-1
中	4.98
研究员	5.4
站柜台	-1
的	5.1
主角	5.58
一个	5.1
可爱	7.46
的	5.1
老人	5.1
许国	-1
兵	5.1
赵令欢	-1
袁宝玑	-1
严义埙	-1
唐	5.32
旭东	-1
刘耀	-1
李致洁	-1
贾绪福	-1
胡	5.1
靖宇	-1
曹效业	-1
蔡树永	-1
毕显林	-1
白慧敏	-1
他们	5.12
都	4.84
曾	4.8
在	5.02
或	4.96
将	5.36
在	5.02
联想	5.76
史中	-1
扮演	5.44
重要	5.68
的	5.1
角色	5.34
胶结	-1
于	5.14
纷繁	-1
芜杂	-1
千错	-1
万	5.38
综	5.26
的	5.1
关系	5.0
中	4.98
绪论	-1
局	4.96
的	5.1
精神	5.86
与	4.86
联想	5.76
局	4.96
1	-1
不少	-1
人	5.3
认为	5.1
联想	5.76
是	5.42
一个	5.1
奇迹	7.08
一种	-1
标志	5.46
和	5.46
一座	4.88
象征	5.58
的	5.1
纪念碑	5.5
它	5.16
有	5.36
丰富	6.64
的	5.1
内涵	5.62
深邃	-1
的	5.1
心灵	6.1
悲悯	6.119999999999999
的	5.1
胸怀	-1
它	5.16
是	5.42
民族	5.42
工业	5.08
的	5.1
骄傲	5.6
和	5.46
高科技	-1
产业	5.46
的	5.1
代表	5.28
20	-1
年来	5.14
对	6.14
联想	5.76
的	5.1
赞美	7.18
和	5.46
溢美之辞	-1
汗牛充栋	-1
凡有	-1
印刷品	-1
和	5.46
无线电波	-1
的	5.1
地方	5.18
就	4.94
留有	-1
联想	5.76
的	5.1
影响	4.98
凡	4.94
电力	5.18
文明	6.28
所	4.98
能	5.48
覆盖	5.2
之地	-1
便	4.82
刻有	-1
联想	5.76
的	5.1
印痕	-1
不少	-1
人	5.3
认为	5.1
柳传志	-1
是	5.42
中国	6.06
企业家	-1
的	5.1
典范	6.18
是	5.42
中国	6.06
企业	5.24
教父	-1
是	5.42
国内	5.22
管理学	-1
的	5.1
代言人	5.02
拥有	6.12
几乎	4.8
完美	7.4
的	5.1
企业	5.24
战略家	-1
生涯	5.6
他	5.06
是	5.42
为数不多	-1
登上	-1
哈佛	5.96
讲坛	-1
的	5.1
中国	6.06
企业家	-1
之一	-1
是	5.42
中关村	-1
第一代	-1
企业	5.24
领袖	5.86
中	4.98
硕果仅存	-1
没有	4.42
在改革中	-1
犯错误	-1
的	5.1
人	5.3
不惟	-1
如此	5.22
他	5.06
还	5.16
成功	7.48
引领	-1
一家	5.56
作坊式	-1
的	5.1
公司	5.08
缔造	5.1
为	5.16
一家	5.56
看起来	-1
可	5.3
艰难	3.16
踯躅	-1
着	4.88
与	4.86
跨国	5.36
巨头	-1
一较高下	-1
的	5.1
领袖	5.86
企业	5.24
一个	5.1
局	4.96
可以	5.58
涵盖	5.68
联想	5.76
史	5.1
联想	5.76
为什么	4.32
1996	-1
年	5.1
初冬	-1
一个	5.1
叫	4.96
陈惠湘	-1
的	5.1
人	5.3
发问	-1
他	5.06
是	5.42
联想	5.76
办公室	5.08
年轻	6.48
的	5.1
官员	4.28
他	5.06
打开	5.18
了	5.08
一个	5.1
思维	5.44
方向	5.14
联想	5.76
可以	5.58
作为	5.18
中国	6.06
企业	5.24
发展	6.16
的	5.1
样板	-1
研究	5.78
联想	5.76
的	5.1
管理	5.3
和	5.46
文化	5.92
演绎	5.42
联想	5.76
奇迹	7.08
和	5.46
神话	5.76
总结	5.4
联想	5.76
经验	6.1
和	5.46
规律	5.3
的	5.1
出版物	-1
旋即	-1
接踵而至	-1
充斥	-1
于	5.14
图书市场	-1
遍布	5.28
于	5.14
大街小巷	-1
有人	5.14
说	5.22
联想	5.76
成功	7.48
缘于	-1
柳传志	-1
的	5.1
个人	5.32
魅力	7.48
有人	5.14
则	4.8
谓之	-1
成功	7.48
缘于	-1
以	4.92
惠普	-1
为师	-1
有人	5.14
说	5.22
联想	5.76
管理	5.3
独树一帜	-1
标新立异	-1
也	5.2
有人	5.14
说	5.22
联想	5.76
崛起	-1
是因为	-1
它	5.16
储备	5.5
了	5.08
大量	5.4
人才	6.26
还有	-1
人	5.3
说	5.22
联想	5.76
靠	4.78
的	5.1
是	5.42
创新	6.88
精神	5.86
大家	5.56
莫衷一是	-1
各执一端	-1
然而	4.68
几乎	4.8
所有人	-1
都	4.84
忽略	3.92
了	5.08
杨元庆	-1
曾	4.8
评价	5.3
柳	-1
总是	-1
政治家	-1
只有	5.14
为数不多	-1
的	5.1
几个	-1
人	5.3
知道	5.38
柳传志	-1
曾	4.8
说	5.22
联想	5.76
前面	5.22
做	5.26
的	5.1
这些	5.18
年	5.1
蓄势	-1
而已	4.98
更	5.34
很少	-1
有人	5.14
注意	5.0
到	5.3
柳传志	-1
曾经	4.9
有	5.36
一段时间	-1
闭门	-1
钻研	-1
雍正	-1
王朝	5.26
并且	5.04
感慨	5.7
地说	-1
在	5.02
继承人	5.3
的	5.1
问题	4.46
上	5.58
康熙皇帝	-1
犯下	-1
了	5.08
不可	4.28
饶恕	-1
的	5.1
错误	3.46
这些	5.18
被	4.5
忽略	3.92
的	5.1
微妙	5.52
这些	5.18
被	4.5
熟视无睹	-1
的	5.1
细节	5.32
恰恰	5.54
是	5.42
柳传志	-1
和	5.46
他	5.06
所	4.98
执掌	-1
的	5.1
联想	5.76
赖以	-1
成功	7.48
的	5.1
特质	5.58
这些	5.18
特质	5.58
累积	5.42
于	5.14
联想	5.76
历史	5.34
之中	-1
沉淀	-1
平复	-1
于	5.14
20	-1
年	5.1
之内	-1
慢慢	-1
地	5.16
变成	-1
了	5.08
一种	-1
典型	5.46
的	5.1
中国	6.06
智慧	6.68
一种	-1
谋略	3.92
的	5.1
智慧	6.68
一种	-1
局	4.96
的	5.1
智慧	6.68
历史	5.34
已经	5.18
证明	5.04
自有	-1
组织	5.08
诞生	5.98
便	4.82
有	5.36
管理	5.3
附生	-1
一位	-1
管理	5.3
史学家	-1
阐释	5.38
说	5.22
管理	5.3
的	5.1
历史	5.34
跨越	5.32
了	5.08
几千年	-1
的	5.1
人类文明	-1
无论	5.16
在	5.02
东方	5.66
还是	5.22
西方	5.26
都	4.84
是	5.42
如此	5.22
在	5.02
过去	5.2
的	5.1
几个	-1
世纪	5.1
里	5.18
无数	5.44
人	5.3
