作者	5.44
序	5.2
一直	5.48
以来	4.98
都	4.84
很	5.14
羡慕	6.26
那些	5.02
成功	7.48
的	5.1
商业	5.26
英雄	6.56
惊叹	-1
他们	5.12
取得	5.58
的	5.1
辉煌	7.18
觉得	5.38
在	5.02
鲜花	6.76
和	5.46
掌声	-1
簇拥	-1
下	4.6
的	5.1
一刻	5.44
一定	5.36
是	5.42
人生	5.66
最	5.14
美妙	7.12
的	5.1
瞬间	5.12
在	5.02
群星	-1
云集	-1
的	5.1
商业界	-1
名人	6.04
中	4.98
我	5.58
最	5.14
钦佩	6.05
的	5.1
是	5.42
改革开放	-1
以来	4.98
中国	6.06
第一代	-1
企业家	-1
柳传志	-1
被	4.5
称为	-1
联想	5.76
教父	-1
的	5.1
他	5.06
造就	5.6
了	5.08
一个	5.1
行业	5.02
的	5.1
神话	5.76
出于	-1
对	6.14
企业家	-1
的	5.1
崇拜	6.46
心理	5.0
我	5.58
跟踪	4.32
研究	5.78
联想	5.76
和	5.46
柳传志	-1
已	5.54
近十年	-1
但	4.62
第一次	-1
真正	5.76
听到	-1
联想	5.76
内部	4.9
人士	5.5
谈	5.14
柳传志	-1
的	5.1
事迹	5.34
是	5.42
在	5.02
2005	-1
年	5.1
那	5.12
是	5.42
个	4.94
夏末秋	-1
初	5.14
的	5.1
季节	5.68
就	4.94
在	5.02
那	5.12
一年	-1
神州数码	-1
的	5.1
总裁	5.62
郭为	-1
和	5.46
他	5.06
的	5.1
同学	5.74
离校	-1
十年	-1
之后	4.98
再聚	-1
母校	-1
而	5.18
我	5.58
和	5.46
郭为	-1
是	5.42
校友	-1
我	5.58
很	5.14
荣幸	6.46
被	4.5
东北大学	-1
工商管理	-1
学院	5.26
的	5.1
老师	5.98
邀请	5.92
一起	5.74
报道	5.14
郭为	-1
等	4.72
人	5.3
十年	-1
再	4.96
相聚	-1
的	5.1
情况	5.02
就	4.94
在	5.02
郭为	-1
到达	5.92
沈阳	5.4
的	5.1
第一天	-1
晚上	5.02
我们	5.96
一行	5.02
人	5.3
在	5.02
沈阳	5.4
的	5.1
喜来登	-1
酒店	5.44
为	5.16
他	5.06
接风洗尘	-1
吃饭	5.8
之	5.26
余	4.66
我	5.58
走	5.3
到	5.3
郭为	-1
的	5.1
身边	5.44
向	5.2
他	5.06
说	5.22
自己	5.28
很想	-1
了解	5.28
一点	4.88
柳传志	-1
先生	5.18
的	5.1
故事	5.3
我	5.58
说	5.22
我	5.58
读书	5.68
的	5.1
时候	5.0
就	4.94
一直	5.48
很	5.14
崇拜	6.46
他	5.06
他	5.06
是	5.42
个	4.94
大师	5.92
郭为	-1
很	5.14
调侃	-1
地说	-1
现在	5.14
的	5.1
新一代	-1
不	4.4
追	5.24
明星	6.0
了	5.08
啊	4.78
开始	5.26
关心	6.48
商业	5.26
人士	5.5
了	5.08
接着	5.12
郭为	-1
很	5.14
善解人意	-1
地说	-1
不要	4.16
介意	-1
我	5.58
只是	4.54
开个	-1
玩笑	-1
之后	4.98
大家	5.56
都	4.84
笑	7.06
了	5.08
我	5.58
也	5.2
笑	7.06
了	5.08
后来	4.9
郭为	-1
先生	5.18
和	5.46
我	5.58
谈	5.14
了	5.08
很多	5.46
的	5.1
联想	5.76
和	5.46
柳传志	-1
的	5.1
小	4.6
故事	5.3
在	5.02
字里行间	-1
我	5.58
都	4.84
可以	5.58
感到	5.36
郭先生	-1
对	6.14
他	5.06
的	5.1
钦佩	6.48
和	5.46
尊敬	6.82
说	5.22
到	5.3
高兴	7.38
的	5.1
时候	5.0
大家	5.56
发出	5.24
爽朗	6.76
的	5.1
笑声	-1
那次	-1
我	5.58
开始	5.26
对	6.14
柳传志	-1
有	5.36
一点	4.88
感性	5.86
的	5.1
认识	5.36
从那以后	-1
我	5.58
更加	5.62
喜欢	7.02
收集	5.34
有关	5.4
柳传志	-1
先生	5.18
