序言	5.02
审视	5.02
联想	5.76
的	5.1
三个	-1
命题	5.06
在	5.02
上	5.58
个	4.94
世纪末	4.82
的	5.1
大部分	-1
时间	5.32
里	5.18
海尔	5.4
都	4.84
是	5.42
中国	6.06
企业	5.24
最	5.14
亮丽	-1
的	5.1
旗帜	5.26
然而	4.68
进入	5.46
21	-1
世纪	5.1
里	5.18
海尔	5.4
似乎	5.08
光芒	6.06
不再	-1
另一家	-1
中国	6.06
高科技	-1
企业	5.24
日渐	4.98
取代	4.94
了	5.08
海尔	5.4
的	5.1
位置	5.18
那	5.12
就是	4.98
联想	5.76
这种	-1
取代	4.94
似乎	5.08
是	5.42
全方位	-1
的	5.1
甚至	4.82
在	5.02
哈佛商学院	-1
的	5.1
案例	5.12
中继	-1
海尔	5.4
的	5.1
休克	-1
鱼	5.44
案例	5.12
后	5.0
联想	5.76
又	4.98
成为	5.42
新	5.94
的	5.1
中国	6.06
蓝本	-1
而且	5.08
是	5.42
做	5.26
了	5.08
一个	5.1
更为	-1
全面	5.84
的	5.1
全景式	-1
案例	5.12
当然	5.44
从	5.16
管理	5.3
和	5.46
国际化	-1
的	5.1
程度	5.0
来说	-1
联想	5.76
或许	5.1
并不比	-1
海尔	5.4
更	5.34
优秀	7.04
但	4.62
一家	5.56
企业	5.24
的	5.1
发展	6.16
原本	5.0
就	4.94
不仅仅	-1
是	5.42
内部	4.9
管理	5.3
或者	4.76
国际化	-1
的	5.1
结果	5.16
还	5.16
与	4.86
战略	5.4
选择	5.22
国家	5.34
产业政策	-1
和	5.46
国际	5.54
产业	5.46
变迁	4.96
等	4.72
密切相关	-1
联想	5.76
的	5.1
发展	6.16
历史	5.34
虽然	4.66
并	5.04
不长	-1
但	4.62
它	5.16
和	5.46
个人电脑	-1
同样	5.12
不长	-1
的	5.1
发展史	-1
相	5.04
契合	-1
刚好	-1
又	4.98
赶上	-1
了	5.08
中国	6.06
改革开放	-1
的	5.1
浪潮	5.16
之后	4.98
的	5.1
故事	5.3
很	5.14
简单	5.92
在	5.02
1990	-1
年代	4.96
高	6.1
扛	-1
民族主义	-1
旗帜	5.26
击败	5.06
国际	5.54
