preface	5.5
序言	5.02
这个	5.02
世界	5.78
没有	4.42
神	6.08
一	5.02
互联网	5.88
是	5.42
一个	5.1
英雄辈出	-1
的	5.1
行业	5.02
但	4.62
互联网	5.88
精神	5.86
天生	5.78
就	4.94
反对	3.84
英雄主义	-1
所以	5.24
中国	6.06
乔布斯	-1
的	5.1
封号	-1
于雷军	-1
而言	-1
更	5.34
像	5.5
箭靶	-1
而	5.18
非	4.66
皇冠	-1
如	5.06
众矢之的	-1
有万箭	-1
飞来	-1
2012	-1
年	5.1
12	-1
月	5.28
12	-1
日	4.88
中央电视台	-1
总部	-1
大楼	5.26
一号	-1
演播厅	-1
内	4.98
流光溢彩	-1
台下	-1
坐满	-1
声名显赫	-1
的	5.1
企业家	-1
和	5.46
财经	5.34
媒体	5.52
人	5.3
中国	6.06
经济	5.44
年度人物	-1
颁奖典礼	-1
在	5.02
掌声	-1
中	4.98
渐入	-1
高潮	6.28
揭晓	-1
中国	6.06
经济	5.44
年度人物	-1
新锐	-1
奖	6.86
时	5.04
主持人	-1
芮	-1
成钢	-1
卖关子	-1
说	5.22
期望	5.96
看到	-1
新鲜	6.3
的	5.1
面孔	5.32
结果	5.16
上来	5.46
的	5.1
却是	-1
中国	6.06
互联网	5.88
业	4.86
的	5.1
活化石	-1
雷军	-1
颁奖词	-1
说	5.22
他	5.06
是	5.42
最	5.14
成功	7.48
的	5.1
投资人	-1
之一	-1
2001	-1
年	5.1
他	5.06
跻身	-1
中国	6.06
福布斯	-1
富豪榜	-1
但	4.62
年	5.1
过	5.04
不惑	-1
他	5.06
却	4.68
决定	5.32
投身	5.8
创业	5.92
他	5.06
想	5.3
只	4.94
在	5.02
互联网	5.88
上卖	-1
手机	5.5
有人	5.14
说	5.22
他	5.06
异想天开	3.84
根据	5.24
数百万	-1
用户	5.2
的	5.1
意见	4.92
定制	-1
手机	5.5
在	5.02
他	5.06
看来	-1
这才	-1
是	5.42
小米	-1
最大	5.96
的	5.1
创新	6.88
雷军	-1
快步	-1
从	5.16
幕后	-1
走	5.3
到	5.3
台前	-1
一身	4.96
黑西	-1
装配	4.96
上	5.58
蓝领	-1
带	5.1
他	5.06
对	6.14
这项	-1
荣誉	6.88
十分重视	-1
表情	5.44
严肃	4.08
而	5.18
庄重	6.96
或许	5.1
是	5.42
过于	4.38
紧张	3.68
连	5.16
走路	5.26
的	5.1
姿态	5.38
和	5.46
脸上	-1
的	5.1
表情	5.44
都	4.84
有些	5.2
僵硬	3.68
直到	5.12
举起	-1
奖杯	-1
挥手致意	-1
时	5.04
眉眼	-1
间	5.08
挤出	-1
的	5.1
笑容	7.04
仍	4.82
不	4.4
太	4.8
自然	5.92
看得出来	-1
雷军	-1
在	5.02
刻意	-1
掩饰	3.84
兴奋	6.78
和	5.46
欣喜	7.34
面对	-1
久违	-1
的	5.1
肯定	5.92
与	4.86
褒奖	-1
他	5.06
怎么	4.86
会	5.22
无动于衷	-1
说	5.22
实在话	-1
这些	5.18
年	5.1
他	5.06
过	5.04
得	5.44
并	5.04
不	4.4
轻松	6.78
甚至	4.82
有些	5.2
压抑	3.24
莫名其妙	4.42
的	5.1
舆论	4.9
常	5.02
将	5.36
他	5.06
推至	-1
风口浪尖	-1
质疑	3.86
与	4.86
非议	3.86
扑面而来	-1
当芮	-1
成钢	-1
问	5.18
到	5.3
如何	5.28
在	5.02
舆论	4.9
环境	5.12
当中	4.96
坚持下去	-1
时雷军	-1
回答	5.58
小米	-1
是	5.42
颠覆性	-1
创新	6.88
的	5.1
东西	5.06
肯定	5.92
颠覆	3.86
了	5.08
别人	5.08
的	5.1
想法	5.14
看法	4.96
影响	4.98
了	5.08
别人	5.08
的	5.1
利益	5.68
一个	5.1
新	5.94
的	5.1
东西	5.06
产生	5.2
以后	4.92
随之而来	-1
的	5.1
就是	4.98
诋毁	3.86
抹黑	3.86
羡慕	6.26
嫉妒	2.84
恨	2.68
我	5.58
自己	5.28
的	5.1
想法	5.14
不管怎么	-1
想	5.3
反正	4.86
我	5.58
把	4.94
自己	5.28
的	5.1
事情	5.08
做好	-1
就够	-1
了	5.08
芮	-1
成钢	-1
认为	5.1
这个	5.02
回答	5.58
非常	5.76
干净利落	-1
但雷军	-1
所	4.98
遭受	3.46
的	5.1
争议	3.94
不会	3.94
从此	4.84
平息	5.34
雷军	-1
并	5.04
不是	4.2
一个	5.1
锋芒毕露	-1
高调	-1
张扬	3.94
的	5.1
人	5.3
从	5.16
小时候	5.78
起	4.98
他	5.06
就是	4.98
一个	5.1
遵规	-1
守纪	-1
的	5.1
听话	6.75
孩子	5.94
学习成绩	-1
优异	7.24
18	-1
岁	5.44
时	5.04
毫不	6.71
费劲	-1
就	4.94
考入	-1
著名	6.18
学府	-1
武汉大学	-1
23	-1
岁	5.44
加入	5.42
金山	5.56
软件	5.08
29	-1
岁	5.44
升任	-1
总经理	-1
真	5.94
可谓	5.1
少年得志	-1
好孩子	-1
总是	-1
讨人喜欢	6.369999999999999
无论	5.16
在	5.02
金山	5.56
内部	4.9
还是	5.22
互联网界	-1
雷军	-1
劳模	-1
与	4.86
老好人	-1
的	5.1
名声	6.465
人尽皆知	-1
那时	-1
雷军	-1
的	5.1
理想	6.56
已	5.54
不	4.4
满足	6.78
于	5.14
老好人	-1
或	4.96
劳模	-1
的	5.1
名头	-1
自从	5.16
大学	6.2
时读	-1
到	5.3
一本	-1
名为	-1
硅谷	-1
之火	-1
的	5.1
书雷军	-1
就	4.94
注定	5.3
将	5.36
度过	-1
誉满天下	-1
谤	-1
满天下	-1
的	5.1
商业	5.26
人生	5.66
书中	-1
的	5.1
乔布斯	-1
简直	4.88
像	5.5
神	6.08
一样	5.28
伟大	6.8
令雷军	-1
心驰神往	-1
多年	5.08
后	5.0
他	5.06
对	6.14
媒体	5.52
描述	5.16
理想	6.56
时	5.04
曾	4.8
深情	6.56
说道	4.86
那年	-1
我	5.58
18	-1
岁	5.44
我	5.58
也	5.2
想像	5.74
乔布斯	-1
一样	5.28
办	4.86
一家	5.56
世界	5.78
一流	6.56
的	5.1
企业	5.24
这	5.14
故事	5.3
就	4.94
像	5.5
电影	6.02
功夫	5.82
中	4.98
周星驰	-1
拿到	-1
武林	-1
秘籍	-1
的	5.1
桥段	-1
充满	6.14
励志	-1
意味	5.14
世界	5.78
一流	6.56
的	5.1
凌云壮志	-1
是	5.42
雷军	-1
离开	4.0
金山	5.56
的	5.1
导火索	-1
之一	-1
2007	-1
年	5.1
10	-1
月	5.28
16	-1
日	4.88
八年	-1
间	5.08
五次	-1
冲击	4.22
ipo	-1
的	5.1
金山	5.56
终于	5.52
在	5.02
香港联交所	-1
挂牌	5.2
上市	5.96
众人	5.2
欢呼雀跃	-1
雷军	-1
黯然神伤	-1
他	5.06
发现自己	-1
和	5.46
同伴	-1
16	-1
年	5.1
5840	-1
天	5.32
日夜	5.0
奋斗	6.48
的	5.1
青春	6.36
只	4.94
换来	-1
6	-1
261	-1
亿	5.4
港币	-1
的	5.1
市值	-1
这	5.14
与	4.86
同年	5.42
在	5.02
香港	5.96
上市	5.96
的	5.1
阿里巴巴	-1
的	5.1
15	-1
亿美元	-1
天差地别	-1
离	4.18
2005	-1
年	5.1
在	5.02
纳斯达克	-1
上市	5.96
的	5.1
百度	-1
的	5.1
39	-1
58	-1
亿美元	-1
更是	-1
十万八千里	-1
眼看	5.04
着	4.88
比	5.0
自己	5.28
出道	-1
晚	4.5
的	5.1
小兄弟	-1
们	5.06
功成名就	-1
雷军	-1
不服气	-1
两个	-1
月	5.28
后	5.0
他	5.06
在	5.02
隆冬	-1
季节	5.68
离开	4.0
金山	5.56
一句	5.0
我	5.58
的	5.1
青春	6.36
我	5.58
的	5.1
金山	5.56
道	5.34
尽	4.92
无限	5.58
惆怅	4.0
不料	4.24
坊间	-1
关于	5.04
逼宫	-1
的	5.1
流言	4.0
甚嚣尘上	-1
媒体	5.52
说	5.22
雷军	-1
挟	-1
上市	5.96
之功	-1
要求	4.9
董事长	-1
一职	-1
传言	-1
多年	5.08
未息	-1
直到	5.12
2011	-1
年	5.1
7	-1
月初	5.38
雷军	-1
重回	-1
金山	5.56
时	5.04
旧事重提	-1
再生	5.66
波澜	-1
这	5.14
应该	5.1
是	5.42
雷军	-1
最早	5.24
遭受	3.46
舆论	4.9
的	5.1
困扰	3.46
一切	5.42
才	5.48
刚刚开始	-1
2010	-1
年	5.1
4	-1
月	5.28
6	-1
日	4.88
小米	-1
科技	5.78
成立	5.42
之后	4.98
雷军	-1
便	4.82
受到	4.78
来自	-1
各方	-1
的	5.1
质疑	3.86
雷军	-1
想	5.3
在	5.02
互联网	5.88
上卖	-1
手机	5.5
谷歌	-1
嘲笑	3.86
说	5.22
我们	5.96
自己	5.28
都	4.84
干	4.78
不成	4.08
你	5.36
还	5.16
搞	4.62
这样	4.94
的	5.1
公司	5.08
你	5.36
肯定	5.92
没戏	-1
用户	5.2
排队	-1
抢购	-1
小米	-1
旁人	-1
说	5.22
是	5.42
假	3.5
的	5.1
炒作	-1
小米	-1
宣布	5.18
卖出	-1
多少	5.08
万台	-1
回应	5.26
还是	5.22
说	5.22
炒作	-1
雷军	-1
不管不顾	-1
小米	-1
是	5.42
圆梦	-1
之旅	-1
不管	4.42
你	5.36
觉得	5.38
这个	5.02
是	5.42
有	5.36
病	2.98
还是	5.22
没	4.42
病	2.98
反正	4.86
我	5.58
就	4.94
想	5.3
干	4.78
这件	-1
事情	5.08
他	5.06
将	5.36
创办	5.8
小米	-1
视作	-1
此生	-1
最后	4.8
一次	5.12
折腾	-1
成	5.36
了	5.08
自己	5.28
也	5.2
就	4.94
踏实	6.18
了	5.08
不成	4.08
那	5.12
就	4.94
退出	3.98
江湖	-1
吧	4.96
2011	-1
年	5.1
8	-1
月底	4.76
雷军	-1
