第一章	-1
经营	5.32
理念	5.5
与	4.86
企业	5.24
文化	5.92
美的	-1
创业	5.92
40	-1
周年	5.58
真正	5.76
发展	6.16
起来	5.5
还是	5.22
在	5.02
改革开放	-1
以后	4.92
美的	-1
的	5.1
发展	6.16
主要	5.38
有	5.36
4	-1
个	4.94
阶段	4.78
第一个	-1
阶段	4.78
是	5.42
抓住	-1
了	5.08
改革开放	-1
的	5.1
机遇	6.06
放手	5.16
去	4.86
发展	6.16
第二个	-1
阶段	4.78
是	5.42
1992	-1
年	5.1
实行	5.46
的	5.1
内部	4.9
股份制	5.28
改造	5.12
和	5.46
1993	-1
年	5.1
企业	5.24
上市	5.96
在	5.02
治理	5.48
结构	5.0
和	5.46
管理模式	-1
上	5.58
取得	5.58
了	5.08
突破	5.82
第三个	-1
阶段	4.78
是	5.42
1997	-1
年	5.1
积极	6.38
推行	5.22
内部	4.9
体制改革	-1
实行	5.46
事业部制	-1
可以	5.58
说	5.22
没有	4.42
事业部制	-1
美的	-1
就	4.94
没有	4.42
今天	5.52
良好	6.24
的	5.1
发展	6.16
局面	4.86
第四个	-1
阶段	4.78
是	5.42
产权	4.94
改革	5.52
实现	5.72
政企分开	-1
优化	6.54
了	5.08
企业	5.24
结构	5.0
使	4.9
美的	-1
能	5.48
更好	-1
地	5.16
运转	5.44
1	-1
1	-1
发展	6.16
经验	6.1
要	5.2
走	5.3
三步	-1
棋	-1
走	5.3
这	5.14
一步棋	-1
时要	-1
想到	5.52
下	4.6
一步棋	-1
怎么	4.86
走	5.3
再下	-1
一步	5.34
又	4.98
应该	5.1
怎么	4.86
走	5.3
而	5.18
不是	4.2
走	5.3
一步	5.34
看	5.58
一步	5.34
这样	4.94
就	4.94
可以	5.58
争取	5.76
主动	6.04
企业	5.24
要	5.2
发展	6.16
要	5.2
壮大	6.26
必须	4.98
抓住	-1
几个	-1
环节	4.98
一是	-1
要	5.2
有	5.36
好	6.7
的	5.1
产业	5.46
二是	-1
要	5.2
有	5.36
好	6.7
的	5.1
人才	6.26
结构	5.0
因此	5.06
必须	4.98
不断	5.0
引入	5.44
竞争机制	-1
三是	-1
要	5.2
有	5.36
好	6.7
的	5.1
管理体制	-1
和	5.46
机制	5.0
并且	5.04
有	5.36
好	6.7
的	5.1
制度	4.96
来	5.26
保证	5.78
四是	-1
要	5.2
有	5.36
一个	5.1
合理	6.04
的	5.1
结构	5.0
和	5.46
架构	5.08
来源	5.44
在	5.02
人才	6.26
科技	5.78
大会	4.94
上	5.58
的	5.1
讲话	5.02
1998	-1
年	5.1
6	-1
月	5.28
三十年	-1
的	5.1
风风雨雨	-1
美的	-1
经历	5.3
过	5.04
数不清	-1
的	5.1
艰辛	3.82
美的	-1
人尝	-1
尽	4.92
了	5.08
世间	5.14
的	5.1
酸甜苦辣	-1
企业	5.24
走过	-1
的	5.1
是	5.42
一条	5.24
布满	-1
荆棘	-1
的	5.1
曲折	4.28
之	5.26
路	5.2
但是	4.56
我们	5.96
凭着	-1
满腔	5.36
的	5.1
热情	6.84
和	5.46
顽强	6.42
的	5.1
斗志	6.44
凭着	-1
对	6.14
追求	5.98
事业成功	-1
的	5.1
执着	-1
信念	6.02
和	5.46
始终	5.26
树立	5.6
必胜	-1
的	5.1
信心	6.5
做到	-1
胜不骄	-1
败不馁	-1
一次次	-1
从	5.16
逆境	3.82
中	4.98
奋起	6.36
经过	5.06
摸爬滚打	-1
倾注	-1
了	5.08
三十年	-1
的	5.1
心血	5.62
才	5.48
有	5.36
今日	5.3
的	5.1
美的	-1
美的	-1
集团	5.06
之所以	-1
能	5.48
取得	5.58
现在	5.14
的	5.1
规模	5.22
和	5.46
成绩	5.64
主要	5.38
原因	5.18
是	5.42
第一	-1
三十年	-1
来	5.26
美的	-1
人	5.3
艰苦创业	-1
众志成城	-1
共同努力	-1
第二	-1
美的	-1
一贯	4.94
尊重知识	-1
尊重人才	-1
重视	5.8
科技	5.78
第三	-1
美的	-1
一向	5.34
强调	5.0
机制	5.0
创新	6.88
用人	5.42
机制	5.0
投资	5.64
机制	5.0
技术	5.08
机制	5.0
管理机制	-1
等	4.72
不断创新	-1
及时	5.58
适应	5.54
社会	5.0
的	5.1
发展	6.16
第四	-1
美的	-1
人	5.3
勤劳	6.46
务实	6.16
勇于	6.26
改革	5.52
敢为天下先	-1
抓	4.52
体制改革	-1
抓	4.52
市场营销	-1
抓	4.52
技术开发	-1
引入	5.44
新	5.94
技术	5.08
新工艺	-1
不断	5.0
地	5.16
开发新	-1
产品	5.3
在	5.02
全国	5.28
同行	5.34
中	4.98
始终保持	-1
领先地位	-1
同时	5.34
稳妥	5.82
而	5.18
慎重	5.12
地	5.16
开拓	5.98
新	5.94
事业	5.74
形成	5.22
合理	6.04
的	5.1
企业	5.24
内部结构	-1
来源	5.44
在	5.02
美的	-1
创业	5.92
三十周年	-1
突出贡献	-1
人员	5.44
报告会	-1
上	5.58
的	5.1
讲话	5.02
1998	-1
年	5.1
11	-1
月	5.28
外部环境	-1
出现	5.16
大	5.7
的	5.1
困难	3.12
是	5.42
所有	5.52
的	5.1
企业	5.24
遇到	-1
的	5.1
共同	5.64
问题	4.46
你	5.36
把	4.94
它	5.16
解决	5.76
了	5.08
企业	5.24
自然	5.92
就	4.94
会	5.22
有	5.36
大	5.7
的	5.1
发展	6.16
1985	-1
年	5.1
美的	-1
遇到	-1
国内	5.22
风扇	-1
大战	3.98
的	5.1
空前	5.42
困难	3.12
我们	5.96
将	5.36
国内外	-1
市场	4.92
进行	5.28
比较	5.22
分析	5.42
后	5.0
果断	5.9
地	5.16
将	5.36
风扇	-1
销售	5.38
转向	5.2
海外	5.58
市场	4.92
终于	5.52
渡过	-1
了	5.08
难关	-1
现在	5.14
美的	-1
风扇	-1
已	5.54
成为	5.42
全球	5.46
最大	5.96
的	5.1
风扇	-1
企业	5.24
来源	5.44
接受	5.72
证券时报	-1
采访	5.26
1998	-1
年	5.1
11	-1
月	5.28
美的	-1
三十年	-1
来	5.26
取得	5.58
的	5.1
成就	6.38
特别	6.1
是	5.42
1998	-1
年	5.1
取得	5.58
的	5.1
成绩	5.64
应	5.28
归功于	-1
我们	5.96
一直	5.48
以来	4.98
对	6.14
人才	6.26
科技	5.78
的	5.1
高度重视	-1
应	5.28
