	-1
若用	-1
金钱	6.04
作为	5.18
衡量	5.1
人生	5.66
成功	7.48
与否	-1
的	5.1
标准	5.26
其中	4.76
一个	5.1
问题	4.46
就是	4.98
总	5.02
有人	5.14
比	5.0
你	5.36
更	5.34
富有	6.88
除非	4.7
你	5.36
是	5.42
比尔	-1
•	-1
盖茨	-1
比尔	-1
•	-1
盖茨	-1
出	4.98
生于	-1
1955	-1
年	5.1
10	-1
月	5.28
28	-1
日	4.88
31	-1
岁	5.44
就	4.94
成	5.36
了	5.08
亿万富翁	-1
据说	5.24
是	5.42
历史	5.34
上	5.58
最	5.14
年轻	6.48
的	5.1
一位	-1
白手起家	-1
的	5.1
亿万富翁	-1
1992	-1
年	5.1
37	-1
岁	5.44
的	5.1
比尔	-1
•	-1
盖茨	-1
成	5.36
了	5.08
全美	-1
头号	-1
富翁	6.4
直到	5.12
2007	-1
年	5.1
他	5.06
依旧	5.06
稳	6.32
坐在	-1
全球	5.46
头号	-1
富翁	6.4
的	5.1
宝座	6.24
上	5.58
只有	5.14
在	5.02
互联网	5.88
泡沫	4.72
最盛	-1
的	5.1
那	5.12
两天	-1
曾	4.8
被	4.5
日本	4.68
的	5.1
孙正义	-1
超过	5.66
2007	-1
年	5.1
比尔	-1
•	-1
盖茨	-1
的	5.1
财富	6.54
被	4.5
一名	-1
墨西哥人	-1
超过	5.66
但	4.62
这	5.14
个	4.94
时候	5.0
比尔	-1
•	-1
盖茨	-1
开始	5.26
忙	4.06
着	4.88
退休	4.6
他	5.06
退休	4.6
的	5.1
举动	5.34
也	5.2
成为	5.42
世界	5.78
财富	6.54
历史	5.34
上	5.58
很	5.14
绚丽	-1
的	5.1
一幕	4.7
他	5.06
和	5.46
他	5.06
的	5.1
妻子	5.96
把	4.94
自己	5.28
的	5.1
全部	5.6
资产	5.86
捐给	-1
了	5.08
慈善	6.82
基金会	-1
他	5.06
不	4.4
做	5.26
首富	-1
而	5.18
做	5.26
了	5.08
首善	-1
在	5.02
比尔	-1
•	-1
盖茨	-1
2008	-1
年	5.1
年	5.1
中	4.98
退休	4.6
的	5.1
时候	5.0
本书	-1
作者	5.44
之一	-1
林军	-1
曾	4.8
在	5.02
老兵	-1
群	5.22
网站	5.1
写过	-1
一篇	-1
博客	-1
文章	5.18
那些	5.02
曾经	4.9
被	4.5
称为	-1
中国	6.06
比尔	-1
•	-1
盖茨	-1
的	5.1
牛人	-1
们	5.06
在	5.02
这篇	-1
博文	-1
里	5.18
林军	-1
写道	-1
马化腾	-1
最	5.14
像是	-1
中国	6.06
的	5.1
比尔	-1
•	-1
盖茨	-1
无	4.18
所	4.98
不能	3.84
堪称	-1
全民	5.48
公敌	-1
的	5.1
腾讯	-1
与	4.86
微软	5.54
像	5.5
极了	-1
它们	5.18
的	5.1
产品	5.3
虽然	4.66
技术	5.08
不	4.4
是	5.42
最好	6.26
的	5.1
但	4.62
有	5.36
黏性	-1
扩张性	-1
强	6.46
马化腾	-1
本人	5.36
也	5.2
比较	5.22
接近	5.1
比尔	-1
•	-1
盖茨	-1
的	5.1
气质	6.28
害羞	3.84
温和	6.12
聪明	6.94
